"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
29220;5326,000000;123;321,866520;27,658793;25789;"Москва, Шоссейная ул, д.48";"Печатники";37,722962;55,679553;19;2728864,220147;6499716,812868;214,515849;316,000000;444,000000
33484;9469,000000;123;572,240720;49,174073;25790;"Москва, Шоссейная ул, д.50";"Печатники";37,721858;55,679376;19;2728864,220147;6499716,812868;148,944541;208,000000;292,000000
33485;8002,000000;123;483,585410;41,555701;25791;"Москва, Шоссейная ул, д.50, корп.1";"Печатники";37,720545;55,679093;19;2728864,220147;6499716,812868;105,452578;224,000000;306,000000
33493;10278,000000;123;621,131072;53,375343;25792;"Москва, Шоссейная ул, д.54, корп.1";"Печатники";37,722728;55,678083;995;2728994,506451;6499478,562686;173,317281;95,000000;135,000000
33494;7259,000000;123;438,683640;37,697180;25793;"Москва, Шоссейная ул, д.54, корп.2";"Печатники";37,722126;55,677199;995;2728994,506451;6499478,562686;158,240646;91,000000;127,000000
33498;8809,000000;123;532,354895;45,746585;25794;"Москва, Шоссейная ул, д.56";"Печатники";37,721210;55,678230;995;2728994,506451;6499478,562686;85,655421;28,000000;40,000000
33501;11257,000000;123;680,295046;58,459451;25765;"Москва, Гурьянова ул, д.57, корп.1";"Печатники";37,718992;55,680209;19;2728864,220147;6499716,812868;98,711918;138,000000;196,000000
33502;18668,000000;123;1128,164513;96,945992;25766;"Москва, Гурьянова ул, д.57, корп.2";"Печатники";37,718112;55,679553;19;2728864,220147;6499716,812868;138,862520;174,000000;253,000000
33510;7054,000000;123;426,294861;36,632581;25767;"Москва, Гурьянова ул, д.61";"Печатники";37,717033;55,676367;995;2728994,506451;6499478,562686;252,214769;440,000000;602,000000
33512;8346,000000;123;504,374385;43,342150;25769;"Москва, Гурьянова ул, д.65";"Печатники";37,717025;55,678316;995;2728994,506451;6499478,562686;257,595153;324,000000;447,000000
33514;8394,000000;123;507,275172;43,591421;25770;"Москва, Гурьянова ул, д.67";"Печатники";37,717007;55,677264;995;2728994,506451;6499478,562686;225,728175;409,000000;564,000000
33515;22489,000000;123;1359,079266;116,789073;25771;"Москва, Гурьянова ул, д.69, корп.1";"Печатники";37,718901;55,677975;995;2728994,506451;6499478,562686;109,183581;269,000000;378,000000
33516;18527,000000;123;1119,643450;96,213756;25772;"Москва, Гурьянова ул, д.69, корп.2";"Печатники";37,717977;55,676995;995;2728994,506451;6499478,562686;166,479879;284,000000;395,000000
33520;7075,000000;123;427,563956;36,741638;25773;"Москва, Гурьянова ул, д.73";"Печатники";37,717230;55,678980;19;2728864,220147;6499716,812868;210,418050;235,000000;326,000000
33521;7052,000000;123;426,173995;36,622195;25774;"Москва, Гурьянова ул, д.75";"Печатники";37,720807;55,676773;995;2728994,506451;6499478,562686;128,203982;151,000000;211,000000
33523;8441,000000;123;510,115526;43,835500;25775;"Москва, Гурьянова ул, д.77";"Печатники";37,717276;55,675747;995;2728994,506451;6499478,562686;285,681389;427,000000;587,000000
33525;7199,000000;123;435,057656;37,385590;25776;"Москва, Гурьянова ул, д.79";"Печатники";37,719449;55,676478;995;2728994,506451;6499478,562686;149,271834;372,000000;521,000000
33526;5850,000000;123;353,533447;30,380011;25777;"Москва, Гурьянова ул, д.81";"Печатники";37,720213;55,676061;995;2728994,506451;6499478,562686;201,768957;251,000000;356,000000
