SCHOOL_ID,HOUSE_ID
10001,26878
10001,25229
10001,26881
10001,26888
10001,26877
10001,26853
10001,26882
10001,26879
10001,25230
10001,26883
10001,26884
10001,26885
10001,26886
10001,26887
10001,26889
10001,26880
10002,1030
10002,1030
10002,603
10002,1000
10002,856
10002,1184
10002,1105
10002,726
10002,1130
10002,903
10002,1131
10002,904
10002,1132
10002,905
10002,1014
10002,599
10002,1004
10002,1154
10002,1114
10002,973
10002,864
10002,865
10002,866
10002,867
10002,868
10002,964
10002,999
10002,1005
10002,1023
10002,1196
10002,1119
10002,613
10002,741
10002,1079
10002,1197
10002,661
10002,1080
10002,662
10002,921
10002,879
10002,1006
10002,1177
10002,602
10002,656
10002,698
10002,836
10002,626
10002,1205
10002,663
10002,1007
10002,742
10002,1278
10002,743
10002,1285
10002,1246
10002,1092
10002,1247
10002,1093
10002,1248
10002,1249
10002,1250
10002,1290
10002,1096
10002,1097
10002,1098
10002,1270
10002,1291
10002,1271
10002,1292
10002,1272
10002,1293
10002,1273
10002,1274
10002,1275
10002,1099
10002,1294
10002,1314
10002,629
10002,913
10002,636
10002,637
10002,924
10002,744
10002,1279
10002,1280
10002,1178
10002,764
10002,851
10002,889
10002,934
10002,1213
10002,1127
10002,664
10002,745
10002,1008
10002,1082
10002,800
10002,890
10002,1214
10002,1083
10002,801
10002,935
10002,802
10002,936
10002,1010
10002,1084
10002,1179
10002,720
10002,819
10002,852
10002,627
10002,615
10002,665
10002,746
10002,1085
10002,891
10002,1086
10002,1087
10002,892
10002,992
10002,993
10002,657
10002,853
10002,893
10002,957
10002,1227
10002,1128
10002,616
10002,747
10002,617
10002,666
10002,1088
10002,1228
10002,1089
10002,605
10002,723
10002,1011
10002,606
10002,765
10002,826
10002,854
10002,1233
10002,1129
10002,618
10002,667
10002,748
10002,894
10002,1181
10002,1182
10002,1100
10002,1101
10002,1326
10002,1281
10002,1102
10002,1295
10002,1296
10002,1103
10002,1327
10002,646
10002,949
10002,647
10002,950
10002,648
10002,958
10002,724
10002,1037
10002,1183
10002,658
10002,725
10002,855
10002,1242
10002,619
10002,668
10002,959
10002,1012
10002,1090
10002,1091
10002,607
10002,608
10002,766
10002,895
10002,994
10002,1328
10002,669
10002,749
10002,767
10002,857
10002,1106
10002,1282
10002,609
10002,660
10002,727
10002,1185
10002,995
10002,1001
10002,1133
10002,600
10002,650
10002,750
10002,768
10002,1107
10002,610
10002,728
10002,906
10002,1015
10002,1329
10002,1135
10002,651
10002,670
10002,828
10002,960
10002,1283
10002,611
10002,1108
10002,1109
10002,751
10002,1254
10002,752
10002,1255
10002,858
10002,996
10002,1002
10002,1062
10002,652
10002,753
10002,829
10002,897
10002,1110
10002,1003
10002,1104
10002,1094
10002,1297
10002,1251
10002,1286
10002,1252
10002,1287
10002,1253
10002,1095
10002,1298
10002,1299
10002,1300
10002,649
10002,630
10002,729
10002,907
10002,730
10002,731
10002,601
10002,1187
10002,961
10002,1284
10002,597
10002,1063
10002,671
10002,732
10002,1256
10002,1064
10002,672
10002,899
10002,733
10002,1257
10002,1065
10002,734
10002,1258
10002,1017
10002,997
10002,1018
10002,1066
10002,754
10002,620
10002,735
10002,831
10002,1140
10002,859
10002,1141
10002,860
10002,1142
10002,909
10002,653
10002,1188
10002,962
10002,1111
10002,736
10002,1067
10002,861
10002,1259
10002,832
10002,1068
10002,862
10002,1260
10002,833
10002,755
10002,834
10002,622
10002,1189
10002,737
10002,1148
10002,1149
10002,654
10002,769
10002,1190
10002,738
10002,1112
10002,739
10002,1069
10002,1070
10002,835
10002,863
10002,632
10002,1191
10002,963
10002,1113
10002,1151
10002,1301
10002,1138
10002,1139
10002,1288
10002,1289
10002,1144
10002,1145
10002,1146
10002,1150
10002,1302
10002,1303
10002,631
10002,908
10002,910
10002,911
10002,912
10002,1152
10002,1153
10002,998
10002,1019
10002,673
10002,624
10002,965
10002,740
10002,1071
10002,1072
10002,1073
10002,837
10002,869
10002,633
10002,966
10002,870
10002,1156
10002,914
10002,1157
10002,915
10002,1158
10002,1020
10002,674
10002,839
10002,1021
10002,1074
10002,1075
10002,1076
10002,756
10002,770
10002,871
10002,916
10002,872
10002,757
10002,1022
10002,758
10002,840
10002,1192
10002,759
10002,1077
10002,969
10002,676
10002,760
10002,771
10002,841
10002,874
10002,900
10002,917
10002,634
10002,970
10002,875
10002,1078
10002,772
10002,842
10002,901
10002,1194
10002,918
10002,919
10002,677
10002,678
10002,843
10002,920
10002,971
10002,655
10002,762
10002,773
10002,844
10002,878
10002,1266
10002,1155
10002,1304
10002,1159
10002,1261
10002,1160
10002,1305
10002,1306
10002,1262
10002,1161
10002,1162
10002,1163
10002,1307
10002,1164
10002,1308
10002,1309
10002,1165
10002,1263
10002,1166
10002,1264
10002,1167
10002,1265
10002,1115
10002,1116
10002,1117
10002,1195
10002,635
10002,972
10002,846
10002,847
10002,1024
10002,680
10002,848
10002,902
10002,922
10002,1198
10002,774
10002,880
10002,1025
10002,638
10002,681
10002,1026
10002,775
10002,849
10002,923
10002,1277
10002,1199
10002,1027
10002,776
10002,1028
10002,683
10002,777
10002,1200
10002,685
10002,975
10002,1201
10002,686
10002,687
10002,688
10002,689
10002,1029
10002,690
10002,778
10002,1202
10002,977
10002,639
10002,640
10002,641
10002,691
10002,780
10002,1203
10002,978
10002,692
10002,1204
10002,979
10002,693
10002,783
10002,642
10002,694
10002,784
10002,643
10002,695
10002,785
10002,696
10002,786
10002,697
10002,1031
10002,925
10002,787
10002,1206
10002,788
10002,926
10002,927
10002,644
10002,645
10002,789
10002,928
10002,1208
10002,929
10002,980
10002,1209
10002,981
10002,982
10002,1210
10002,983
10002,1032
10002,1038
10002,1211
10002,797
10002,798
10002,799
10002,1033
10002,1039
10002,1310
10002,1168
10002,1267
10002,1268
10002,1269
10002,1170
10002,1171
10002,881
10002,1172
10002,882
10002,883
10002,884
10002,885
10002,1311
10002,1173
10002,886
10002,887
10002,888
10002,1174
10002,1175
10002,1312
10002,1176
10002,1313
10002,699
10002,1315
10002,700
10002,701
10002,702
10002,790
10002,703
10002,1316
10002,704
10002,1317
10002,1318
10002,1319
10002,1320
10002,791
10002,792
10002,1321
10002,705
10002,706
10002,707
10002,708
10002,709
10002,710
10002,794
10002,930
10002,795
10002,931
10002,796
10002,711
10002,1118
10002,1120
10002,1121
10002,1122
10002,1123
10002,1124
10002,1125
10002,1212
10002,984
10002,985
10002,803
10002,804
10002,937
10002,938
10002,1215
10002,1216
10002,939
10002,940
10002,941
10002,1034
10002,1040
10002,988
10002,1217
10002,1041
10002,1218
10002,1220
10002,1219
10002,1042
10002,1036
10002,989
10002,990
10002,991
10002,1221
10002,1222
10002,1043
10002,1223
10002,1044
10002,1224
10002,1045
10002,1225
10002,1046
10002,1226
10002,1047
10002,1048
10002,1229
10002,1049
10002,1050
10002,1052
10002,1051
10002,1232
10002,1053
10002,1054
10002,1235
10002,1237
10002,1239
10002,1241
10002,932
10002,933
10002,1322
10002,712
10002,713
10002,714
10002,715
10002,716
10002,1324
10002,1325
10002,717
10002,805
10002,718
10002,807
10002,808
10002,809
10002,810
10002,811
10002,812
10002,813
10002,814
10002,815
10002,816
10002,817
10002,943
10002,818
10002,944
10002,945
10002,946
10002,947
10002,948
10002,719
10002,721
10002,951
10002,952
10002,953
10002,954
10002,955
10002,956
10002,820
10002,821
10002,722
10002,822
10002,823
10002,824
10002,825
10002,1230
10002,1231
10002,1234
10002,1236
10002,1055
10002,1056
10002,1238
10002,1057
10002,1240
10002,1058
10002,1059
10002,1060
10002,1243
10002,1244
10002,1245
10005,45647
10005,45649
10005,45663
10006,11148
10006,11160
10006,11150
10006,11219
10006,11220
10006,11221
10007,14287
10007,14292
10007,14293
10007,14298
10007,14294
10007,14299
10007,14288
10007,14295
10007,14289
10007,14296
10007,14290
10007,14297
10007,14284
10007,14291
10007,14285
10007,14286
10008,11736
10009,15537
10009,15458
10009,15459
10009,15460
10009,15461
10009,15462
10009,15463
10009,15538
10009,15539
10009,15540
10009,15464
10009,15541
10009,15542
10009,15543
10009,15514
10009,15515
10009,15516
10009,15517
10009,15518
10009,15519
10009,15520
10009,15521
10009,15522
10009,15523
10009,15524
10009,15525
10009,15526
10009,15527
10009,15528
10009,15529
10009,15530
10009,15531
10009,15532
10009,15533
10009,15534
10009,15535
10009,15498
10009,15448
10009,15499
10009,15536
10009,15449
10009,15450
10009,15451
10009,15501
10009,15502
10009,15503
10009,15452
10009,15504
10009,15453
10009,15505
10009,15454
10009,15506
10009,15455
10009,15456
10009,15507
10009,15508
10009,15509
10009,15510
10009,15511
10009,15465
10009,15457
10009,15512
10009,15466
10009,15467
10009,15474
10009,15468
10009,15469
10009,15475
10009,15470
10009,15471
10009,15476
10009,15477
10009,15478
10009,15473
10009,15479
10009,15480
10009,15481
10009,15482
10009,15484
10009,15486
10009,15487
10009,15488
10009,15489
10009,15490
10009,15491
10009,15492
10009,15493
10009,15494
10009,15495
10009,15496
10024,15537
10024,15458
10024,15459
10024,15460
10024,15461
10024,15462
10024,15463
10024,15538
10024,15539
10024,15540
10024,15464
10024,15541
10024,15542
10024,15543
10024,15514
10024,15515
10024,15516
10024,15517
10024,15518
10024,15519
10024,15520
10024,15521
10024,15522
10024,15523
10024,15524
10024,15525
10024,15526
10024,15527
10024,15528
10024,15529
10024,15530
10024,15531
10024,15532
10024,15533
10024,15534
10024,15535
10024,15498
10024,15448
10024,15499
10024,15536
10024,15449
10024,15450
10024,15451
10024,15501
10024,15502
10024,15503
10024,15452
10024,15504
10024,15453
10024,15505
10024,15454
10024,15506
10024,15455
10024,15456
10024,15507
10024,15508
10024,15509
10024,15510
10024,15511
10024,15465
10024,15457
10024,15512
10024,15466
10024,15467
10024,15474
10024,15468
10024,15469
10024,15475
10024,15470
10024,15471
10024,15476
10024,15477
10024,15478
10024,15473
10024,15479
10024,15480
10024,15481
10024,15482
10024,15484
10024,15486
10024,15487
10024,15488
10024,15489
10024,15490
10024,15491
10024,15492
10024,15493
10024,15494
10024,15495
10024,15496
10010,34449
10010,34450
10010,34451
10010,34452
10010,34453
10010,34454
10010,34455
10010,34456
10010,34457
10010,34458
10010,34459
10010,34460
10010,34461
10010,34462
10010,34463
10012,16429
10012,16401
10012,16414
10012,16441
10012,16442
10012,16443
10012,16422
10012,16444
10012,16445
10012,16446
10012,16447
10012,16448
10012,16423
10012,16449
10012,16424
10012,16450
10012,16425
10012,16451
10012,16452
10012,16453
10012,16454
10012,16455
10012,16456
10012,16457
10012,16402
10012,16430
10012,16431
10012,16403
10012,16432
