"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
9226;12303,000000;127;661,864107;70,579144;27342;"Москва, Братиславская ул, д.6, корп.1";"Марьино";37,751772;55,663918;131;2731914,191629;6498384,324151;123,780965;116,000000;153,000000
9238;20062,000000;127;1079,274787;115,090530;27249;"Москва, Братиславская ул, д.8";"Марьино";37,752068;55,662765;131;2731914,191629;6498384,324151;106,337241;15,000000;21,000000
14178;13914,000000;127;748,531023;79,821036;27341;"Москва, Братиславская ул, д.10";"Марьино";37,751367;55,661023;131;2731914,191629;6498384,324151;258,969025;166,000000;227,000000
24496;36916,000000;127;1985,968899;211,777590;27344;"Москва, Верхние Поля ул, д.22, корп.1";"Марьино";37,749005;55,663898;131;2731914,191629;6498384,324151;182,249119;331,000000;449,000000
24507;5279,000000;127;283,994198;30,284264;27345;"Москва, Верхние Поля ул, д.24";"Марьино";37,749094;55,664887;132;2731814,367929;6498666,525520;154,025249;109,000000;158,000000
33642;15852,000000;127;852,789549;90,938843;27346;"Москва, Перерва ул, д.49";"Марьино";37,749947;55,660668;131;2731914,191629;6498384,324151;283,042761;221,000000;301,000000
33643;11209,000000;127;603,010223;64,303147;27347;"Москва, Перерва ул, д.49, корп.1";"Марьино";37,749193;55,661241;131;2731914,191629;6498384,324151;222,053841;168,000000;216,000000
