"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
5475;2541,000000;31;152,002412;12,220249;15350;"Москва, Архитектора Власова ул, д.5, корп.1";"Черёмушки";37,554026;55,679878;1591;2717590,585875;6496452,098906;374,389977;501,000000;658,000000
5476;3518,000000;31;210,446472;16,918865;15351;"Москва, Архитектора Власова ул, д.5, корп.2";"Черёмушки";37,555165;55,679752;1591;2717590,585875;6496452,098906;345,081751;551,000000;734,000000
5479;2493,000000;31;149,131056;11,989406;15352;"Москва, Архитектора Власова ул, д.7, корп.1";"Черёмушки";37,553603;55,679488;1591;2717590,585875;6496452,098906;335,815029;394,000000;518,000000
5481;3273,000000;31;195,790592;15,740604;15353;"Москва, Архитектора Власова ул, д.7, корп.2";"Черёмушки";37,554743;55,679356;1591;2717590,585875;6496452,098906;298,985189;327,000000;429,000000
10485;2592,000000;31;155,053228;12,465520;15354;"Москва, Архитектора Власова ул, д.9, корп.1";"Черёмушки";37,553162;55,679081;1591;2717590,585875;6496452,098906;299,668502;360,000000;473,000000
10487;3395,000000;31;203,088622;16,327330;15355;"Москва, Архитектора Власова ул, д.9, корп.2";"Черёмушки";37,554330;55,678965;1591;2717590,585875;6496452,098906;255,501536;293,000000;385,000000
10488;3394,000000;31;203,028802;16,322521;15356;"Москва, Архитектора Власова ул, д.9, корп.3";"Черёмушки";37,556198;55,678325;1591;2717590,585875;6496452,098906;194,666395;815,000000;1063,000000
10491;2527,000000;31;151,164933;12,152920;15329;"Москва, Архитектора Власова ул, д.11, корп.1";"Черёмушки";37,552713;55,678661;1591;2717590,585875;6496452,098906;268,251076;458,000000;616,000000
10494;3511,000000;31;210,027732;16,885201;15330;"Москва, Архитектора Власова ул, д.11, корп.2";"Черёмушки";37,553873;55,678538;1591;2717590,585875;6496452,098906;212,226339;519,000000;702,000000
10496;3426,000000;31;204,943039;16,476416;15331;"Москва, Архитектора Власова ул, д.11, корп.4";"Черёмушки";37,555758;55,677894;1591;2717590,585875;6496452,098906;139,175058;145,000000;190,000000
10505;2587,000000;31;154,754128;12,441474;15332;"Москва, Архитектора Власова ул, д.13, корп.1";"Черёмушки";37,552256;55,678255;1591;2717590,585875;6496452,098906;247,420452;487,000000;666,000000
15445;3561,000000;31;213,018728;17,125662;15333;"Москва, Архитектора Власова ул, д.13, корп.2";"Черёмушки";37,553432;55,678133;1591;2717590,585875;6496452,098906;178,098279;542,000000;745,000000
15447;3412,000000;31;204,105561;16,409087;15334;"Москва, Архитектора Власова ул, д.13, корп.4";"Черёмушки";37,555301;55,677458;1591;2717590,585875;6496452,098906;83,283042;95,000000;129,000000
15451;3548,000000;31;212,241069;17,063142;15335;"Москва, Архитектора Власова ул, д.15, корп.1";"Черёмушки";37,553027;55,677736;1591;2717590,585875;6496452,098906;154,420541;567,000000;789,000000
15453;3513,000000;31;210,147372;16,894819;15336;"Москва, Архитектора Власова ул, д.15, корп.3";"Черёмушки";37,552614;55,677351;1591;2717590,585875;6496452,098906;147,217025;579,000000;813,000000
15457;6383,000000;31;381,830538;30,697305;15337;"Москва, Архитектора Власова ул, д.17";"Черёмушки";37,551312;55,677757;1591;2717590,585875;6496452,098906;261,552850;535,000000;752,000000
15460;12622,000000;31;755,047008;60,702081;15338;"Москва, Архитектора Власова ул, д.17, корп.1";"Черёмушки";37,551438;55,677071;1591;2717590,585875;6496452,098906;214,846965;589,000000;833,000000
15461;2511,000000;31;150,207814;12,075972;15357;"Москва, Гарибальди ул, д.17, корп.1";"Черёмушки";37,547926;55,673188;1662;2717532,389627;6496045,809231;219,099656;155,000000;236,000000
15463;5576,000000;31;333,555864;26,816257;15339;"Москва, Архитектора Власова ул, д.17, корп.2";"Черёмушки";37,552741;55,676834;1591;2717590,585875;6496452,098906;115,429757;627,000000;890,000000
15464;3415,000000;31;204,285020;16,423515;15358;"Москва, Гарибальди ул, д.17, корп.2";"Черёмушки";37,547962;55,673762;1662;2717532,389627;6496045,809231;218,529944;204,000000;298,000000
15466;3431,000000;31;205,242139;16,500462;15359;"Москва, Гарибальди ул, д.17, корп.3";"Черёмушки";37,548796;55,673462;1662;2717532,389627;6496045,809231;156,623353;89,000000;137,000000
15468;3445,000000;31;206,079618;16,567792;15360;"Москва, Гарибальди ул, д.17, корп.4";"Черёмушки";37,549507;55,673234;1662;2717532,389627;6496045,809231;116,941629;63,000000;96,000000
15479;2543,000000;31;152,122052;12,229867;15340;"Москва, Архитектора Власова ул, д.19, корп.2";"Черёмушки";37,552876;55,676274;1591;2717590,585875;6496452,098906;119,833745;679,000000;969,000000
20834;2574,000000;31;153,976469;12,378954;15341;"Москва, Архитектора Власова ул, д.19, корп.3";"Черёмушки";37,553468;55,676391;1591;2717590,585875;6496452,098906;82,176338;664,000000;944,000000
20835;2586,000000;31;154,694308;12,436664;15342;"Москва, Архитектора Власова ул, д.19, корп.4";"Черёмушки";37,552076;55,675423;1662;2717532,389627;6496045,809231;199,854192;914,000000;1235,000000
20836;2606,000000;31;155,890706;12,532849;15343;"Москва, Архитектора Власова ул, д.19, корп.5";"Черёмушки";37,552695;55,675544;1591;2717590,585875;6496452,098906;187,282567;761,000000;1086,000000
20840;3505,000000;31;209,668813;16,856345;15344;"Москва, Архитектора Власова ул, д.21, корп.1";"Черёмушки";37,549309;55,675457;1662;2717532,389627;6496045,809231;261,515959;556,000000;755,000000
20841;3539,000000;31;211,702690;17,019859;15362;"Москва, Гарибальди ул, д.21, корп.1";"Черёмушки";37,550926;55,672726;1662;2717532,389627;6496045,809231;131,952809;122,000000;174,000000
20843;2594,000000;31;155,172867;12,475138;15345;"Москва, Архитектора Власова ул, д.21, корп.2";"Черёмушки";37,550431;55,675133;1662;2717532,389627;6496045,809231;179,912815;610,000000;833,000000
20845;3514,000000;31;210,207192;16,899628;15364;"Москва, Гарибальди ул, д.21, корп.3";"Черёмушки";37,552606;55,672910;1662;2717532,389627;6496045,809231;172,783195;174,000000;240,000000
20846;3500,000000;31;209,369713;16,832299;15365;"Москва, Гарибальди ул, д.21, корп.4";"Черёмушки";37,552461;55,672193;1662;2717532,389627;6496045,809231;242,075737;261,000000;366,000000
20847;2546,000000;31;152,301511;12,244295;15366;"Москва, Гарибальди ул, д.21, корп.5";"Черёмушки";37,551563;55,671909;1662;2717532,389627;6496045,809231;245,534348;218,000000;309,000000
20848;3499,000000;31;209,309893;16,827490;15367;"Москва, Гарибальди ул, д.21, корп.6";"Черёмушки";37,551599;55,672487;1662;2717532,389627;6496045,809231;175,848268;179,000000;253,000000
20861;3474,000000;31;207,814395;16,707259;15346;"Москва, Архитектора Власова ул, д.23, корп.1";"Черёмушки";37,548814;55,675021;1662;2717532,389627;6496045,809231;241,547816;453,000000;627,000000
20862;3499,000000;31;209,309893;16,827490;15368;"Москва, Гарибальди ул, д.23, корп.1";"Черёмушки";37,553414;55,672656;1662;2717532,389627;6496045,809231;242,767305;292,000000;402,000000
20863;3493,000000;31;208,950974;16,798634;15370;"Москва, Гарибальди ул, д.23, корп.3";"Черёмушки";37,554124;55,672367;1662;2717532,389627;6496045,809231;310,511450;449,000000;609,000000
20864;3533,000000;31;211,343771;16,991004;15371;"Москва, Гарибальди ул, д.23, корп.5";"Черёмушки";37,554870;55,672128;1662;2717532,389627;6496045,809231;376,089591;450,000000;611,000000
20871;3426,000000;31;204,943039;16,476416;15347;"Москва, Архитектора Власова ул, д.25, корп.1";"Черёмушки";37,548357;55,674570;1662;2717532,389627;6496045,809231;231,135271;478,000000;665,000000
20882;3191,000000;31;190,885359;15,346248;15348;"Москва, Архитектора Власова ул, д.27";"Черёмушки";37,547584;55,674311;1662;2717532,389627;6496045,809231;266,939496;340,000000;478,000000
20896;2200,000000;31;131,603820;10,580302;15390;"Москва, Профсоюзная ул, д.28/53";"Черёмушки";37,561104;55,677747;628;2717784,627030;6496407,670927;339,774853;402,000000;510,000000
20910;3119,000000;31;186,578324;14,999983;15391;"Москва, Профсоюзная ул, д.30, корп.1";"Черёмушки";37,560871;55,677305;628;2717784,627030;6496407,670927;308,027601;467,000000;597,000000
20913;7914,000000;31;473,414832;38,060234;15392;"Москва, Профсоюзная ул, д.30, корп.2";"Черёмушки";37,560492;55,677783;628;2717784,627030;6496407,670927;306,900814;413,000000;525,000000
20914;8276,000000;31;495,069643;39,801174;15393;"Москва, Профсоюзная ул, д.30, корп.4";"Черёмушки";37,559451;55,678010;628;2717784,627030;6496407,670927;272,857902;808,000000;1040,000000
