"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
1097;26518,000000;47;1225,168070;115,667656;31683;"Москва, 1-й Очаковский пер, д.1";"Очаково-Матвеевское";37,461166;55,685351;1245;2710483,868772;6495501,723740;317,155921;293,000000;375,000000
1109;3480,000000;47;160,780786;15,179253;31725;"Москва, Елены Колесовой ул, д.2";"Очаково-Матвеевское";37,450700;55,676802;1224;2710339,691332;6494457,251892;179,787640;173,000000;241,000000
1110;11675,000000;47;539,401056;50,924650;31789;"Москва, Пржевальского ул, д.2";"Очаково-Матвеевское";37,451365;55,681909;1245;2710483,868772;6495501,723740;421,857753;410,000000;581,000000
1111;4076,000000;47;188,316805;17,778918;31758;"Москва, Озёрная ул, д.2/12";"Очаково-Матвеевское";37,461158;55,683524;1245;2710483,868772;6495501,723740;306,987278;247,000000;319,000000
1112;3417,000000;47;157,870099;14,904456;31733;"Москва, Марии Поливановой ул, д.2/19";"Очаково-Матвеевское";37,448922;55,680245;706;2710075,183189;6494601,332251;362,064381;539,000000;734,000000
1114;2154,000000;47;99,517762;9,395434;31746;"Москва, Наташи Ковшовой ул, д.3";"Очаково-Матвеевское";37,456297;55,684868;1245;2710483,868772;6495501,723740;147,376991;170,000000;228,000000
1115;4365,000000;47;201,669003;19,039494;31726;"Москва, Елены Колесовой ул, д.3";"Очаково-Матвеевское";37,451868;55,677757;1224;2710339,691332;6494457,251892;304,921063;337,000000;476,000000
1117;15349,000000;47;709,144909;66,950103;31685;"Москва, 1-й Очаковский пер, д.3";"Очаково-Матвеевское";37,459495;55,685771;1245;2710483,868772;6495501,723740;268,226417;264,000000;342,000000
1118;3510,000000;47;162,166827;15,310109;31692;"Москва, 5-й Очаковский пер, д.3";"Очаково-Матвеевское";37,454645;55,682996;1245;2710483,868772;6495501,723740;177,692512;216,000000;301,000000
1119;2793,000000;47;129,040441;12,182659;31690;"Москва, 4-й Очаковский пер, д.3";"Очаково-Матвеевское";37,455912;55,683624;1245;2710483,868772;6495501,723740;76,089452;131,000000;187,000000
1120;3541,000000;47;163,599069;15,445326;31792;"Москва, Проектируемый пр. N 1980, д.3";"Очаково-Матвеевское";37,446056;55,674143;1223;2710337,547403;6494399,130078;184,510497;245,000000;345,000000
1128;3642,000000;47;168,265408;15,885873;31727;"Москва, Елены Колесовой ул, д.4";"Очаково-Матвеевское";37,451670;55,676692;1224;2710339,691332;6494457,251892;231,130037;222,000000;304,000000
1129;1607,000000;47;74,245610;7,009500;31686;"Москва, 1-й Очаковский пер, д.4";"Очаково-Матвеевское";37,457797;55,685254;1245;2710483,868772;6495501,723740;174,021222;205,000000;275,000000
1130;4308,000000;47;199,035524;18,790868;31691;"Москва, 4-й Очаковский пер, д.4";"Очаково-Матвеевское";37,453764;55,682609;1245;2710483,868772;6495501,723740;247,890157;261,000000;357,000000
1131;3399,000000;47;157,038474;14,825943;31734;"Москва, Марии Поливановой ул, д.4";"Очаково-Матвеевское";37,450188;55,679478;706;2710075,183189;6494601,332251;345,668934;371,000000;507,000000
1133;4142,000000;47;191,366096;18,066801;31728;"Москва, Елены Колесовой ул, д.4, корп.1";"Очаково-Матвеевское";37,451203;55,677249;1224;2710339,691332;6494457,251892;235,636974;227,000000;321,000000
6113;3466,000000;47;160,133966;15,118187;31784;"Москва, Озёрная ул, д.4/9";"Очаково-Матвеевское";37,460367;55,682944;1245;2710483,868772;6495501,723740;284,573181;182,000000;234,000000
6114;3039,000000;47;140,405979;13,255675;31729;"Москва, Елены Колесовой ул, д.5";"Очаково-Матвеевское";37,452784;55,677208;1224;2710339,691332;6494457,251892;319,831002;333,000000;509,000000
6116;4192,000000;47;193,676165;18,284893;31791;"Москва, Пржевальского ул, д.5";"Очаково-Матвеевское";37,453693;55,681827;1245;2710483,868772;6495501,723740;304,832370;272,000000;374,000000
6118;3134,000000;47;144,795110;13,670051;31747;"Москва, Наташи Ковшовой ул, д.5/2";"Очаково-Матвеевское";37,454923;55,684082;1245;2710483,868772;6495501,723740;157,130032;182,000000;256,000000
6120;5033,000000;47;232,531521;21,953213;31786;"Москва, Озёрная ул, д.6";"Очаково-Матвеевское";37,459648;55,682198;1245;2710483,868772;6495501,723740;304,986296;223,000000;289,000000
6121;10431,000000;47;481,926545;45,498503;31735;"Москва, Марии Поливановой ул, д.6";"Очаково-Матвеевское";37,453000;55,678305;1224;2710339,691332;6494457,251892;398,579797;442,000000;663,000000
