"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
25647;13805,000000;12;615,333429;55,984107;45647;"Москва, Зеленоград, корп.330";"Савёлки";37,220076;55,996590;1076;2676858,498578;6526059,912907;90,640453;242,000000;327,000000
25649;2822,000000;12;125,785652;11,444197;45649;"Москва, Зеленоград, корп.333";"Савёлки";37,217292;55,994818;1075;2676898,935944;6525898,783501;97,980836;299,000000;415,000000
25658;3324,000000;12;148,161413;13,479983;45663;"Москва, Зеленоград, корп.345";"Савёлки";37,220031;55,994661;1075;2676898,935944;6525898,783501;102,966650;89,000000;122,000000
