"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
2310;8630,000000;73;476,231182;34,774976;21801;"Москва, Абрамцевская ул, д.2";"Лианозово";37,574246;55,892244;1793;2706574,469264;6520991,390398;481,712539;457,000000;622,000000
2316;6989,000000;73;385,675519;28,162492;21802;"Москва, Абрамцевская ул, д.2, корп.2";"Лианозово";37,576241;55,892409;1547;2707422,667176;6521027,744339;358,024178;626,000000;862,000000
2322;3665,000000;73;202,246498;14,768283;21833;"Москва, Новгородская ул, д.3, корп.1";"Лианозово";37,577417;55,892369;1547;2707422,667176;6521027,744339;282,646484;534,000000;738,000000
2324;3366,000000;73;185,746716;13,563449;21803;"Москва, Абрамцевская ул, д.4";"Лианозово";37,574964;55,893258;1793;2706574,469264;6520991,390398;431,109235;408,000000;553,000000
2325;10926,000000;73;602,931853;44,026812;21818;"Москва, Илимская ул, д.4";"Лианозово";37,575423;55,891739;1547;2707422,667176;6521027,744339;429,099960;546,000000;741,000000
2326;24603,000000;73;1357,672744;99,138903;21834;"Москва, Новгородская ул, д.4";"Лианозово";37,581378;55,891658;1547;2707422,667176;6521027,744339;222,556877;313,000000;432,000000
2330;2675,000000;73;147,615111;10,779033;21804;"Москва, Абрамцевская ул, д.4, корп.1";"Лианозово";37,576492;55,893166;1547;2707422,667176;6521027,744339;338,920366;532,000000;739,000000
2332;4571,000000;73;252,242495;18,419051;21805;"Москва, Абрамцевская ул, д.4, корп.2";"Лианозово";37,574282;55,893111;1793;2706574,469264;6520991,390398;401,410596;387,000000;527,000000
7213;3412,000000;73;188,285144;13,748808;21819;"Москва, Илимская ул, д.5";"Лианозово";37,581253;55,889220;1547;2707422,667176;6521027,744339;524,034579;490,000000;677,000000
7214;5997,000000;73;330,933766;24,165183;21835;"Москва, Новгородская ул, д.5";"Лианозово";37,577381;55,893868;1546;2707316,032763;6521222,970694;288,880021;482,000000;674,000000
7215;1458,000000;73;80,457133;5,875077;21820;"Москва, Илимская ул, д.5Б";"Лианозово";37,580274;55,890148;1547;2707422,667176;6521027,744339;400,784254;490,000000;687,000000
7216;10428,000000;73;575,450610;42,020098;21836;"Москва, Новгородская ул, д.5, корп.1";"Лианозово";37,577606;55,892843;1547;2707422,667176;6521027,744339;260,185603;524,000000;724,000000
7222;24757,000000;73;1366,170959;99,759453;21821;"Москва, Илимская ул, д.6";"Лианозово";37,578190;55,891734;1547;2707422,667176;6521027,744339;274,517373;453,000000;631,000000
12192;5802,000000;73;320,173038;23,379421;21822;"Москва, Илимская ул, д.8/2";"Лианозово";37,580256;55,890854;1547;2707422,667176;6521027,744339;314,937082;421,000000;592,000000
12199;18916,000000;73;1043,845776;76,222879;21816;"Москва, Илимская ул, д.10";"Лианозово";37,582188;55,890319;1547;2707422,667176;6521027,744339;405,296499;416,000000;575,000000
12213;4950,000000;73;273,156935;19,946249;21817;"Москва, Илимская ул, д.12";"Лианозово";37,584945;55,890163;1547;2707422,667176;6521027,744339;524,776098;429,000000;582,000000
32618;7486,000000;73;413,101579;30,165176;21806;"Москва, Алтуфьевское шоссе, д.83";"Лианозово";37,585475;55,890527;386;2708008,783277;6521228,126040;472,996213;410,000000;552,000000
