"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1_2014","STEP1_2015","STEP2_2014","STEP2_2015","STEP3_2014","STEP3_2015","STUDENTS_2014","STUDENTS_2015","STUDENTS_PER_SCHOOL_2014","STUDENTS_PER_SCHOOL_2015","CATCHEMENT_AREA_STUDENTS"
46,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №480 имени В.В. Талалихина ",480,"http://sch480c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,428,430,512,519,96,114,1036,1063,518,531.5,1916.85517
47,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1240 «Мультипрофильный образовательный комплекс «Пресненский»",1240,"http://sch1240.mskobr.ru/","школа","Центральный административный округ","слияние",3,499,527,600,588,204,207,1303,1322,434.3333333333,440.666666666667,7086.669692
48,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №345 имени А.С. Пушкина",345,"http://sch345.mskobr.ru/","школа","Центральный административный округ","слияние",2,369,331,446,484,136,125,951,940,475.5,470,6395.671605
49,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241",1241,"http://sch1241.mskobr.ru/","школа","Центральный административный округ","присоединение",2,564,583,477,460,86,115,1127,1158,563.5,579,2239.815434
50,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2030 ",2030,"http://coc2030.mskobr.ru/","школа","Центральный административный округ","присоединение",1,481,507,553,541,170,209,1204,1257,1204,1257,2724.853937
51,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",1285,"http://sch1285sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",3,660,651,798,811,191,211,1649,1673,549.6666666667,557.666666666667,12958.436629
55,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517",1517,"http://gym1517sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",6,1434,1574,1686,1829,435,467,3555,3870,592.5,645,26886.461984
57,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155",1155,"http://sch1155sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,352,381,294,341,46,49,692,771,692,771,8100.906461
60,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399 ",1399,"http://schu1399.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,285,312,331,336,106,110,722,758,722,758,3631.982483
61,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1874",1874,"http://sch1874sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,639,569,659,690,182,183,1480,1442,1480,1442,8149.055221
62,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538",1538,"http://gym1538sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,1064,1175,1230,1332,319,299,2613,2806,653.25,701.5,4482.871609
63,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №830",830,"http://sch830sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",2,578,621,573,635,112,110,1263,1366,631.5,683,9082.417935
77,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №827",827,"http://sch827sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,725,751,714,771,123,155,1562,1677,781,838.5,1534.024626
78,"Государственное бюджетное образовательное учреждение города Москвы лицей №1560",1560,"http://lyc1560.mskobr.ru/","лицей","Северо-Западный административный округ","присоединение",6,0,1450,0,1247,123,298,123,2995,20.5,499.166666666667,10792.194876
79,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551",1551,"http://gym1551sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,714,687,888,901,171,189,1773,1777,443.25,444.25,5506.584027
90,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2005 ",2005,"http://sch2005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,895,945,841,899,227,209,1963,2053,1963,2053,614.725603
92,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1900",1900,"http://sch1900sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,711,752,674,731,160,161,1545,1644,772.5,822,2387.847138
93,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,"http://sch1985.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,486,480,561,588,123,139,1170,1207,1170,1207,4871.788575
95,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №86 имени М.Е. Катукова",86,"http://sch86sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,358,375,493,522,83,98,934,995,467,497.5,277.462416
97,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298",1298,"http://sch1298sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,625,625,499,531,116,126,1240,1282,1240,1282,6573.838005
99,"Государственное бюджетное образовательное учреждение города Москвы лицей №1564 имени Героя Советского Союза А.П. Белобородова",1564,"http://lyc1564.mskobr.ru/","лицей","Северо-Западный административный округ","слияние",3,494,542,1013,1027,254,232,1761,1801,587,600.333333333333,2818.069887
102,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005 «Алые паруса»",1005,"http://sch1005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,350,461,218,254,40,47,608,762,608,762,1883.908874
103,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212",1212,"http://sch1212sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,337,377,295,306,76,78,708,761,354,380.5,393.54126
105,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387 ",1387,"http://sch1387.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,765,837,623,734,85,118,1473,1689,1473,1689,1949.10248
106,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1944 ",1944,"http://schusz1944.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,803,936,725,756,187,182,1715,1874,857.5,937,916.402461
107,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544",1544,"http://gym1544sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",2,528,556,423,467,147,139,1098,1162,549,581,2171.636656
108,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1286",1286,"http://sch1286sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",5,1051,1013,1028,1072,269,240,2348,2325,469.6,465,5842.274218
111,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1302 ",1302,"http://schu1302.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,551,579,368,399,104,93,1023,1071,511.5,535.5,578.840046
112,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №89 имени А.П. Маресьева ",89,"http://sch89sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,272,280,297,285,60,72,629,637,629,637,790.045006
114,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1747 ",1747,"http://sch1747sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",3,876,892,854,938,193,180,1923,2010,641,670,2077.625412
117,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1358",1358,"http://gym1358sz.mskobr.ru/","гимназия","Северо-Западный административный округ","слияние",4,1027,1100,919,991,260,250,2206,2341,551.5,585.25,956.392268
118,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1190",1190,"http://sch1190sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,200,203,216,202,66,96,482,501,482,501,2620.232052
121,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2097",2097,"http://sch2097sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",6,1292,1260,1431,1536,293,302,3016,3098,502.6666666667,516.333333333333,34949.770009
122,"Государственное бюджетное образовательное учреждение города Москвы лицей №138",138,"http://sch138sz.mskobr.ru/","лицей","Северо-Западный административный округ","слияние",3,936,957,887,940,175,235,1998,2132,666,710.666666666667,16033.663911
123,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1056",1056,"http://sch1056sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,462,494,496,512,121,141,1079,1147,1079,1147,2436.992967
124,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1519",1519,"http://gym1519.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,744,841,933,927,179,204,1856,1972,464,493,122.819405
125,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш. Окуджавы",69,"http://sch69sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,530,541,519,541,111,109,1160,1191,580,595.5,826.160514
126,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1191",1191,"http://sch1191sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",3,715,753,827,855,230,242,1772,1850,590.6666666667,616.666666666667,6920.484411
127,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №883",883,"http://sch883sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",2,514,487,587,615,111,126,1212,1228,606,614,3743.546797
128,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №705",705,"http://sch705sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,558,523,641,625,135,162,1334,1310,667,655,203.66592
130,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515",1515,"http://gym1515sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",2,374,397,588,580,181,131,1143,1108,571.5,554,8096.836935
131,"Государственное бюджетное образовательное учреждение города Москвы лицей №1571",1571,"http://lyc1571sz.mskobr.ru/","лицей","Северо-Западный административный округ","присоединение",5,1410,1580,1587,1690,295,323,3292,3593,658.4,718.6,4307.993509
132,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Курчатовская школа»",0,"http://kurchat.mskobr.ru/","школа","Северо-Западный административный округ","слияние",4,794,825,1190,1237,436,468,2420,2530,605,632.5,0
133,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1210",1210,"http://sch1210sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,576,540,535,567,129,128,1240,1235,620,617.5,5339.65301
134,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1288 имени Героя Советского Союза Н.В. Троян",1288,"http://sch1288s.mskobr.ru/","школа","Северный административный округ","слияние",3,912,1009,971,1038,259,250,2142,2297,714,765.666666666667,3518.729306
135,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №648",648,"http://sch648.mskobr.ru/","школа","Северный административный округ","присоединение",2,588,622,558,605,92,111,1238,1338,619,669,44.797319
162,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1125",1125,"http://sch1125s.mskobr.ru/","школа","Северный административный округ","присоединение",2,350,341,337,358,73,64,760,763,380,381.5,692.725402
163,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №208",208,"http://sch208s.mskobr.ru/","школа","Северный административный округ","присоединение",1,158,0,227,0,50,0,435,0,435,0,355.567268
164,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой",185,"http://sch185s.mskobr.ru/","школа","Северный административный округ","присоединение",1,553,552,433,506,76,92,1062,1150,1062,1150,473.273649
165,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1287",1287,"http://sch1287s.mskobr.ru/","школа","Северный административный округ","присоединение",2,445,464,574,567,201,192,1220,1223,610,611.5,1118.452488
166,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса",1252,"http://sch1252.mskobr.ru/","школа","Северный административный округ","присоединение",1,410,453,313,316,108,111,831,880,831,880,1006.153132
167,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1213",1213,"http://sch1213s.mskobr.ru/","школа","Северный административный округ","присоединение",2,387,401,434,416,87,95,908,912,454,456,1693.176791
168,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1409 ",1409,"http://gym1409s-new.mskobr.ru/","гимназия","Северный административный округ","слияние",1,717,760,811,846,159,190,1687,1796,1687,1796,1291.95508
169,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583",1583,"http://gym1583s-new.mskobr.ru/","гимназия","Северный административный округ","присоединение",3,659,807,711,928,177,164,1547,1899,515.6666666667,633,1345.836257
170,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1678 «Восточное Дегунино»",1678,"http://sch1678.mskobr.ru/","школа","Северный административный округ","слияние",3,349,339,352,374,88,84,789,797,263,265.666666666667,778.522542
172,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1315",1315,"http://sch1315s.mskobr.ru/","школа","Северный административный округ","присоединение",2,622,629,738,769,130,144,1490,1542,745,771,877.959444
