"ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","STUDENTS_2014","STUDENTS_2015","STUDENTS_2016","STUDENTS_PROJECT_CATCHMENT","STUDENTS_PROJECT_COMPLEX","STUDENTS_PROJECT_SNIP","DIST_TO_CENTER"
10975,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №843",843,"школа",FALSE,"119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1","ЗАО","Тропарёво-Никулино",751,175,630,616,636,649,520,274,13712.2186937588
10976,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №844",844,"школа",FALSE,"119361 г. Москва, Очаковская Б. ул., д.18","ЗАО","Очаково-Матвеевское",776,,523,554,642,548,749,1134,12853.9632758147
10977,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №846",846,"школа",FALSE,"109388, г. Москва, ул. Полбина, д. 44","ЮВАО","Печатники",458,,498,496,533,0,404,585,10590.5705013659
10978,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №847",847,"школа",FALSE,"125412, г. Москва, Коровинское шоссе, дом 24-а","САО","Дмитровский",205,,675,701,749,1234,822,663,15567.4292701903
10979,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №848",848,"школа",FALSE,"125183, г. Москва, ул. Академическая Б. улица, дом 77 А","САО","Коптево",873,,826,844,852,942,540,847,10950.8018785547
10980,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №849",849,"школа",FALSE,"127247, г. Москва, Бескудниковский бульвар, дом 50-а","САО","Бескудниковский",201,,58,906,930,649,649,441,14461.9505881001
10981,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №851",851,"школа",FALSE,"117587 Москва, ул. Кировоградская д.8Г","ЮАО","Чертаново Северное",374,,560,550,558,1784,1190,1026,14019.0820065335
10982,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №852",852,"школа",FALSE,"124460. г. Москва, Зеленоград, корп.1115","ЗелАО","Силино",812,279,489,496,497,1137,413,674,38344.6970760672
10983,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1701",1701,"начальная школа",FALSE,"124460, г. Москва, Зеленоград, корп. 913А","ЗелАО","Старое Крюково",796,,583,595,629,0,413,487,38709.1097395965
10984,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №853",853,"школа",FALSE,"124460, г. Москва, Зеленоград, корп. 913А","ЗелАО","Старое Крюково",796,29,583,595,629,1137,413,362,37144.6771950899
