"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"354","227","1060"
"355","208","1017"
"356","256","1158"
"357","231","1035"
"358","165","757"
"359","270","1967"
"360","306","2160"
"361","285","2041"
"362","301","2117"
"363","254","1973"
"364","312","2390"
"365","341","2724"
"366","364","2834"
"367","364","2834"
"368","361","2823"
"369","382","2919"
"370","333","2650"
"371","352","2772"
"372","324","2599"
"373","289","2233"
"374","401","2818"
"375","379","2630"
"376","417","2897"
"377","435","2984"
"378","311","2424"
"379","313","2320"
"380","320","2688"
"381","422","2798"
"382","349","2638"
"383","369","2791"
"384","386","2959"
"385","365","2855"
"386","366","2840"
"387","407","3039"
"388","419","3444"
"389","414","3060"
"390","409","3031"
"391","425","3547"
"392","413","3344"
"393","399","3404"
"394","400","2688"
"395","379","2488"
"396","347","2337"
"397","385","2448"
"398","283","1964"
"399","261","1632"
"400","270","1677"
"401","303","1777"
"402","302","1659"
"403","298","1635"
"404","284","1542"
"405","293","1583"
"406","257","1434"
"407","245","1368"
"408","270","1615"
"409","260","1568"
"410","320","2090"
"411","295","1920"
"412","313","1970"
"413","306","1933"
"414","324","2033"
"415","314","1713"
"416","301","1905"
"417","288","1851"
"418","312","1965"
"419","317","2018"
"420","273","1734"
"421","408","2550"
"422","243","1274"
"423","229","1234"
"424","235","1345"
"425","287","1678"
"426","281","1176"
"427","253","1285"
"428","299","1502"
"429","277","1398"
"430","268","1849"
"431","272","1515"
"432","349","2262"
"433","330","1647"
"434","276","1547"
"435","309","1925"
"436","295","2005"
"437","322","2115"
"438","328","2261"
"439","363","2277"
"440","354","2122"
"441","333","2028"
"442","367","2186"
"443","335","2034"
"444","332","2340"
"445","410","2461"
"446","353","2425"
"447","356","2442"
"448","378","2483"
"449","413","2677"
"450","427","2747"
"451","420","2690"
"452","382","2714"
"453","372","2781"
"454","378","2811"
"455","420","3004"
"456","415","2964"
"457","404","2915"
"458","396","2897"
"459","407","2690"
"460","374","2843"
"461","394","2971"
"462","379","2921"
"463","355","2440"
"464","276","2427"
"465","364","3813"
"466","370","3824"
"467","65","444"
"468","230","1955"
"469","69","312"
"470","67","297"
"471","59","284"
"472","236","1969"
"473","34","169"
"474","47","236"
"475","41","203"
"476","49","220"
"477","42","193"
"478","192","1582"
"479","86","449"
"480","204","1640"
"481","105","489"
"482","216","1699"
"483","109","612"
"484","226","1753"
"485","231","1800"
"486","134","1099"
"487","166","917"
"488","175","932"
"489","168","937"
"490","166","913"
"491","159","891"
"492","139","819"
"493","138","815"
"494","131","779"
"495","124","766"
"496","131","779"
"497","91","540"
"498","91","540"
"499","52","273"
"500","72","330"
"501","72","330"
"502","82","403"
"503","88","458"
"504","87","456"
"505","98","539"
"506","269","2416"
"507","72","297"
"508","86","369"
"509","69","282"
"510","43","169"
"511","93","396"
"512","33","134"
"513","32","131"
"514","12","55"
"515","9","52"
"516","212","989"
"517","212","989"
"518","203","938"
"519","197","1029"
"520","132","554"
"521","144","594"
"522","125","511"
"523","148","630"
"524","185","1255"
"525","122","1016"
"526","132","1095"
"527","152","1185"
"528","164","1236"
"529","164","1236"
"530","188","1241"
"531","205","1206"
"532","192","1308"
"533","157","779"
"534","122","637"
"535","187","858"
"536","209","931"
"537","136","742"
"538","199","1004"
"539","200","989"
"540","220","1078"
"541","234","1142"
"542","257","1247"
"543","278","1681"
"544","265","1711"
"545","274","1745"
"546","289","2009"
"547","205","792"
"548","163","738"
"549","158","790"
"550","222","1379"
"551","213","1271"
"552","203","1320"
"553","135","744"
"554","182","856"
"555","158","841"
"556","207","971"
"557","279","2755"
"558","276","2737"
"559","266","2530"
"560","281","2529"
"561","283","2621"
"562","304","2331"
"563","273","2200"
"564","203","1664"
"565","219","1739"
"566","196","1310"
"567","165","1280"
"568","252","1982"
"569","198","1073"
"570","181","989"
"571","197","1072"
"572","193","1029"
"573","219","1169"
"574","219","1166"
"575","222","1159"
"576","222","1159"
"577","107","638"
"578","241","1267"
"579","139","765"
"580","257","1780"
"581","101","597"
"582","241","1701"
"583","274","1748"
"584","244","1598"
"585","244","1597"
"586","172","816"
"587","158","784"
"588","139","738"
"589","154","751"
"590","149","773"
"591","120","640"
"592","211","1286"
"593","127","675"
"594","143","735"
"595","152","750"
"596","274","2971"
"597","521","4204"
"598","420","3124"
"599","573","4608"
"600","546","4342"
"601","549","4339"
"602","584","4588"
"603","564","4487"
"604","574","4537"
"605","575","4371"
"606","554","4423"
"607","559","4276"
"608","551","4235"
"609","492","4037"
"610","498","3491"
"611","502","4115"
"612","521","4204"
"613","472","3884"
"614","477","3935"
"615","484","3967"
"616","482","3985"
"617","480","3872"
"618","505","4051"
"619","491","4075"
"620","368","2488"
"621","368","2488"
"622","364","2461"
"623","356","2537"
"624","361","2534"
"625","456","2959"
"626","464","2973"
"627","421","2965"
"628","532","3798"
"629","525","3771"
"630","498","3622"
"631","470","3409"
"632","447","3095"
"633","432","3021"
"634","423","2964"
"635","403","2887"
"636","514","3712"
"637","515","3528"
"638","376","2630"
"639","371","2421"
"640","365","2364"
"641","350","2291"
"642","356","2347"
"643","351","2292"
"644","329","2258"
"645","322","2174"
"646","485","3591"
"647","525","3754"
"648","459","3453"
"649","475","3351"
"650","590","4391"
"651","592","4436"
"652","591","4422"
"653","589","4282"
"654","595","4291"
"655","517","4156"
"656","606","4551"
"657","609","4570"
"658","597","4428"
"659","489","4316"
"660","461","3295"
"661","453","3255"
"662","460","3765"
"663","472","3765"
"664","429","3185"
"665","474","3845"
"666","412","3101"
"667","461","3313"
"668","406","2950"
"669","547","3998"
"670","552","4010"
"671","557","3989"
"672","537","3936"
"673","539","4016"
"674","449","3415"
"675","476","3595"
"676","531","3972"
"677","404","3049"
"678","497","3578"
"679","495","3568"
"680","383","2757"
"681","471","3509"
"682","500","3456"
"683","363","2503"
"684","350","2437"
"685","382","2861"
"686","346","2417"
"687","371","2510"
"688","354","2456"
"689","358","2413"
"690","366","2717"
"691","336","2330"
"692","341","2357"
"693","364","2718"
"694","368","2708"
"695","359","2693"
"696","365","2740"
"697","368","2789"
"698","579","4318"
"699","347","2745"
"700","290","2052"
"701","312","2120"
"702","310","2110"
"703","269","1946"
"704","288","2011"
"705","273","1937"
"706","278","1881"
"707","292","1960"
"708","298","1979"
"709","295","1942"
"710","300","1974"
"711","263","1791"
"712","239","1688"
"713","244","1702"
"714","262","1781"
"715","253","1678"
"716","255","1699"
"717","249","1690"
"718","234","1597"
"719","275","1904"
"720","573","4291"
"721","256","1771"
"722","236","1696"
"723","582","4372"
"724","570","4088"
"725","637","4467"
"726","423","3530"
"727","418","3289"
"728","399","3150"
"729","387","3071"
"730","380","2898"
"731","377","2851"
"732","408","3175"
"733","466","3742"
"734","463","3729"
"735","373","2929"
"736","381","3018"
"737","366","2835"
"738","400","3046"
"739","412","3122"
"740","391","2882"
"741","430","3432"
"742","454","3562"
"743","462","3516"
"744","470","3627"
"745","416","3405"
"746","451","3437"
"747","415","3397"
"748","453","3437"
"749","549","3960"
"750","565","4100"
"751","534","3912"
"752","514","3835"
"753","576","4097"
"754","544","3990"
"755","554","4063"
"756","465","3456"
"757","471","3468"
"758","420","3287"
"759","424","3343"
"760","440","3310"
"761","434","3189"
"762","436","3262"
"763","420","3124"
"764","581","4329"
"765","545","4035"
"766","534","4121"
"767","523","3786"
"768","520","3846"
"769","520","3806"
"770","448","3409"
"771","436","3282"
"772","487","3572"
"773","460","3490"
"774","462","3500"
"775","438","3353"
"776","399","3048"
"777","438","3292"
"778","387","2846"
"779","377","2800"
"780","407","3118"
"781","405","3101"
"782","370","2744"
"783","364","2738"
"784","392","2859"
"785","384","2663"
"786","365","2570"
"787","431","3185"
"788","345","2624"
"789","392","3015"
"790","324","2515"
"791","332","2406"
"792","338","2240"
"793","376","2815"
"794","310","2302"
"795","324","2153"
"796","310","2095"
"797","369","2727"
"798","382","2790"
"799","379","2477"
"800","543","4039"
"801","558","4060"
"802","534","3999"
"803","355","2656"
"804","374","2729"
"805","323","2463"
"806","317","2361"
"807","319","2328"
"808","277","1865"
"809","273","1830"
"810","270","1759"
"811","317","2396"
"812","324","2413"
"813","343","2489"
"814","347","2502"
"815","339","2352"
"816","328","2317"
"817","255","1761"
"818","243","1704"
"819","540","3974"
"820","300","2117"
"821","298","2125"
"822","271","1940"
"823","278","1966"
"824","274","2029"
"825","268","2004"
"826","525","3919"
"827","516","3766"
"828","493","3617"
"829","495","3715"
"830","486","3647"
"831","502","3706"
"832","489","3598"
"833","486","3558"
"834","496","3644"
"835","488","3591"
"836","520","3730"
"837","454","3390"
"838","479","3531"
"839","462","3430"
"840","470","3465"
"841","485","3566"
"842","477","3500"
"843","455","3536"
"844","477","3572"
"845","450","3173"
"846","445","3384"
"847","445","3398"
"848","464","3518"
"849","457","3480"
"850","520","3730"
"851","525","3895"
"852","509","3681"
"853","518","3861"
"854","505","3666"
"855","509","3760"
"856","496","3620"
"857","415","3029"
"858","415","2963"
"859","403","2982"
"860","408","3006"
"861","370","2570"
"862","356","2498"
"863","364","2610"
"864","506","3684"
"865","511","3676"
"866","504","3544"
"867","480","3485"
"868","500","3549"
"869","347","2408"
"870","359","2463"
"871","344","2405"
"872","363","2485"
"873","362","2377"
"874","343","2313"
"875","361","2389"
"876","365","2365"
"877","347","2332"
"878","363","2377"
"879","481","3559"
"880","372","2952"
"881","306","1881"
"882","322","1942"
"883","329","1965"
"884","342","2032"
"885","346","2047"
"886","305","1877"
"887","308","1852"
"888","329","1941"
"889","414","3094"
"890","443","3162"
"891","479","3516"
"892","459","3269"
"893","416","3006"
"894","437","3123"
"895","407","2968"
"896","476","3346"
"897","455","3167"
"898","444","3132"
"899","455","3150"
"900","442","3150"
"901","408","2876"
"902","423","2920"
"903","488","3415"
"904","494","3445"
"905","500","3475"
"906","444","3114"
"907","420","3021"
"908","464","3273"
"909","427","3027"
"910","475","3299"
"911","470","3278"
"912","474","3313"
"913","492","3449"
"914","388","2806"
"915","401","2846"
"916","399","2840"
"917","381","2760"
"918","423","2821"
"919","418","2820"
"920","344","2548"
"921","489","3423"
"922","420","2795"
"923","386","2664"
"924","473","3364"
"925","361","2448"
"926","319","2182"
"927","338","2129"
"928","326","2312"
"929","317","2048"
"930","293","1654"
"931","282","1602"
"932","271","1551"
"933","260","1502"
"934","453","3275"
"935","467","3367"
"936","485","3435"
"937","321","2113"
"938","329","2153"
"939","303","2028"
"940","312","2069"
"941","332","2145"
"942","248","1521"
"943","248","1416"
"944","271","1527"
"945","271","1528"
"946","307","1682"
"947","324","2267"
"948","324","2268"
"949","456","3296"
"950","487","3414"
"951","263","1293"
"952","263","1292"
"953","284","2304"
"954","302","1653"
"955","294","2141"
"956","294","2141"
"957","456","3319"
"958","442","3226"
"959","438","3217"
"960","386","2999"
"961","387","2749"
"962","405","2796"
"963","361","2630"
"964","370","2709"
"965","383","2673"
"966","368","2721"
"967","390","2589"
"968","401","2628"
"969","382","2648"
"970","380","2840"
"971","380","2854"
"972","398","2862"
"973","382","2798"
