OBJECTID;ADDRESS;ID;POINT_X;POINT_Y
91;Москва, 13-я Парковая ул, д.27, корп.4;91;37,809596;55,805042
92;Москва, 13-я Парковая ул, д.28, корп.1;92;37,814375;55,805412
93;Москва, 13-я Парковая ул, д.28, корп.2;93;37,814375;55,805412
94;Москва, 13-я Парковая ул, д.28, корп.3;94;37,8153;55,80524
95;Москва, 13-я Парковая ул, д.30;95;37,81478;55,806049
96;Москва, 13-я Парковая ул, д.31, корп.1;96;37,811303;55,806732
97;Москва, 13-я Парковая ул, д.31, корп.2;97;37,809093;55,807127
98;Москва, 13-я Парковая ул, д.31, корп.3;98;37,810053;55,806711
99;Москва, 13-я Парковая ул, д.32;99;37,812344;55,806454
100;Москва, 13-я Парковая ул, д.34, корп.1;100;37,814106;55,806631
101;Москва, 13-я Парковая ул, д.34, корп.2;101;37,813899;55,80698
102;Москва, 13-я Парковая ул, д.35, корп.1;102;37,808851;55,807719
103;Москва, 13-я Парковая ул, д.35, корп.2;103;37,808851;55,807719
104;Москва, 13-я Парковая ул, д.35, корп.3;104;37,808851;55,807719
105;Москва, 13-я Парковая ул, д.35, корп.4;105;37,808851;55,807719
106;Москва, 13-я Парковая ул, д.35, корп.5;106;37,808851;55,807719
107;Москва, 13-я Парковая ул, д.36;107;37,812363;55,807117
108;Москва, 13-я Парковая ул, д.37, корп.1;108;37,811141;55,809464
109;Москва, 13-я Парковая ул, д.37, корп.2;109;37,810333;55,809449
110;Москва, 13-я Парковая ул, д.37, корп.3;110;37,809524;55,809444
111;Москва, 13-я Парковая ул, д.38, корп.2;111;37,813252;55,807349
112;Москва, 13-я Парковая ул, д.40;112;37,812965;55,808169
113;Москва, 13-я Парковая ул, д.42;113;37,812677;55,809661
114;Москва, 15-я Парковая ул, д.36/63, корп.2;114;37,820529;55,804248
115;Москва, 15-я Парковая ул, д.38;115;37,819415;55,804202
116;Москва, 15-я Парковая ул, д.39;116;37,817528;55,80454
117;Москва, 15-я Парковая ул, д.39, корп.1;117;37,817213;55,803889
118;Москва, 15-я Парковая ул, д.39, корп.2;118;37,817385;55,804268
119;Москва, 15-я Парковая ул, д.39, корп.3;119;37,81663;55,804171
120;Москва, 15-я Парковая ул, д.40, корп.1;120;37,8191;55,805058
121;Москва, 15-я Парковая ул, д.40, корп.2;121;37,819334;55,805604
122;Москва, 15-я Парковая ул, д.40, корп.3;122;37,822038;55,806489
123;Москва, 15-я Парковая ул, д.40, корп.4;123;37,821535;55,807101
124;Москва, 15-я Парковая ул, д.40, корп.5;124;37,822532;55,807112
125;Москва, 15-я Парковая ул, д.41, корп.1;125;37,818202;55,805174
126;Москва, 15-я Парковая ул, д.41, корп.2;126;37,816172;55,805457
127;Москва, 15-я Парковая ул, д.41А;127;37,817464;55,80527
128;Москва, 15-я Парковая ул, д.42, корп.1;128;37,819253;55,806469
129;Москва, 15-я Парковая ул, д.42, корп.10;129;37,82644;55,806393
130;Москва, 15-я Парковая ул, д.42, корп.2;130;37,819972;55,80656
131;Москва, 15-я Парковая ул, д.42, корп.3;131;37,820654;55,806651
132;Москва, 15-я Парковая ул, д.42, корп.4;132;37,823592;55,806813
133;Москва, 15-я Парковая ул, д.42, корп.6;133;37,825811;55,807066
134;Москва, 15-я Парковая ул, д.42, корп.7;134;37,824365;55,806115
135;Москва, 15-я Парковая ул, д.42, корп.8;135;37,825056;55,806206
136;Москва, 15-я Парковая ул, д.42, корп.9;136;37,825739;55,806292
137;Москва, 15-я Парковая ул, д.44, корп.1;137;37,818678;55,806995
138;Москва, 15-я Парковая ул, д.45;138;37,817492;55,805832
139;Москва, 15-я Парковая ул, д.46, корп.1;139;37,819109;55,807653
140;Москва, 15-я Парковая ул, д.46, корп.10;140;37,826269;55,808311
141;Москва, 15-я Парковая ул, д.46, корп.2;141;37,819927;55,807759
142;Москва, 15-я Парковая ул, д.46, корп.3;142;37,820663;55,807865
143;Москва, 15-я Парковая ул, д.46, корп.4;143;37,823448;55,808695
144;Москва, 15-я Парковая ул, д.46, корп.5;144;37,824535;55,809338
145;Москва, 15-я Парковая ул, д.46, корп.6;145;37,825649;55,808983
146;Москва, 15-я Парковая ул, д.46, корп.7;146;37,824194;55,808053
147;Москва, 15-я Парковая ул, д.46, корп.8;147;37,824886;55,808139
148;Москва, 15-я Парковая ул, д.46, корп.9;148;37,825577;55,808225
149;Москва, 15-я Парковая ул, д.47, корп.1;149;37,817043;55,807041
150;Москва, 15-я Парковая ул, д.47, корп.3;150;37,815211;55,806909
151;Москва, 15-я Парковая ул, д.47, корп.4;151;37,815103;55,807182
152;Москва, 15-я Парковая ул, д.47, корп.5;152;37,814995;55,807466
153;Москва, 15-я Парковая ул, д.48;153;37,818499;55,808376
154;Москва, 15-я Парковая ул, д.48, корп.1;154;37,819864;55,808422
155;Москва, 15-я Парковая ул, д.48, корп.2;155;37,822945;55,807612
156;Москва, 15-я Парковая ул, д.49;156;37,816603;55,808245
157;Москва, 15-я Парковая ул, д.50;157;37,817861;55,808913
158;Москва, 15-я Парковая ул, д.52, корп.1;158;37,818912;55,809368
159;Москва, 15-я Парковая ул, д.52, корп.2;159;37,81946;55,808862
160;Москва, 15-я Парковая ул, д.54;160;37,817564;55,809788
161;Москва, 15-я Парковая ул, д.56;161;37,818283;55,810056
162;Москва, 15-я Парковая ул, д.58;162;37,817726;55,810526
163;Москва, 15-я Парковая ул, д.60;163;37,817277;55,810724
164;Москва, 16-я Парковая ул, д.10;164;37,826736;55,799628
165;Москва, 16-я Парковая ул, д.14;165;37,828757;55,800362
166;Москва, 16-я Парковая ул, д.16, корп.1;166;37,832027;55,801394
167;Москва, 16-я Парковая ул, д.16, корп.2;167;37,832952;55,801202
168;Москва, 16-я Парковая ул, д.16, корп.3;168;37,832135;55,800701
169;Москва, 16-я Парковая ул, д.18;169;37,83059;55,802371
170;Москва, 16-я Парковая ул, д.25, корп.1;170;37,827266;55,80105
171;Москва, 16-я Парковая ул, д.29, корп.1;171;37,828802;55,802158
172;Москва, 16-я Парковая ул, д.29, корп.2;172;37,828066;55,802254
173;Москва, 16-я Парковая ул, д.35;173;37,829404;55,804425
174;Москва, 16-я Парковая ул, д.37;174;37,827347;55,80567
175;Москва, 16-я Парковая ул, д.37, корп.1;175;37,829072;55,805412
176;Москва, 16-я Парковая ул, д.39;176;37,829099;55,806201
177;Москва, 16-я Парковая ул, д.43, корп.1;177;37,828721;55,807279
178;Москва, 16-я Парковая ул, д.43, корп.2;178;37,82732;55,807319
179;Москва, 16-я Парковая ул, д.45;179;37,828883;55,808159
180;Москва, 16-я Парковая ул, д.49, корп.1;180;37,828497;55,809226
181;Москва, 16-я Парковая ул, д.49, корп.2;181;37,827167;55,809246
182;Москва, 16-я Парковая ул, д.51;182;37,828407;55,810122
183;Москва, 16-я Парковая ул, д.55, корп.1;183;37,828263;55,811179
184;Москва, 16-я Парковая ул, д.55, корп.2;184;37,827068;55,811179
185;Москва, 16-я Парковая ул, д.6;185;37,824778;55,798838
186;Москва, 9-я Парковая ул, д.66, корп.1;186;37,799373;55,807056
187;Москва, 9-я Парковая ул, д.66, корп.2;187;37,800299;55,807107
188;Москва, 9-я Парковая ул, д.68, корп.2;188;37,800397;55,808108
189;Москва, 9-я Парковая ул, д.68, корп.3;189;37,801889;55,808128
190;Москва, 9-я Парковая ул, д.70, корп.1;190;37,799265;55,809105
191;Москва, 9-я Парковая ул, д.70, корп.2;191;37,800083;55,809124
192;Москва, Алтайская ул, д.10;192;37,808788;55,819429
193;Москва, Алтайская ул, д.11;193;37,817115;55,821229
194;Москва, Алтайская ул, д.14;194;37,812426;55,819585
195;Москва, Алтайская ул, д.15;195;37,819073;55,82129
196;Москва, Алтайская ул, д.16;196;37,813486;55,819616
197;Москва, Алтайская ул, д.17, корп.1;197;37,821113;55,820754
198;Москва, Алтайская ул, д.17, корп.2;198;37,821229;55,821366
199;Москва, Алтайская ул, д.18;199;37,815786;55,81958
200;Москва, Алтайская ул, д.19;200;37,822685;55,82134
201;Москва, Алтайская ул, д.2;201;37,8002;55,819206
202;Москва, Алтайская ул, д.20;202;37,817672;55,819863
203;Москва, Алтайская ул, д.21;203;37,824607;55,820845
204;Москва, Алтайская ул, д.22;204;37,81884;55,819778
205;Москва, Алтайская ул, д.24;205;37,819909;55,819803
206;Москва, Алтайская ул, д.26;206;37,822245;55,819778
207;Москва, Алтайская ул, д.4;207;37,803524;55,81952
208;Москва, Алтайская ул, д.5;208;37,81195;55,820491
209;Москва, Алтайская ул, д.6;209;37,8055;55,819429
210;Москва, Алтайская ул, д.7;210;37,813441;55,821254
211;Москва, Алтайская ул, д.8;211;37,806614;55,819454
212;Москва, Алтайская ул, д.9, корп.1;212;37,814905;55,820612
213;Москва, Алтайская ул, д.9, корп.2;213;37,815202;55,821204
214;Москва, Байкальская ул, д.23;214;37,800829;55,817385
215;Москва, Байкальская ул, д.25, корп.1;215;37,802419;55,818058
216;Москва, Байкальская ул, д.25, корп.2;216;37,8032;55,818286
217;Москва, Байкальская ул, д.25, корп.3;217;37,803982;55,818518
218;Москва, Байкальская ул, д.25, корп.4;218;37,804763;55,818741
219;Москва, Байкальская ул, д.26/10;219;37,800892;55,816465
220;Москва, Байкальская ул, д.27;220;37,805042;55,817491
221;Москва, Байкальская ул, д.29;221;37,807458;55,817572
222;Москва, Байкальская ул, д.30, корп.1;222;37,804072;55,816283
223;Москва, Байкальская ул, д.30, корп.2;223;37,804826;55,815306
224;Москва, Байкальская ул, д.30, корп.3;224;37,804584;55,814457
225;Москва, Байкальская ул, д.30, корп.4;225;37,805707;55,814491
226;Москва, Байкальская ул, д.31;226;37,808419;55,817699
227;Москва, Байкальская ул, д.32;227;37,804826;55,816293
228;Москва, Байкальская ул, д.33, корп.1;228;37,809417;55,81824
229;Москва, Байкальская ул, д.33, корп.2;229;37,810207;55,818473
230;Москва, Байкальская ул, д.33, корп.3;230;37,81098;55,819004
231;Москва, Байкальская ул, д.33, корп.4;231;37,811752;55,819236
232;Москва, Байкальская ул, д.34;232;37,805581;55,816313
233;Москва, Байкальская ул, д.35;233;37,812049;55,817658
234;Москва, Байкальская ул, д.35, корп.3;234;37,811617;55,8182
235;Москва, Байкальская ул, д.35, корп.4;235;37,812776;55,819069
236;Москва, Байкальская ул, д.35, стр.4;236;37,810881;55,817881
237;Москва, Байкальская ул, д.36;237;37,806344;55,816328
238;Москва, Байкальская ул, д.37;238;37,814573;55,817734
239;Москва, Байкальская ул, д.38, корп.1;239;37,807216;55,816364
240;Москва, Байкальская ул, д.38, корп.2;240;37,806946;55,815367
241;Москва, Байкальская ул, д.38, корп.3;241;37,807234;55,814563
242;Москва, Байкальская ул, д.38, корп.4;242;37,808357;55,814603
243;Москва, Байкальская ул, д.39;243;37,815489;55,817729
244;Москва, Байкальская ул, д.40/17;244;37,809453;55,816783
245;Москва, Байкальская ул, д.41, корп.1;245;37,816343;55,818437
246;Москва, Байкальская ул, д.41, корп.2;246;37,817133;55,818655
247;Москва, Байкальская ул, д.41, корп.3;247;37,817897;55,818882
248;Москва, Байкальская ул, д.41, корп.4;248;37,818687;55,818862
249;Москва, Байкальская ул, д.42, корп.2;249;37,813477;55,816303
250;Москва, Байкальская ул, д.42/14, корп.1;250;37,813091;55,816935
251;Москва, Байкальская ул, д.43;251;37,81813;55,8178
252;Москва, Байкальская ул, д.44, корп.1;252;37,815866;55,816773
253;Москва, Байкальская ул, д.44, корп.2;253;37,816073;55,815696
254;Москва, Байкальская ул, д.44, корп.3;254;37,816846;55,815721
255;Москва, Байкальская ул, д.44, корп.4;255;37,816711;55,81476
256;Москва, Байкальская ул, д.45;256;37,82069;55,817881
257;Москва, Байкальская ул, д.46, корп.1;257;37,819226;55,816971
258;Москва, Байкальская ул, д.47;258;37,82175;55,817881
259;Москва, Байкальская ул, д.48, корп.1;259;37,823017;55,816885
260;Москва, Байкальская ул, д.48, корп.2;260;37,825146;55,816374
261;Москва, Байкальская ул, д.51, корп.1;261;37,824356;55,817992
262;Москва, Байкальская ул, д.51, корп.2;262;37,823942;55,818559
263;Москва, Байкальская ул, д.51, корп.3;263;37,823915;55,818943
264;Москва, Байкальская ул, д.51, корп.4;264;37,823879;55,819326
265;Москва, Камчатская ул, д.11;265;37,812579;55,828905
266;Москва, Камчатская ул, д.19;266;37,819208;55,829057
267;Москва, Камчатская ул, д.2;267;37,81;55,826645
268;Москва, Камчатская ул, д.21;268;37,820619;55,829092
269;Москва, Камчатская ул, д.3;269;37,808006;55,824243
270;Москва, Камчатская ул, д.4;270;37,810998;55,827115
271;Москва, Камчатская ул, д.4, корп.1;271;37,809839;55,827211
272;Москва, Камчатская ул, д.4, корп.2;272;37,811456;55,828056
273;Москва, Камчатская ул, д.5;273;37,807135;55,824845
274;Москва, Камчатская ул, д.6, корп.1;274;37,812354;55,827246
275;Москва, Камчатская ул, д.6, корп.2;275;37,812462;55,827944
276;Москва, Камчатская ул, д.7;276;37,807458;55,826068
277;Москва, Камчатская ул, д.8, корп.1;277;37,819514;55,828081
278;Москва, Камчатская ул, д.8, корп.2;278;37,820439;55,827321
279;Москва, Константина Федина ул, д.13;279;37,802185;55,807157
280;Москва, Константина Федина ул, д.15;280;37,802895;55,807172
281;Москва, Константина Федина ул, д.17;281;37,803784;55,807187
282;Москва, Константина Федина ул, д.19;282;37,804485;55,807198
283;Москва, Курганская ул, д.10;283;37,821849;55,829502
284;Москва, Курганская ул, д.12;284;37,823376;55,829431
285;Москва, Курганская ул, д.2;285;37,813261;55,829183
286;Москва, Курганская ул, д.3;286;37,809255;55,828455
287;Москва, Курганская ул, д.4;287;37,814968;55,82936
288;Москва, Курганская ул, д.6;288;37,817951;55,829436
