"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"22007";"623";"860"
"22008";"464";"658"
"22009";"373";"532"
"22010";"481";"673"
"22011";"489";"693"
"22012";"474";"671"
"22013";"375";"544"
"22014";"267";"367"
"22015";"377";"530"
"22016";"377";"530"
"22017";"377";"530"
"22018";"377";"530"
"22019";"515";"727"
"22020";"356";"519"
"22021";"576";"812"
"22022";"440";"626"
"22023";"580";"811"
"22024";"326";"455"
"22025";"370";"523"
"22026";"580";"811"
"22027";"325";"461"
"22028";"434";"617"
"22029";"430";"614"
"22030";"365";"523"
"22031";"327";"468"
"22032";"371";"528"
"22033";"228";"320"
"22034";"228";"314"
"22035";"224";"310"
"22036";"334";"458"
"22037";"324";"463"
"22038";"324";"463"
"22039";"391";"555"
"22040";"244";"350"
"22041";"200";"285"
"22042";"414";"589"
"22043";"339";"483"
"22044";"339";"483"
"22045";"439";"624"
"22046";"410";"581"
"22047";"488";"676"
"22048";"476";"660"
"22049";"171";"233"
"22050";"145";"192"
"22051";"476";"660"
"22052";"430";"600"
"22053";"339";"483"
"22054";"157";"211"
"22055";"164";"225"
"22056";"144";"202"
"22057";"152";"201"
"22058";"239";"316"
"22059";"240";"314"
"22060";"344";"458"
"22061";"301";"404"
"22062";"171";"233"
"22063";"220";"311"
"22064";"99";"135"
"22065";"161";"218"
"22066";"145";"192"
"22067";"105";"142"
"22068";"78";"108"
"22069";"281";"398"
"22070";"138";"197"
"22071";"334";"462"
"22072";"352";"485"
"22073";"58";"78"
"22074";"304";"422"
"22075";"325";"432"
"22076";"229";"311"
"22077";"205";"281"
"22078";"506";"687"
"22079";"485";"657"
"22080";"316";"429"
"22081";"361";"492"
"22082";"370";"486"
"22083";"248";"344"
"22084";"152";"215"
"22085";"229";"325"
"22086";"254";"353"
"22087";"322";"448"
"22088";"373";"506"
"22089";"355";"488"
"22090";"417";"572"
"22091";"464";"621"
"22092";"1974";"2723"
"22093";"2003";"2766"
"22094";"2027";"2810"
"22095";"2062";"2864"
"22096";"2162";"2988"
"22097";"2221";"3061"
"22098";"2216";"3058"
"22099";"2903";"4047"
"22100";"600";"837"
"22101";"557";"779"
"22102";"579";"798"
"22103";"716";"994"
"22104";"798";"1097"
"22105";"392";"552"
"22106";"370";"513"
"22107";"460";"636"
"22108";"466";"644"
"22109";"307";"426"
"22110";"605";"840"
"22111";"384";"537"
"22112";"325";"432"
"22113";"716";"994"
"22114";"395";"539"
"22115";"298";"412"
"22116";"235";"327"
"22117";"97";"131"
"22118";"48";"66"
"22119";"280";"383"
"22120";"305";"416"
"22121";"377";"515"
"22122";"414";"566"
"22123";"680";"946"
"22124";"305";"419"
"22125";"1186";"1642"
"22126";"186";"254"
"22127";"120";"160"
"22128";"81";"106"
"22129";"168";"227"
"22130";"124";"165"
"22131";"719";"990"
"22132";"637";"873"
"22133";"694";"951"
"22134";"545";"745"
"22135";"605";"828"
"22136";"464";"634"
"22137";"464";"634"
"22138";"615";"841"
"22139";"589";"796"
"22140";"450";"611"
"22141";"421";"572"
"22142";"499";"677"
"22143";"383";"521"
"22144";"392";"533"
"22145";"433";"588"
"22146";"451";"610"
"22147";"354";"477"
"22148";"312";"423"
"22149";"232";"325"
"22150";"253";"351"
"22151";"1805";"2491"
"22152";"1805";"2491"
"22153";"1805";"2491"
"22154";"1805";"2491"
"22155";"1805";"2491"
"22156";"1805";"2491"
"22157";"824";"1134"
"22158";"1070";"1471"
"22159";"653";"907"
"22160";"747";"1029"
"22161";"1070";"1471"
"22162";"1197";"1654"
"22163";"1187";"1644"
"22164";"1070";"1471"
"22165";"830";"1145"
"22166";"854";"1173"
"22167";"828";"1142"
"22168";"830";"1145"
"22169";"718";"990"
"22170";"1214";"1677"
"22171";"1231";"1702"
"22172";"1191";"1644"
"22173";"1235";"1704"
"22174";"1302";"1790"
"22175";"1327";"1832"
"22176";"1300";"1796"
"22177";"1302";"1790"
"22178";"824";"1134"
"22179";"783";"1078"
"22180";"938";"1283"
"22181";"938";"1283"
"22182";"938";"1283"
"22183";"1011";"1371"
"22184";"1031";"1401"
"22185";"1100";"1500"
"22186";"1073";"1461"
"22187";"744";"1024"
"22188";"1011";"1371"
"22189";"674";"926"
"22190";"669";"915"
"22191";"674";"926"
"22192";"824";"1134"
"22193";"824";"1134"
"22194";"824";"1134"
"22195";"824";"1134"
"22196";"824";"1134"
"22197";"824";"1134"
"22198";"824";"1134"
"22199";"824";"1134"
"22200";"824";"1134"
"22201";"824";"1134"
"22202";"824";"1134"
"22203";"824";"1134"
"22204";"824";"1134"
"22205";"824";"1134"
"22206";"824";"1134"
"22207";"824";"1134"
"22208";"824";"1134"
"22209";"824";"1134"
"22210";"824";"1134"
"22211";"824";"1134"
"22212";"824";"1134"
"22213";"824";"1134"
"22214";"824";"1134"
"22215";"783";"1078"
"22216";"938";"1283"
"22217";"1011";"1371"
"22218";"1031";"1401"
