OBJECTID;ADDRESS;settlement;street;building_n;geocoded;POINT_X;POINT_Y;ID;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1455;Москва, Новочерёмушкинская ул, д.59; ; ; ;Россия, Москва, Новочеремушкинская улица, 59;37.568191;55.669249;15495;380;0.003277;37.571469;55.669309
1456;Москва, Новочерёмушкинская ул, д.59, корп.1; ; ; ;Россия, Москва, Новочеремушкинская улица, 59к1;37.567634;55.668539;15496;674;0.003882;37.563846;55.669386
1457;Москва, Профсоюзная ул, д.23; ; ; ;Россия, Москва, Профсоюзная улица, 23;37.561292;55.674702;15497;656;0.004922;37.556594;55.676168
1458;Москва, Профсоюзная ул, д.25; ; ; ;Россия, Москва, Профсоюзная улица, 25;37.560547;55.674159;15498;656;0.004434;37.556594;55.676168
1459;Москва, Профсоюзная ул, д.25, корп.1; ; ; ;Россия, Москва, Профсоюзная улица, 25к1;37.562667;55.674006;15499;674;0.004768;37.563846;55.669386
1460;Москва, Профсоюзная ул, д.27, корп.2; ; ; ;Россия, Москва, Профсоюзная улица, 27к2;37.560835;55.673534;15500;656;0.004992;37.556594;55.676168
1461;Москва, Профсоюзная ул, д.27, корп.5; ; ; ;Россия, Москва, Профсоюзная улица, 27к5;37.563538;55.673219;15501;674;0.003845;37.563846;55.669386
1462;Москва, Профсоюзная ул, д.27, корп.6; ; ; ;Россия, Москва, Профсоюзная улица, 27к6;37.562406;55.672157;15502;674;0.003123;37.563846;55.669386
1463;Москва, Профсоюзная ул, д.27, корп.7; ; ; ;Россия, Москва, Профсоюзная улица, 27к7;37.563628;55.672447;15503;674;0.003069;37.563846;55.669386
1464;Москва, Профсоюзная ул, д.29, корп.1; ; ; ;Россия, Москва, Профсоюзная улица, 29к1;37.558939;55.67331;15504;656;0.003696;37.556594;55.676168
1465;Москва, Профсоюзная ул, д.29, корп.2; ; ; ;Россия, Москва, Профсоюзная улица, 29к2;37.559667;55.673052;15505;656;0.004376;37.556594;55.676168
1466;Москва, Профсоюзная ул, д.29, корп.3; ; ; ;Россия, Москва, Профсоюзная улица, 29к3;37.560528;55.672762;15506;674;0.004733;37.563846;55.669386
1467;Москва, Профсоюзная ул, д.31, корп.3; ; ; ;Россия, Москва, Профсоюзная улица, 31к3;37.560386;55.671991;15507;674;0.004331;37.563846;55.669386
1468;Москва, Профсоюзная ул, д.31, корп.4; ; ; ;Россия, Москва, Профсоюзная улица, 31к4;37.561409;55.672076;15508;674;0.003629;37.563846;55.669386
1469;Москва, Профсоюзная ул, д.33, корп.1; ; ; ;Россия, Москва, Профсоюзная улица, 33к1;37.557906;55.672346;15509;656;0.00404;37.556594;55.676168
1470;Москва, Профсоюзная ул, д.33, корп.2; ; ; ;Россия, Москва, Профсоюзная улица, 33к2;37.5584;55.671854;15510;656;0.004676;37.556594;55.676168
1471;Москва, Профсоюзная ул, д.33, корп.3; ; ; ;Россия, Москва, Профсоюзная улица, 33к3;37.559236;55.671569;15511;674;0.005101;37.563846;55.669386
1472;Москва, Профсоюзная ул, д.37; ; ; ;Россия, Москва, Профсоюзная улица, 37;37.556855;55.671355;15512;656;0.004819;37.556594;55.676168
1473;Москва, Профсоюзная ул, д.41; ; ; ;Россия, Москва, Профсоюзная улица, 41;37.556261;55.669889;15513;861;0.005044;37.557692;55.665051
1474;Москва, Цюрупы ул, д.11, корп.1; ; ; ;Россия, Москва, улица Цюрупы, 11к1;37.571408;55.666924;15514;380;0.002385;37.571469;55.669309
1475;Москва, Цюрупы ул, д.11, корп.3; ; ; ;Россия, Москва, улица Цюрупы, 11к3;37.571937;55.665623;15515;380;0.003714;37.571469;55.669309
1476;Москва, Цюрупы ул, д.12, корп.1; ; ; ;Россия, Москва, улица Цюрупы, 12к1;37.574777;55.670634;15516;2027;0.002338;37.574929;55.672969
1477;Москва, Цюрупы ул, д.12, корп.2; ; ; ;Россия, Москва, улица Цюрупы, 12к2;37.574345;55.670233;15517;2027;0.002796;37.574929;55.672969
1478;Москва, Цюрупы ул, д.12, корп.3; ; ; ;Россия, Москва, улица Цюрупы, 12к3;37.573905;55.669837;15518;380;0.002492;37.571469;55.669309
1479;Москва, Цюрупы ул, д.12, корп.4; ; ; ;Россия, Москва, улица Цюрупы, 12к4;37.573456;55.669422;15519;380;0.00199;37.571469;55.669309
1480;Москва, Цюрупы ул, д.12, корп.5; ; ; ;Россия, Москва, улица Цюрупы, 12к5;37.57315;55.668853;15520;380;0.001742;37.571469;55.669309
1481;Москва, Цюрупы ул, д.12, корп.6; ; ; ;Россия, Москва, улица Цюрупы, 12к6;37.574777;55.668685;15521;380;0.003366;37.571469;55.669309
1482;Москва, Цюрупы ул, д.13; ; ; ;Россия, Москва, улица Цюрупы, 13;37.570626;55.665827;15522;380;0.003582;37.571469;55.669309
1483;Москва, Цюрупы ул, д.14; ; ; ;Россия, Москва, улица Цюрупы, 14;37.574606;55.668117;15523;380;0.003355;37.571469;55.669309
1484;Москва, Цюрупы ул, д.15, корп.2; ; ; ;Россия, Москва, улица Цюрупы, 15к2;37.56945;55.665675;15524;350;0.004098;37.570382;55.661684
1485;Москва, Цюрупы ул, д.15, корп.3; ; ; ;Россия, Москва, улица Цюрупы, 15к3;37.568129;55.665816;15525;350;0.004707;37.570382;55.661684
1486;Москва, Цюрупы ул, д.16, корп.1; ; ; ;Россия, Москва, улица Цюрупы, 16к1;37.572898;55.667914;15526;380;0.001997;37.571469;55.669309
1487;Москва, Цюрупы ул, д.16, корп.2; ; ; ;Россия, Москва, улица Цюрупы, 16к2;37.572378;55.668625;15527;380;0.001137;37.571469;55.669309
1488;Москва, Цюрупы ул, д.17; ; ; ;Россия, Москва, улица Цюрупы, 17;37.567231;55.66639;15528;674;0.004519;37.563846;55.669386
1489;Москва, Цюрупы ул, д.18, корп.1; ; ; ;Россия, Москва, улица Цюрупы, 18к1;37.571507;55.667553;15529;380;0.001755;37.571469;55.669309
1490;Москва, Цюрупы ул, д.18, корп.2; ; ; ;Россия, Москва, улица Цюрупы, 18к2;37.571426;55.668391;15530;380;0.000919;37.571469;55.669309
1491;Москва, Цюрупы ул, д.20, корп.1; ; ; ;Россия, Москва, улица Цюрупы, 20к1;37.569692;55.667295;15531;380;0.002685;37.571469;55.669309
