"OBJECTID";"ID";"accessability";"SUM_STUDENTS";"Shape_Length";"Shape_Area"
227;136,000000;2;2919,990745;27060,072781;2618969,337877
229;137,000000;2;2149,340085;13232,768128;1268110,567052
231;138,000000;2;2868,786852;34242,875576;3460615,107970
233;139,000000;2;4305,906694;43927,865393;8989362,984332
235;140,000000;2;1621,257003;19029,120215;1119734,617178
237;141,000000;2;785,004291;23422,021940;5117757,092065
239;142,000000;2;6784,042932;52122,775793;5680449,474352
241;143,000000;2;3512,651978;14314,563384;1940812,964847
243;144,000000;2;3650,838134;34619,855365;5387780,025946
245;145,000000;2;3704,292363;42442,936090;11821780,122902
247;146,000000;2;1233,160047;14909,435262;2320978,452648
