ID	ELEMENT_ID	ADDRESS
125	96	Москва, 2-й Ирининский пер., д.7, стр.1
126	97	Москва, ул. Большая Почтовая, д.4/6
127	98	Москва, ул. Гольяновская, д.7, стр.6
128	98	Москва, Семеновская наб., д.3/1, корп.2
129	99	Москва, ул. Госпитальный Вал, д.3, корп.1
130	99	Москва, ул. Госпитальный Вал, д.3, стр.2
131	100	Москва, ул. Госпитальный Вал, д.5, стр.20
132	100	Москва, ул. Госпитальный Вал, д.5, стр.8
133	101	Москва, ул. Госпитальный Вал, д.3, корп.4А
134	102	Москва, ул. Большая Почтовая, д.14, корп.А
135	103	Москва, Лефортовский пер., д.10
136	103	Москва, ул. Старая Басманная, д. 35
137	104	Москва, Гороховский пер., д.10, стр.1
138	104	Москва, Токмаков пер., д.17, стр.3
139	105	Москва, ул. Новорязанская, д.32
140	105	Москва, Московская область, Раменский р-он, пос. Ильинский, ул. Спортивная, д.18
141	106	Москва, ул. Бакунинская, д.11, стр.1
142	106	Москва, Госпитальный пер., д.4А, стр.
143	107	Москва, ул. Доброслободская, д.6
144	108	Москва, Денисовский пер., д.15
145	109	Москва, Малый Демидовский пер., д.3А
146	110	Москва, ул. Старая Басманная, д.24, стр.7
147	111	Москва, ул. Народная, д.11/2
148	112	Москва, ул. 2-я Дубровская, д.3
149	113	Москва, ул. Малые Каменщики, д.18
150	114	Москва, Крестьянская пл., д.10/2, стр.1
151	115	Москва, Крестьянская пл., д.2А, стр.1
152	116	Москва, Комсомольский просп., д.43, стр.1
153	116	Москва, ул. 2-я Фрунзенская, д.7А
154	117	Москва, ул. Усачева, д.66А
155	118	Москва, ул. Хамовнический Вал, д.36, стр.2
156	119	Москва, Комсомольский просп., д.41
157	120	Москва, ул. 3-я Фрунзенская, д.9
158	120	Москва, ул. 3-я Фрунзенская, д.14/37
159	121	Москва, ул. 3-я Фрунзенская, д.10
160	121	Москва, ул. 3-я Фрунзенская, д.3
161	122	Москва, ул. Кооперативная, д.2, корп.13
162	122	Москва, ул. Хамовнический Вал, д.28, стр.2
163	123	Москва, ул. Хамовнический Вал, д.10А
164	123	Москва, ул. Хамовнический Вал, д.4
165	124	Москва, Комсомольский просп., д.47А
166	125	Москва, ул. 2-я Фрунзенская, д.10
167	126	Москва, ул. Большая Переяславская, д.1, стр.1
168	126	Москва, Астраханский пер., д.24, стр.4
169	126	Москва, Мира просп., д.50
170	127	Москва, Больничный пер., д.4, стр.1
171	127	Москва, ул. Гиляровского, д.47, стр.2
172	128	Москва, ул. Гиляровского, д.21
173	129	Москва, ул. Щепкина, д.6
174	130	Москва, Васнецова пер., д.2
175	130	Москва, Московская область, г. Пушкино, Мамонтовка мкр., ул. Водопьянова, д.17
176	131	Москва, Напрудный пер., д.13
177	132	Москва, ул. Дурова, д.3/13
178	132	Москва, ул. Мещанская, д.13
179	133	Москва, ул. Трифоновская, д.31А, стр.1
180	134	Москва, ул. Трифоновская, д.34, корп.2
181	135	Москва, ул. Трифоновская, д.45А, стр.1
182	136	Москва, ул. Житная, д.
183	137	Москва, 1-й Казачий пер., д.10, стр.1
184	138	Москва, 1-й Люсиновский пер., д.5
185	139	Москва, 1-й Спасоналивковский пер., д.15А, стр.1
186	140	Москва, ул. Новослободская, д. 57, стр. 1
187	141	Москва, ул. Новослободская, д. 38, стр.1
188	142	Москва, ул. Новослободская, д. 62, корп. 20
189	143	Москва, Стремянный пер., д.33/35
190	143	Москва, Стремянный пер., д.10
191	143	Москва, ул. Большая Серпуховская, д.23/25
192	144	Москва, ул. Люсиновская, д.31, стр.1
193	144	Москва, ул. Люсиновская, д.31, стр.2
194	144	Москва, ул. Люсиновская, д.31, стр.6
195	145	Москва, ул. Большая Молчановка, д.26-28
196	145	Москва, Новинский бульв., д.20, стр.1
197	146	Москва, Малый Палашевский пер., д.3, стр.5
198	147	Москва, Новинский бульв., д.18, стр.1
