ID	COMPLEX_ID	ADDRESS
125	31	Москва, ул. Госпитальный Вал, д.3, стр.2
126	31	Москва, ул. Госпитальный Вал, д.5, стр.20
127	31	Москва, ул. Госпитальный Вал, д.5, стр.8
128	31	Москва, ул. Госпитальный Вал, д.3, корп.4А
129	31	Москва, ул. Большая Почтовая, д.14, корп.А
130	31	Москва, Семеновская наб., д.3/1, корп.2
131	32	Москва, Лефортовский пер., д.10
132	32	Москва, ул. Старая Басманная, д. 35
133	32	Москва, Гороховский пер., д.10, стр.1
134	32	Москва, Токмаков пер., д.17, стр.3
135	32	Москва, ул. Новорязанская, д.32
136	32	Московская область, Раменский р-он, пос. Ильинский,
137	32	Москва, ул. Спортивная, д.18
138	32	Москва, ул. Бакунинская, д.11, стр.1
139	32	Москва, ул. Доброслободская, д.6
140	32	Москва, ул. Доброслободская, д.6
141	32	Москва, Малый Демидовский пер., д.3А
142	32	Москва, Малый Демидовский пер., д.3А
143	32	Москва, ул. Старая Басманная, д.24, стр.7
144	32	Москва, Госпитальный пер., д.4А, стр.4
145	33	Москва, ул. Народная, д.11/2
146	33	Москва, ул. 2-я Дубровская, д.3
147	33	Москва, ул. Малые Каменщики, д.18
148	33	Москва, Крестьянская пл., д.10/2, стр.1
149	33	Москва, Крестьянская пл., д.2А, стр.1
150	34	Москва, Комсомольский просп., д.43, стр.1
151	34	Москва, ул. 2-я Фрунзенская, д.7А
152	34	Москва, ул. Усачева, д.66А
153	34	Москва, ул. Хамовнический Вал, д.36, стр.2
154	34	Москва, Комсомольский пр., д.41
155	34	Москва, ул. 3-я Фрунзенская, д.9
156	34	Москва, ул. 3-я Фрунзенская, д.14/37
157	34	Москва, ул. 3-я Фрунзенская, д.10
158	34	Москва, ул. 3-я Фрунзенская, д.3
159	34	Москва, ул. 3-я Фрунзенская, д.3
160	34	Москва, ул. Хамовнический Вал, д.28, стр.2
161	34	Москва, ул. Хамовнический Вал, д.28, стр.2
162	34	Москва, ул. Хамовнический Вал, д.10А
163	34	Москва, ул. Комсомольский просп., д.47А
164	34	Москва, ул. 2-я Фрунзенская, д.10
165	34	Москва, ул. Хамовнический Вал, д.4
166	35	Москва, ул. Большая Переяславская, д.1, стр.1
167	35	Москва, Астраханский пер., д.24, стр.4
168	35	Москва, Мира просп., д.50
169	35	Москва, Больничный пер., д.4, стр.1
170	35	Москва, ул. Гиляровского, д.47, стр.2
171	35	Москва, ул. Гиляровского, д.21
172	35	Москва, ул. Щепкина, д.68
173	35	Москва, Васнецова пер., д.2
174	35	Московская область, г. Пушкино, Мамонтовка мкр.,
175	35	Московская область, г. Пушкино, Мамонтовка мкр.,
176	35	Москва, Напрудный пер., д.13
177	35	Москва, Напрудный пер., д.13
178	35	Москва, ул. Дурова, д.3/13
179	35	Москва, ул. Мещанская, д.13
180	35	Москва, ул. Трифоновская, д.31А, стр.1
181	35	Москва, ул. Трифоновская, д.34, корп.2
182	35	Москва, ул. Трифоновская, д.45А, стр.1
183	36	Москва, ул. Житная, д.6
184	36	Москва, 1-й Казачий пер., д.10, стр.1
185	36	Москва, 1-й Люсиновский пер., д.5
186	36	Москва, 1-й Спасоналивковский пер., д.15А, стр.1
187	37	Москва, ул. Новослободская, д. 57, стр. 1
188	37	Москва, ул. Новослободская, д. 38, стр.1
189	37	Москва, ул. Новослободская, д. 62, корп. 20
190	38	Москва, Стремянный пер., д.33/35
191	38	Москва, Стремянный пер., д.10
192	38	Москва, ул. Большая Серпуховская, д.23/25
193	38	Москва, ул. Люсиновская, д.31, стр.1
194	38	Москва, ул. Люсиновская, д.31, стр.2
195	38	Москва, ул. Люсиновская, д.31, стр.6
196	39	Москва, ул. Большая Молчановка, д.26-28
197	39	Москва, Новинский бульв., д.20, стр.1
198	39	Москва, Малый Палашевский пер., д.3, стр.5
199	39	Москва, Новинский бульв., д.18, стр.1
200	39	Москва, Трубниковский пер., д.23, стр.2
201	40	Москва, Малый Козловский пер., д.3
202	40	Москва, Малый Козловский пер., д.3А
203	40	Москва, ул. Садовая-Черногрязская, д.5/9
204	40	Москва, Ломоносовский просп., д.18
205	41	Москва, Лялин пер., д.12, стр.1
206	41	Москва, ул. Чаплыгина, д.9, стр.3
207	41	Москва, Большой Казённый пер., д.9
208	41	Москва, Фурманный пер., д.8
209	41	Москва, ул. Машкова, д.19
210	41	Москва, Казарменный пер., д.6, стр.5
211	41	Москва, Казарменный пер., д.10, стр.15
212	41	Москва, Подсосенский пер., д.26, стр.6
213	41	Москва, ул. Машкова, д.3А
214	41	Москва, ул. Машкова, д.3А
215	42	Москва, 1-й Кадашевский пер., д.3, стр.1
216	42	Москва, 1-й Кадашевский пер., д.3, стр.2
217	42	Москва, ул. Большая Ордынка, д.15
218	42	Москва, ул. Донская, д.21
