ID,ADDRESS
126,"Москва, 15-я Парковая ул, д.41, корп.2"
127,"Москва, 15-я Парковая ул, д.41А"
128,"Москва, 15-я Парковая ул, д.42, корп.1"
129,"Москва, 15-я Парковая ул, д.42, корп.10"
130,"Москва, 15-я Парковая ул, д.42, корп.2"
131,"Москва, 15-я Парковая ул, д.42, корп.3"
132,"Москва, 15-я Парковая ул, д.42, корп.4"
133,"Москва, 15-я Парковая ул, д.42, корп.6"
134,"Москва, 15-я Парковая ул, д.42, корп.7"
135,"Москва, 15-я Парковая ул, д.42, корп.8"
136,"Москва, 15-я Парковая ул, д.42, корп.9"
137,"Москва, 15-я Парковая ул, д.44, корп.1"
138,"Москва, 15-я Парковая ул, д.45"
139,"Москва, 15-я Парковая ул, д.46, корп.1"
140,"Москва, 15-я Парковая ул, д.46, корп.10"
141,"Москва, 15-я Парковая ул, д.46, корп.2"
142,"Москва, 15-я Парковая ул, д.46, корп.3"
143,"Москва, 15-я Парковая ул, д.46, корп.4"
144,"Москва, 15-я Парковая ул, д.46, корп.5"
145,"Москва, 15-я Парковая ул, д.46, корп.6"
146,"Москва, 15-я Парковая ул, д.46, корп.7"
147,"Москва, 15-я Парковая ул, д.46, корп.8"
148,"Москва, 15-я Парковая ул, д.46, корп.9"
149,"Москва, 15-я Парковая ул, д.47, корп.1"
150,"Москва, 15-я Парковая ул, д.47, корп.3"
151,"Москва, 15-я Парковая ул, д.47, корп.4"
152,"Москва, 15-я Парковая ул, д.47, корп.5"
153,"Москва, 15-я Парковая ул, д.48"
154,"Москва, 15-я Парковая ул, д.48, корп.1"
155,"Москва, 15-я Парковая ул, д.48, корп.2"
156,"Москва, 15-я Парковая ул, д.49"
157,"Москва, 15-я Парковая ул, д.50"
158,"Москва, 15-я Парковая ул, д.52, корп.1"
159,"Москва, 15-я Парковая ул, д.52, корп.2"
160,"Москва, 15-я Парковая ул, д.54"
161,"Москва, 15-я Парковая ул, д.56"
162,"Москва, 15-я Парковая ул, д.58"
163,"Москва, 15-я Парковая ул, д.60"
164,"Москва, 16-я Парковая ул, д.10"
165,"Москва, 16-я Парковая ул, д.14"
166,"Москва, 16-я Парковая ул, д.16, корп.1"
167,"Москва, 16-я Парковая ул, д.16, корп.2"
168,"Москва, 16-я Парковая ул, д.16, корп.3"
169,"Москва, 16-я Парковая ул, д.18"
170,"Москва, 16-я Парковая ул, д.25, корп.1"
171,"Москва, 16-я Парковая ул, д.29, корп.1"
172,"Москва, 16-я Парковая ул, д.29, корп.2"
173,"Москва, 16-я Парковая ул, д.35"
174,"Москва, 16-я Парковая ул, д.37"
175,"Москва, 16-я Парковая ул, д.37, корп.1"
176,"Москва, 16-я Парковая ул, д.39"
177,"Москва, 16-я Парковая ул, д.43, корп.1"
178,"Москва, 16-я Парковая ул, д.43, корп.2"
179,"Москва, 16-я Парковая ул, д.45"
180,"Москва, 16-я Парковая ул, д.49, корп.1"
181,"Москва, 16-я Парковая ул, д.49, корп.2"
182,"Москва, 16-я Парковая ул, д.51"
183,"Москва, 16-я Парковая ул, д.55, корп.1"
184,"Москва, 16-я Парковая ул, д.55, корп.2"
185,"Москва, 16-я Парковая ул, д.6"
