"ID","OKRUG","TYPE","NAME","SHORT_NAME"
42,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 19 ","Сокращенное наименование: ГБОУ СОШ № 19"
43,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521","Сокращенное наименование: ГБОУ гимназия № 1521"
44,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500","Сокращенное наименование: ГБОУ Пушкинский лицей № 1500"
45,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей № 1574","Сокращенное наименование: ГБОУ лицей № 1574"
46,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 480 им. В.В. Талалихина ","Сокращенное наименование: ГБОУ СОШ № 480 "
47,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»","Сокращенное наименование: ГБОУ СОШ № 1240"
48,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 345 имени А.С. Пушкина","Сокращенное наименование: ГБОУ СОШ № 354"
49,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1241","Сокращенное наименование: ГБОУ СОШ № 1241"
50,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2030 ","Сокращенное наименование: ГБОУ СОШ № 2030"
51,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",
52,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш. Окуджавы",
53,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1010",
54,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей №1571",
55,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1517",
56,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1605",
57,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155",
58,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1489",
59,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1515",
60,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1399 ",
61,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1874",
62,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1538",
63,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №830",
64,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1295 ",
65,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1435",
66,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №1889",
67,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №2534 «Золотой ключик»",
68,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад №727 «Непоседы»",
69,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1534",
70,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №734 «Пчелка»",
71,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 9",
72,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида №2177 «Росток»",
73,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №2662",
74,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида №1903",
75,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад №2380 «Жемчужинка»",
76,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1519",
77,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №827",
78,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей №1560",
79,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1551",
80,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 848",
81,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 733",
82,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1237",
83,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 915",
84,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2607",
85,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад № 2713 «Винни-Пух»",
86,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1259",
87,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2264 ",
88,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2510 ",
89,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 714 ",
90,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2005 ",
91,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 680",
92,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1900",
93,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985",
94,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1425",
95,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 86 имени М.Е. Катукова",
96,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 819",
97,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1298",
98,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2077 ",
99,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы лицей № 1564 имени Героя Советского Союза А.П. Белобородова",
100,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1743",
101,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1920",
102,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1005 «Алые паруса»",
103,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212",
104,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение ",
105,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1387 ",
106,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1944 ",
107,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1544 ",
108,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286 ",
109,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1058 ",
110,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1943 ",
111,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302 ",
112,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 89 имени А.П. Маресьева ",
113,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1062 ",
114,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1747 ",
115,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение ",
