OBJECTID;ID;NAME;NUMB;TYPE;CURRENT_USE;ADDRESS;OKRUG;RAYON;COMPLEX_ID
899;708;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №572;572;школа;9 - 11 классы;109559, г. Москва, Тихорецкий бульвар, д. 8А;ЮВАО;Люблино;416
897;708;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №572;572;школа;начальная школа;109559, г. Москва, Тихорецкий бульвар, д. 8А;ЮВАО;Люблино;416
902;709;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №581;581;школа;;115583 г. Москва,т ул. Ясеневая д.21,к 3;ЮАО;Орехово-Борисово Южное;361
903;710;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №584;584;школа;средняя школа;117292, г.Москва, ул.Профсоюзная, д.24, корп.4;ЮЗАО;Академический;605
904;711;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №585;585;школа;средняя школа;115561 г. Москва,ул. Ясеневая д.8,к.2;ЮАО;Орехово-Борисово Южное;353
905;712;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №802;802;школа;начальная школа;121471 г.Москва, Можайское шоссе, д. 18, корпус 2;ЗАО;Можайский;719
906;712;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №587;587;школа;средняя школа;121471 г.Москва, Можайское шоссе, д. 18, корпус 2;ЗАО;Можайский;719
907;713;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №588;588;школа;начальная школа;119021 г.Москва, ул.Тимура Фрунзе, д.3, стр.2;ЦАО;Хамовники;26
908;714;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №589;589;школа;;121596 г.Москва, ул. Говорова, д. 7;ЗАО;Можайский;738
910;715;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №59 имени Н.В.Гоголя;59;школа;;119002 г.Москва, Староконюшенный пер., д.18,20;ЦАО;Хамовники;25
1123;716;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №590;590;школа;;121096 г.Москва, ул. Кастанаевская, д. 10;ЗАО;Филёвский Парк;860
912;717;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №591;591;школа;;121095 г.Москва, Украинский бульвар, дом 9;ЗАО;Дорогомилово;756
