"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING"
262;10339,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1000";1000,000000;"школа";"";"FALSE";"119619 г. Москва, ул.Наро-Фоминская, д.1";"ЗАО";"Солнцево";705,000000;300,000000
263;10340,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1009";1009,000000;"школа";"";"FALSE";"119619 г. Москва, ул.Наро-Фоминская, д.1";"ЗАО";"Солнцево";705,000000;0,000000
264;10338,000000;"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1";1,000000;"начальная школа";"начальная школа";"FALSE";"119619 г. Москва, ул.Наро-Фоминская, д.1";"ЗАО";"Солнцево";705,000000;0,000000
265;10342,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1002";1002,000000;"школа";"";"FALSE";"119620 г.Москва, Солнцевский проспект, д. 12 А";"ЗАО";"Солнцево";706,000000;302,000000
266;10344,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005 «Алые паруса«";1005,000000;"школа";"";"FALSE";"123182, г. Москва, ул. Авиационная, д.71, корп. 3";"СЗАО";"Щукино";102,000000;317,000000
267;10345,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1007";1007,000000;"школа";"";"FALSE";"119620 г. Москва, Солнцевский проспект, дом 7 А";"ЗАО";"Солнцево";706,000000;0,000000
268;10348,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №341";341,000000;"школа";"";"FALSE";"123308, город Москва, улица Мневники, дом 7, корус 5";"СЗАО";"Хорошёво-Мнёвники";78,000000;0,000000
269;10346,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №100";100,000000;"школа";"";"FALSE";"123308, город Москва, улица Мневники, дом 7, корус 5";"СЗАО";"Хорошёво-Мнёвники";78,000000;0,000000
270;10347,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1010";1010,000000;"школа";"";"FALSE";"123308, город Москва, улица Мневники, дом 7, корус 5";"СЗАО";"Хорошёво-Мнёвники";78,000000;310,000000
271;10350,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1015";1015,000000;"школа";"";"FALSE";"199633 г.Москва, ул.Новопеределкинская, д.9, корп.1";"ЗАО";"Ново-Переделкино";773,000000;0,000000
272;10351,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1017";1017,000000;"школа";"";"FALSE";"119634 г. Москва, ул. Федосьинская, д.4, кор.2";"ЗАО";"Ново-Переделкино";744,000000;0,000000
273;10352,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №102";102,000000;"школа";"";"FALSE";"117449, г.Москва, улица Шверника, дом 10";"ЮЗАО";"Академический";505,000000;0,000000
274;10354,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1021";1021,000000;"школа";"";"FALSE";"105173, г.Москва, ул. Главная,  9А";"ВАО";"Восточный";665,000000;0,000000
275;10358,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1032";1032,000000;"школа";"";"FALSE";"107553, г. Москва,  ул. 2-я Пугачевская  д.7";"ВАО";"Преображенское";674,000000;0,000000
276;10360,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1997";1997,000000;"школа";"средняя школа";"FALSE";"115612 г. Москва, ул. Братеевская, д.8, корп. 2";"ЮАО";"Братеево";328,000000;0,000000
277;10359,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1034";1034,000000;"школа";"начальная школа";"FALSE";"115612 г. Москва, ул. Братеевская, д.8, корп. 2";"ЮАО";"Братеево";328,000000;362,000000
278;10361,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1038";1038,000000;"школа";"";"FALSE";"127081, г. Москва, улица Ясный проезд, дом 21";"СВАО";"Южное Медведково";271,000000;0,000000
279;10362,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1039";1039,000000;"школа";"";"FALSE";"109559, г. Москва, ул. Белореченская, д. 23А";"ЮВАО";"Люблино";419,000000;0,000000
280;10363,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №104";104,000000;"школа";"";"FALSE";"117292, г.Москва, улица Ивана Бабушкина, дом 15, корпус 5";"ЮЗАО";"Академический";602,000000;0,000000
281;10364,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1040";1040,000000;"школа";"начальная школа";"FALSE";"109144, г. Москва, Батайский проезд, д.47";"ЮВАО";"Марьино";439,000000;0,000000
282;10366,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1043";1043,000000;"школа";"";"FALSE";"109652, г. Москва, ул. Люблинская, дом 173";"ЮВАО";"Марьино";459,000000;0,000000
283;10365,000000;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа №1780 «Кадетский корпус памяти Героев Сталинградской битвы»";1780,000000;"кадетская школа";"";"FALSE";"109652, г. Москва, ул. Люблинская, дом 173";"ЮВАО";"Марьино";459,000000;0,000000
284;10367,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1049";1049,000000;"школа";"средняя школа";"FALSE";"109651, г.Москва, ул.Донецкая, д.14";"ЮВАО";"Марьино";462,000000;0,000000
285;10368,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1050";1050,000000;"школа";"";"FALSE";"124460, г. Москва, Зеленоград, корп. 1128";"ЗелАО";"Силино";812,000000;0,000000
286;10369,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1051 имени Героя Социалистического Труда Г.В. Кисунько";1051,000000;"школа";"";"FALSE";"127572, город  Москва, улица  Угличская, дом 17";"СВАО";"Лианозово";292,000000;0,000000
287;10371,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1056";1056,000000;"школа";"";"FALSE";"125363, г. Москва, ул. Штурвальная, д. 7, корп. 2";"СЗАО";"Южное Тушино";123,000000;304,000000
288;10373,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1060";1060,000000;"школа";"";"FALSE";"115093 г. Москва, Стремянный пер., д. 33/35";"ЦАО";"Замоскворечье";18,000000;0,000000
289;10374,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1062";1062,000000;"школа";"";"FALSE";"125222, г. Москва, улица Дубравная, дом 41, корпус 4.";"СЗАО";"Митино";92,000000;321,000000
290;10377,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1077";1077,000000;"школа";"";"FALSE";"107589, г.Москва, ул.Хабаровская, дом 18А, строение1";"ВАО";"Гольяново";660,000000;0,000000
291;10378,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1078";1078,000000;"школа";"";"FALSE";"107207, г. Москва, ул. Алтайская , д.10А";"ВАО";"Гольяново";700,000000;0,000000
292;10379,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №108";108,000000;"школа";"";"FALSE";"117574, г.Москва, ул. Вильнюсская, д.14";"ЮЗАО";"Ясенево";597,000000;0,000000
293;10380,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1094";1094,000000;"школа";"";"FALSE";"129347, г. Москва, ул. Палехская, д. 137";"СВАО";"Ярославский";306,000000;0,000000
294;10381,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1096";1096,000000;"школа";"";"FALSE";"129337, г. Москва, улица Палехская, дом 10";"СВАО";"Ярославский";280,000000;0,000000
295;10382,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1097";1097,000000;"школа";"";"FALSE";"129327, г. Москва, ул. Печорская, д.18";"СВАО";"Бабушкинский";259,000000;0,000000
296;10383,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1098";1098,000000;"школа";"";"FALSE";"129343, г. Москва, ул. Амундсена, д. 10, корп. 2";"СВАО";"Свиблово";293,000000;0,000000
297;10384,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №11";11,000000;"школа";"";"FALSE";"119311, г.Москва, Ломоносовский проспект, д.13";"ЮЗАО";"Гагаринский";563,000000;0,000000
298;10385,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1100";1100,000000;"школа";"";"FALSE";"117630, г. Москва, улица Академика Челомея, дом 6а";"ЮЗАО";"Обручевский";517,000000;0,000000
299;10386,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1101";1101,000000;"школа";"";"FALSE";"117133, Москва, ул. Академика Варги, дом 34";"ЮЗАО";"Тёплый Стан";528,000000;388,000000
300;10387,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1103 имени Героя Российской Федерации А.В. Соломатина";1103,000000;"школа";"";"FALSE";"117588, г. Москва, Литовский бульвар, дом 44, корпус 2";"ЮЗАО";"Ясенево";579,000000;0,000000
301;10390,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1104";1104,000000;"школа";"средняя школа";"FALSE";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"ЮЗАО";"Коньково";590,000000;0,000000
