"ID","SHAPE_LENGTH","SHAPE_AREA"
1,2929.701659,245934.968819
2,7433.464023,2370486.744838
3,2978.810945,493680.845318
4,1393.944367,108955.199179
5,434.110882,12242.410974
6,5979.745281,1511911.440156
7,632.913059,20849.625313
8,6716.7754,1327049.452383
9,2613.744841,442691.358566
10,1689.596085,143154.992146
11,3137.951025,407638.551919
12,2892.635145,521061.737875
13,3800.532281,548748.356804
14,4067.073265,354361.826612
15,5614.213035,1590293.675411
16,3629.651316,534854.703335
17,928.58665,24686.418309
18,6984.952375,1672299.278256
19,3532.67459,467754.83896
20,2993.55377,471477.058057
21,170.119967,1720.361733
22,5605.051461,1709931.260015
23,4679.142131,519417.784503
24,6445.768518,2283227.609064
25,2473.496632,298177.130021
26,4776.061009,1323091.035753
27,5571.709039,873203.388404
28,2672.830334,438345.700363
29,2504.511721,388310.692798
30,3853.639733,884703.928382
31,2562.36451,424964.666317
32,9867.264858,3278938.034591
33,4919.251724,823753.283389
34,636.513778,24188.254404
35,1679.479749,165577.83469
36,5573.54172,1402748.616813
37,2242.904856,313269.557716
38,2142.121582,298371.256558
39,4484.542471,1090467.516959
40,3060.719516,531231.695919
41,3404.72973,752593.827477
42,3386.025391,323986.373067
43,6070.07948,1142636.155226
44,124.106921,670.895269
45,9429.556106,2516142.893035
46,9273.038563,2119560.730452
47,2333.337893,360050.175828
48,2317.206023,328154.964702
49,3640.517369,817408.763824
50,3318.886723,578689.939442
51,899.134215,37783.598629
52,3148.44246,241482.413242
53,4203.499084,1042396.21015
54,1651.493301,163865.102527
55,5239.983484,1396513.662716
56,2888.693925,394730.025017
57,4925.122511,1384273.427078
58,3002.774897,417953.980753
59,4465.552459,916429.52644
60,6505.114562,1337579.794796
61,3498.771451,583943.439201
62,4422.574246,811281.710027
63,6052.716223,1361963.681176
64,4645.286843,1115967.629122
65,5921.819963,1950387.051774
66,5320.016906,623478.644669
67,3034.317199,376543.107404
68,5449.312868,1630062.529042
69,3810.629053,843109.670874
70,4434.92644,1029693.454523
71,2978.208864,521312.8185
72,2421.969352,369385.102503
73,1366.187364,93492.79709
74,2499.816475,389384.671664
75,1986.027015,245714.800252
76,2492.108016,386865.943745
77,4096.045977,631853.760883
78,4799.695954,1192718.555303
79,3269.724728,467771.02167
80,4153.642255,1055643.554803
81,2541.112244,370633.029962
82,1905.897896,206885.758868
83,4279.240551,1114168.56565
84,4501.634034,1211715.673614
85,3038.051321,400696.714879
86,6418.1669,1962949.359119
87,1544.069372,129673.330182
88,2538.825344,379991.041057
89,2371.747705,180154.87133
90,4266.544492,1189561.348969
91,4281.27254,963080.085368
92,5361.834861,1861554.432578
93,3353.900961,636055.111349
94,3554.296097,469620.991793
95,3320.843145,659304.590006
96,3270.334916,600860.63364
97,2319.027398,260186.569457
98,8572.681413,2427172.100817
99,2923.305106,378801.699171
100,2800.921364,173733.005157
101,3415.414578,712274.187087
102,9019.738552,1878768.756317
103,3582.119909,661052.240309
104,4634.723023,1314005.083703
105,2810.294249,440555.059392
106,624.885828,15043.122141
107,3550.078353,417105.81888
108,5858.315694,1165387.95955
109,2426.278635,319285.450332
110,4741.060698,958497.761036
111,4284.495989,795947.071034
112,2664.958793,115118.955443
113,7605.177517,2868368.848863
114,1954.740887,192514.52707
115,3462.440469,427502.636307
116,5487.653771,898006.23375
117,3260.114016,432935.484119
118,5766.353997,1248649.926262
119,2687.968277,426366.681867
120,6650.645395,2801430.666425
121,5359.921307,809110.637605
122,1592.271763,158435.279285
123,1049.7385,60695.85421
124,3541.615282,768073.653441
125,5055.575239,1072295.675363
126,5144.59488,1361706.102417
127,2432.765285,266195.495503
128,7111.388575,2519988.349334
129,5340.729833,1145949.145127
130,1994.264092,235443.927264
131,3253.592631,604365.566243
132,4963.578487,1410224.118551
133,993.968814,47604.667419
134,2958.188067,538816.302847
135,3041.919107,426514.746109
136,2078.459486,172544.837712
137,2544.907487,332461.093634
138,2707.559878,424471.887618
139,2217.326782,231340.346307
140,5707.188774,1256112.597684
141,1162.538403,75829.591899
142,2345.922461,250069.646062
143,3529.493334,527982.358803
144,2789.417477,482287.200722
145,3638.785047,575392.203978
146,3539.461571,684327.396188
147,1920.956431,149064.330492
148,7056.264808,1638708.950856
149,5509.864355,1443631.777863
150,2290.561076,325819.503506
151,11255.756359,2970418.295323
152,10140.794481,4715425.697207
153,3189.264228,516768.427565
154,3304.897159,688312.061196
155,3133.687441,635624.848535
156,6265.044609,1667985.480577
157,7017.799542,1175112.940254
158,1724.209734,157309.483637
159,1125.432295,34884.864863
160,2822.631385,385906.127118
161,1847.157741,222581.865009
162,2961.569109,539823.52114
163,2976.257206,492577.807573
164,2654.396923,312717.540888
165,3028.42875,540567.582309
166,3696.019324,816174.037888
167,5009.652177,1229867.832131
168,5901.681199,693298.846672
169,6877.72433,1288188.690171
170,2666.294193,255074.656104
171,2740.263496,450065.775609
172,2845.274526,346261.239603
173,2902.152833,555474.208995
174,2521.366613,385233.82561
175,1837.359842,112023.012004
176,6636.401117,1574989.644309
177,3056.312918,334882.291666
178,2972.727295,372391.874527
179,3471.907073,594609.535402
180,1063.224259,59055.018664
181,5714.296971,1656776.657138
182,1206.545542,80002.779017
183,3153.642214,551375.787858
184,1200.794834,71984.639997
185,3228.095569,552367.689496
186,3507.207849,699939.940097
187,2524.981116,257494.354561
188,4401.715006,668411.786116
