"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING";"POINT_X";"POINT_Y"
21;10093,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1507";1507,000000;"гимназия";"";"FALSE";"117321,  г. Москва, ул. Профсоюзная, дом 132, корп.9";"ЮЗАО";"Тёплый Стан";571,000000;247,000000;37,507002;55,630804
22;10094,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1512";1512,000000;"гимназия";"средняя школа";"FALSE";"111538, г. Москва, ул. Косинская, д.24А";"ВАО";"Вешняки";684,000000;104,000000;37,830356;55,718465
23;10095,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»";1513,000000;"гимназия";"средняя школа";"FALSE";"121099 г. Москва, Новинский б-р, д.3, стр.2";"ЦАО";"Арбат";39,000000;79,000000;37,581299;55,751190
24;10096,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1514";1514,000000;"гимназия";"средняя школа";"FALSE";"119311, г.Москва, ул.Крупской, д.12";"ЮЗАО";"Ломоносовский";565,000000;10,000000;37,526890;55,685056
25;10097,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №131";131,000000;"школа";"1 - 6 классы";"FALSE";"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"СЗАО";"Хорошёво-Мнёвники";130,000000;0,000000;37,474219;55,778676
26;10098,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515";1515,000000;"гимназия";"7 - 11 классы";"FALSE";"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"СЗАО";"Хорошёво-Мнёвники";130,000000;107,000000;37,477438;55,780580
27;10102,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №593";593,000000;"школа";"";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;0,000000;37,451586;55,784982
28;10099,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517";1517,000000;"гимназия";"средняя школа";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;32,000000;37,453283;55,785199
29;10101,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №143";143,000000;"школа";"";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;0,000000;37,457266;55,780272
30;10103,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №80";80,000000;"школа";"";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;0,000000;37,457623;55,785694
31;10104,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением китайского языка №11";11,000000;"школа-интернат";"";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;0,000000;37,471786;55,769618
32;10100,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №115";115,000000;"школа";"";"FALSE";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"СЗАО";"Хорошёво-Мнёвники";55,000000;0,000000;37,463004;55,775150
33;10111,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1521";1521,000000;"гимназия";"средняя школа";"FALSE";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"ЦАО";"Хамовники";20,000000;263,000000;37,580536;55,741919
34;10110,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1768";1768,000000;"прогимназия";"начальная школа";"FALSE";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"ЦАО";"Хамовники";20,000000;0,000000;37,597936;55,744010
35;10116,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1667";1667,000000;"прогимназия";"начальная школа";"FALSE";"124527, г. Москва, Зеленоград, корп. 817";"ЗелАО";"Старое Крюково";783,000000;0,000000;37,178956;55,995564
