"OBJECTID","OBJECTID_OLD","ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","CATCHEMENT_AREA_STUDENTS"
1356,1786,11258,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1221",1221,"школа",FALSE,"109147 г. Москва, Нижегородская ул., д.3 Б, стр.1","ЦАО","Таганский",878,,4919.339566
1357,1787,11259,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1249",1249,"школа",FALSE,"125057, г. Москва, Чапаевский переулок, д. 6","САО","Сокол",941,157,1628.336073
1141,1518,11260,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1269",1269,"школа",FALSE,"111401, г. Москва, 3-я Владимирская ул., д.26А","ВАО","Перово",652,,242.061026
1142,1519,11261,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1271",1271,"школа",FALSE,"115172 г.Москва, 5-ый Котельнический пер., д.8,стр.1","ЦАО","Таганский",24,344,435.166069
1358,1788,11262,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1277",1277,"школа",FALSE,"127055 г.Москва, ул.Сущёвская, д.32","ЦАО","Тверской",884,,1804.973315
1143,1520,11263,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1294",1294,"школа",FALSE,"107258, Москва, Глебовская улица, дом 10","ВАО","Богородское",637,,4129.026567
1359,1789,11264,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1385",1385,"школа",FALSE,"117209, г. Москва, улица Перекопская, дом 21","ЮЗАО","Черёмушки",547,,2456.900882
1144,1521,11265,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1222",1222,"школа",FALSE,"109052, г. Москва, ул. Нижегородская, дом 64","ЮВАО","Нижегородский",474,347,958.96689
1360,1790,11266,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1283",1283,"школа",FALSE,"107045 г.Москва, ул.Садовая-Спасская, д.8","ЦАО","Красносельский",876,,757.878407
1145,1522,11267,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» №122",122,"школа",FALSE,"103104 г. Москва, М.Палашевский пер., д.3","ЦАО","Тверской",39,,0
1146,1523,11268,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» №1372",1372,"школа",FALSE,"117042, г. Москва, Чечёрский проезд, дом 80","ЮЗАО","Южное Бутово",526,,1486.122739
1361,1791,11269,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» №242",242,"школа",FALSE,"129594, г. Москва, 1-й проезд Марьиной рощи, д. 3а","СВАО","Марьина Роща",311,,755.522677
1147,1525,11270,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Технология» №1379",1379,"школа",FALSE,"117335, г. Москва, улица Гарибальди, дом 19, корпус 1","ЮЗАО","Черёмушки",599,,0
1362,1792,11271,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» №635",635,"школа",FALSE,"111399, г.Москва, ул.Новогиреевская, д. 22 а","ВАО","Перово",942,,123.149293
1148,1526,11272,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1073",1073,"школа",FALSE,"115201 г. Москва, Старокаширское шоссе, д.2, корп.11","ЮАО","Нагатино-Садовники",381,,1027.706656
1149,1527,11273,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1363",1363,"школа",FALSE,"109542, г.Москва, Рязанский проспект, д. 82, корп. 4","ЮВАО","Выхино-Жулебино",427,394,1212.569176
1150,1528,11274,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1366",1366,"школа",FALSE,"111674, город Москва, ул. Вольская 1-я, д.22, корп 2","ЮВАО","Некрасовка",471,,792.200411
1151,1529,11275,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №488",488,"школа",FALSE,"109125, Москва, ул. Васильцовский стан, д 6.","ЮВАО","Рязанский",446,,0
1152,1530,11276,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1367",1367,"школа",FALSE,"109125, Москва, ул. Васильцовский стан, д 6.","ЮВАО","Рязанский",446,235,1846.448788
1153,1531,11277,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1690 «Преображенская школа»",1690,"школа",FALSE,"107061, г. Москва,  2-я Пугачевская улица, дом 10","ВАО","Преображенское",674,,2085.790261
1363,1793,11278,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1973",1973,"школа",FALSE,"119454 г.Москва, ул. Лобачевского, д. 92","ЗАО","Проспект Вернадского",867,,1227.109131
1154,1533,11279,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1466 имени Надежды Рушевой",1466,"школа",FALSE,"115304 Москва, Ереванская, 20, к.2","ЮАО","Царицыно",320,,10137.020898
1156,1535,11281,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №576",576,"школа",FALSE,"115304 Москва, Ереванская, 20, к.2","ЮАО","Царицыно",320,,0
1158,1537,11282,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №866",866,"школа",FALSE,"117519, г. Москва, улица  Красного Маяка,  дом 3 Г","ЮАО","Чертаново Центральное",313,,0
1157,1536,11283,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №879",879,"центр образования",FALSE,"117519, г. Москва, улица  Красного Маяка,  дом 3 Г","ЮАО","Чертаново Центральное",313,,296.588499
1364,1794,11284,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов естественнонаучного цикла №1388",1388,"школа",FALSE,"127006 г.Москва, Долгоруковская ул., д.6, стр.2","ЦАО","Тверской",884,84,7028.787408
