"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1","STEP2","STEP3","STUDENTS","STUDENTS_PER_SCHOOL","ASSIGNMENT_AREA_STUDENTS","ASSIGNMENT_AREA_STUDENTS_INTENDED"
47,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1240 «Мультипрофильный образовательный комплекс «Пресненский»",1240,"http://sch1240.mskobr.ru/","школа","Центральный административный округ","слияние",3,499,600,204,1303,434.3333333333,7457.843447,2584.6408865
48,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №345 имени А.С. Пушкина",345,"http://sch345.mskobr.ru/","школа","Центральный административный округ","слияние",2,369,446,136,951,475.5,34549.4756,3530.8333324365
49,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241",1241,"http://sch1241.mskobr.ru/","школа","Центральный административный округ","присоединение",2,564,477,86,1127,563.5,3057.927652,1523.7258946667
50,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2030 ",2030,"http://coc2030.mskobr.ru/","школа","Центральный административный округ","присоединение",1,481,553,170,1204,1204,3450.224965,1150.0749883333
51,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",1285,"http://sch1285sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",3,660,798,191,1649,549.6666666667,80718.030708,2577.7511548161
55,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517",1517,"http://gym1517sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",6,1434,1686,435,3555,592.5,235026.468564,6715.0215273055
57,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155",1155,"http://sch1155sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,352,294,46,692,692,1347.940161,336.98504025
60,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399 ",1399,"http://schu1399.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,285,331,106,722,722,6895.421167,1379.0842334
61,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1874",1874,"http://sch1874sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,639,659,182,1480,1480,39171.078094,1119.1702545509
62,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538",1538,"http://gym1538sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,1064,1230,319,2613,653.25,36174.604248,3617.4604248
63,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №830",830,"http://sch830sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",2,578,573,112,1263,631.5,41546.952614,1458.5809002652
77,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №827",827,"http://sch827sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,725,714,123,1562,781,13790.842334,2758.1684668
78,"Государственное бюджетное образовательное учреждение города Москвы лицей №1560",1560,"http://lyc1560.mskobr.ru/","лицей","Северо-Западный административный округ","присоединение",6,0,0,123,123,20.5,40496.990059,1384.3526475509
