"ID","x","DISTANCE","OPL_G"
33780,2,4.12531718712043,FALSE
38444,2,7.12681712935884,FALSE
38851,2,7.19731302778978,FALSE
28626,2,7.21404119781674,FALSE
31854,2,8.08889834809567,FALSE
38468,2,8.27047737862084,FALSE
6194,2,8.44664864325504,FALSE
36919,2,8.69921138177284,FALSE
38447,2,9.06416028753189,FALSE
44163,2,9.27681466126687,FALSE
39160,2,9.27689929329218,FALSE
39078,2,9.48356302022214,FALSE
26647,2,9.8120479490239,FALSE
44502,2,10.0723022763557,FALSE
6090,2,10.19403933996,FALSE
6833,2,10.2625601817972,FALSE
39475,2,10.9571339329756,FALSE
38770,2,11.52701549079,FALSE
36918,2,11.7118029728406,FALSE
33271,2,12.0138513059128,FALSE
12993,2,12.85069524287,FALSE
6809,2,13.0350659439432,FALSE
39504,2,13.1381883526616,FALSE
7241,2,13.1810995049519,FALSE
39441,2,13.5198895760982,FALSE
46608,2,16.224986524709,FALSE
45741,2,16.5909071097409,FALSE
7281,2,18.58380949692,FALSE
18498,2,19.0945488880825,FALSE
13463,2,20.5288662876552,FALSE
7489,2,20.6448097406063,FALSE
9444,2,21.3201726879107,FALSE
8583,2,21.3390890304462,FALSE
7670,2,25.3410064747122,FALSE
12848,2,26.6458593201422,FALSE
23708,2,29.8381872656047,FALSE
9461,2,30.2668186597479,FALSE
17873,2,32.3626985323641,FALSE
12809,2,35.3025580348051,FALSE
41795,2,39.2677555950471,FALSE
13033,2,40.5587595032088,FALSE
9342,2,40.9140564251215,FALSE
9258,2,54.223557531303,FALSE
8930,2,75.114108363133,FALSE
10994,2,4541.09332381862,FALSE
12664,2,4566.62428089019,FALSE
11002,2,4608.51709800943,FALSE
11097,2,4696.26158541602,FALSE
11080,2,4704.11788534086,FALSE
11020,2,4708.62894401806,FALSE
11079,2,4710.34245734908,FALSE
11021,2,4726.61107545264,FALSE
11117,2,4767.36619923883,FALSE
11113,2,4778.02231057318,FALSE
10995,2,4805.44083512321,FALSE
11118,2,4814.35704352053,FALSE
11003,2,4822.39295439111,FALSE
10839,2,4840.37918183527,FALSE
10955,2,4884.8633476453,FALSE
10991,2,4885.77509733267,FALSE
11076,2,4889.32279377191,FALSE
11114,2,4912.3160990272,FALSE
11092,2,4929.90994447833,FALSE
12541,2,4973.32932622651,FALSE
10981,2,5030.23502602729,FALSE
11022,2,5057.47320571775,FALSE
10871,2,5085.29856221161,FALSE
10980,2,5090.05996629099,FALSE
11110,2,5108.39650921754,FALSE
10900,2,5120.61547214444,FALSE
12540,2,5150.40509400765,FALSE
12545,2,5152.37948497469,FALSE
12537,2,5172.48920629853,FALSE
11111,2,5173.07684963399,FALSE
10983,2,5196.61234865615,FALSE
10982,2,5200.40429508696,FALSE
12530,2,5213.77713578577,FALSE
12543,2,5220.98990158909,FALSE
10968,2,5235.16405795305,FALSE
10984,2,5252.19165599764,FALSE
10962,2,5252.67513285868,FALSE
11112,2,5262.4569711727,FALSE
12538,2,5267.82574841365,FALSE
12621,2,5269.19371860325,FALSE
12658,2,5274.62858448134,FALSE
12536,2,5283.5649955395,FALSE
12656,2,5285.41321217988,FALSE
10873,2,5306.96745071228,FALSE
10974,2,5325.36608498499,FALSE
10967,2,5347.70091128405,FALSE
11065,2,5352.68769851676,FALSE
12535,2,5361.27408428308,FALSE
10986,2,5369.98448786817,FALSE
10816,2,5377.78505656076,FALSE
12534,2,5406.07024325983,FALSE
12612,2,5415.3725286663,FALSE
12614,2,5419.76817983852,FALSE
12622,2,5440.50333713288,FALSE
12632,2,5454.7120546878,FALSE
12630,2,5465.93750496409,FALSE
11066,2,5470.10846865734,FALSE
10503,2,5475.95602717438,FALSE
12613,2,5519.63846422719,FALSE
12549,2,5568.45322595961,FALSE
12606,2,5581.17921656093,FALSE
10910,2,5596.72288391596,FALSE
10988,2,5623.59866092615,FALSE
12531,2,5624.06941442101,FALSE
10903,2,5628.90412028923,FALSE
12633,2,5628.97757473765,FALSE
10969,2,5632.55132937163,FALSE
12631,2,5639.05376426127,FALSE
12653,2,5641.06661038635,FALSE
10947,2,5662.15861061034,FALSE
11056,2,5666.17996759665,FALSE
