"OBJECTID_1";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT";"STEP1";"STEP2";"STEP3"
76;166,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса";1252,000000;"http://sch1252.mskobr.ru/";"школа";"САО";"присоединение";1,000000;410,000000;313,000000;108,000000
77;167,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1213";1213,000000;"http://sch1213s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;387,000000;434,000000;87,000000
78;168,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1409 ";1409,000000;"http://gym1409s-new.mskobr.ru/";"гимназия";"САО";"слияние";1,000000;717,000000;811,000000;159,000000
79;169,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583";1583,000000;"http://gym1583s-new.mskobr.ru/";"гимназия";"САО";"присоединение";3,000000;659,000000;711,000000;177,000000
80;170,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1678 «Восточное Дегунино»";1678,000000;"http://sch1678.mskobr.ru/";"школа";"САО";"слияние";3,000000;349,000000;352,000000;88,000000
81;172,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1315";1315,000000;"http://sch1315s.mskobr.ru/";"школа";"САО";"присоединение";2,000000;622,000000;738,000000;130,000000
82;173,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1383";1383,000000;"http://sch1383.mskobr.ru/";"школа";"САО";"присоединение";2,000000;538,000000;566,000000;141,000000
83;174,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №929";929,000000;"http://sch929.mskobr.ru/";"школа";"САО";"присоединение";2,000000;453,000000;517,000000;105,000000
84;175,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570";1570,000000;"http://gym1570s.mskobr.ru/";"гимназия";"САО";"присоединение";2,000000;289,000000;330,000000;95,000000
85;176,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №717";717,000000;"http://sch717s.mskobr.ru/";"школа";"САО";"присоединение";3,000000;626,000000;578,000000;120,000000
86;177,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576";1576,000000;"http://gym1576s.mskobr.ru/";"гимназия";"САО";"присоединение";6,000000;1386,000000;1769,000000;424,000000
87;178,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1550";1550,000000;"http://lyc1550.mskobr.ru/";"лицей";"САО";"присоединение";2,000000;131,000000;269,000000;212,000000
