"SCHOOL_ID","BUILDING_ID","DIST"
10001,23907,463
10001,23913,499
10001,23920,500
10001,24022,174
10001,24023,197
10001,24024,97
10001,24025,63
10001,24026,78
10001,24027,93
10001,24028,90
10001,24029,111
10001,24030,91
10001,24031,143
10001,24032,289
10001,24033,262
10001,24034,258
10001,24035,364
10001,24036,365
10001,24037,314
10001,24038,268
10001,24039,227
10001,24040,118
10001,24041,190
10001,24042,202
10001,24043,139
10001,24044,82
10001,24045,257
10001,24046,264
10001,24047,178
10001,24048,215
10001,24049,197
10002,32000,483
10002,32003,498
10002,32006,385
10002,32008,466
10002,32009,448
10002,32010,406
10002,32011,394
10002,32012,367
10002,32013,295
10002,32020,498
10002,32021,462
10002,32022,446
10002,32023,389
10002,32024,364
10002,32025,455
10002,32026,374
10002,32029,489
10002,32031,420
10002,32037,499
10002,32082,455
10002,32084,474
10002,32085,373
10002,32086,435
10002,32087,290
10002,32088,472
10002,34954,422
10002,34955,368
10002,34957,409
10002,34959,464
10002,34960,418
10002,34961,400
10002,34962,388
10002,34963,378
10002,34964,488
10002,34967,486
10002,34976,302
10002,34977,239
10002,34978,335
10002,34979,219
10002,34980,268
10002,34981,318
10002,34982,223
10002,34984,173
10002,34985,414
10002,34986,442
10002,34987,475
10002,34988,190
10002,34989,154
10002,34990,123
10002,34991,102
10002,34992,98
10002,34993,127
10002,34996,351
10002,34997,347
10002,34998,483
10002,34999,470
10002,35000,461
10002,35001,456
10002,35003,256
10002,35004,273
10002,35005,233
10002,35006,194
10002,35007,158
10002,35008,158
10002,35009,191
10002,35010,124
10002,35011,165
10002,35012,121
10002,35013,84
10002,35014,68
10002,35015,146
10002,35016,213
10002,35017,215
10002,35018,232
10002,35019,294
10002,35020,304
10002,35021,341
10002,35022,338
10002,35023,328
10002,35024,330
10002,35025,343
10002,35026,381
10002,35027,409
10002,35028,212
10002,35029,249
10002,35030,126
10002,35031,84
10002,35032,162
10002,35033,90
10002,35034,265
10002,35035,167
10002,35036,232
10002,35037,202
10002,35038,155
10002,35039,168
10002,35040,121
10002,35073,204
10002,35074,288
10002,35075,304
10002,35076,236
10002,35077,119
10002,35078,303
10002,35079,241
10002,35080,325
10002,35121,465
10002,35122,458
10002,35123,439
10002,35125,455
10002,35126,404
10002,35128,313
10002,35129,402
10002,35149,482
10002,35190,198
10002,35191,248
10002,35192,321
10002,35193,395
10002,35194,369
10002,35195,396
10002,35196,364
10002,35197,407
10002,35198,461
10002,35211,444
10002,35212,455
10003,43769,407
10003,43770,291
10003,43771,390
10003,43772,261
10003,43773,280
10003,43774,221
10003,43775,216
10003,43776,267
10003,43777,464
10003,43778,319
10003,43780,364
10003,43781,411
10003,43793,426
10003,43794,365
10003,43795,257
10003,43796,202
10003,43797,156
10003,43798,97
10003,43799,93
10003,43800,162
10003,43801,213
10003,43802,211
10003,43803,230
10003,43804,276
10003,43805,346
10003,43806,407
10003,43807,452
10003,43808,497
10003,43809,320
10003,43810,376
10003,43811,330
10003,43812,471
10003,43813,480
10003,43814,255
10003,43816,159
10003,43817,175
10003,43818,336
10003,43819,416
10003,43820,174
10003,43940,324
10003,43941,311
10003,43943,330
10003,43944,261
10003,43945,376
10003,43946,289
10003,43947,429
10003,43948,328
10003,43949,485
10003,43950,369
10003,43952,429
10003,43955,500
10003,43963,441
10003,43965,447
10003,43966,474
10003,43967,373
10003,43968,413
10003,43969,449
10003,43970,296
10003,43971,341
10003,43972,385
10003,43973,227
10003,43975,177
10003,43976,260
10003,43977,169
10003,43981,176
10003,43982,125
10003,43983,211
10003,43984,363
10003,43985,431
10003,43991,471
10003,43992,398
10003,43993,290
10003,43994,292
10003,43995,186
10003,43996,194
10003,43997,165
10003,43998,101
10003,43999,114
10003,44000,274
10003,44001,388
10005,41219,415
10005,41223,231
10005,41224,182
10005,41226,81
10005,41227,229
10005,41228,85
10005,41284,499
10005,41285,402
10005,41288,353
10005,41289,401
10005,41304,155
10005,41308,129
10005,41311,232
10005,41312,277
10005,41313,255
10005,41314,223
10005,41315,196
10005,41318,94
10005,41319,149
10005,41320,210
10005,41321,419
10005,41322,465
10005,41324,481
10005,41325,466
10005,41326,428
10005,41327,416
10005,41329,278
10005,41334,352
10005,41335,431
10005,42021,453
10005,42022,466
10005,42023,374
10005,42024,394
10005,42025,443
10005,42028,463
10005,42041,491
10006,44471,443
10006,44472,312
10006,44474,410
10006,44476,405
10006,44477,393
10006,44478,315
10006,44479,431
10006,44480,250
10006,44481,244
10006,44482,217
10006,44483,227
10006,44484,477
10006,44485,283
10006,44486,237
10006,44487,124
