"ID","SCHOOL_ID","NAME","NUMB","CURRENT_USE","ADDRESS","OKRUG","RAYON","POINT_X","POINT_Y"
199,10199,"Государственное бюджетное образовательное учреждение города Москвы лицей №1524",1524,"","109382, г. Москва, ул. Судакова, дом 29","ЮВАО","Люблино",37.757115,55.673812
200,10200,"Государственное бюджетное образовательное учреждение города Москвы лицей №1525 «Воробьевы горы»",1525,"средняя школа","119334, г. Москва, ул. Косыгина, дом 17","ЮЗАО","Гагаринский",37.670232,55.784935
201,10201,"Государственное бюджетное образовательное учреждение города Москвы лицей №1533 информационных технологий",1533,"средняя школа","119296, г. Москва, Ломоносовский проспект, дом 16","ЮЗАО","Гагаринский",37.543757,55.692293
202,10202,"Государственное бюджетное образовательное учреждение города Москвы лицей №1535",1535,"","119048 г. Москва, ул. Усачева,  д.50","ЦАО","Хамовники",37.564869,55.726086
203,10203,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №35",35,"","119048 г. Москва, ул. Усачева,  д.50","ЦАО","Хамовники",37.562034,55.73091
204,10204,"Государственное бюджетное образовательное учреждение города Москвы лицей №1546 «Плехановец»",1546,"","Центральный, Якиманка, ул. Донская, д. 21","ЦАО","Якиманка",37.608288,55.722467
205,10205,"Государственное бюджетное образовательное учреждение города Москвы лицей №1547",1547,"","109469, г. Москва, ул. Белореченская, д. 47, корп. 1","ЮВАО","Марьино",37.7769,55.662154
206,10206,"Государственное бюджетное образовательное учреждение города Москвы лицей №1548",1548,"","119180 г.Москва, Бродников пер., д.3","ЦАО","Якиманка",37.617754,55.736925
207,10207,"Государственное бюджетное образовательное учреждение города Москвы лицей №1553 «На Донской»",1553,"","115114 г. Москва, ул. Дербеневская д.13","ЮАО","Даниловский",37.649058,55.720986
208,10208,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1890",1890,"начальная школа","124536, г. Москва, Зеленоград, корп. 509","ЗелАО","Савёлки",37.230033,55.998625
209,10209,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1923",1923,"средняя школа","124536, г. Москва, Зеленоград, корп. 509","ЗелАО","Савёлки",37.255401,55.989999
210,10210,"Государственное бюджетное образовательное учреждение города Москвы лицей средняя общеобразовательная школа №845",845,"средняя школа","124536, г. Москва, Зеленоград, корп. 509","ЗелАО","Савёлки",37.222124,55.994292
211,10211,"Государственное бюджетное образовательное учреждение города Москвы лицей №1557",1557,"средняя школа","124536, г. Москва, Зеленоград, корп. 509","ЗелАО","Савёлки",37.231727,55.998123
212,10212,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №399",369,"","107014, г. Москва, ул. Гастелло, дом 3","ВАО","Сокольники",37.786341,55.805667
213,10213,"Государственное бюджетное образовательное учреждение города Москвы лицей №1560",1560,"средняя школа","123423, г. Москва, ул.  Тухачевского, д. 17, корп. 3","СЗАО","Хорошёво-Мнёвники",37.483937,55.780362
214,10214,"Государственное бюджетное образовательное учреждение города Москвы лицей №1561",1561,"средняя школа","117463, г.Москва, Новоясеневский проспект, д.38, корп.2","ЮЗАО","Ясенево",37.54374,55.601957
215,10215,"Государственное бюджетное образовательное учреждение города Москвы лицей №1564",1564,"средняя школа","125222, г. Москва, улица Рословка, дом 8","СЗАО","Митино",37.360511,55.830274
