"SCHOOL_ID","SCHOOL_BLOCK_ID","FEATURE_ID","POINT_X","POINT_Y"
10001,1,1,37.705345,55.737043
10001,1,1,37.706303,55.738773
10001,1,2,37.704449,55.737606
10001,1,2,37.706303,55.738773
10001,1,3,37.702957,55.737276
10001,1,3,37.706303,55.738773
10001,1,4,37.701879,55.737458
10001,1,4,37.706303,55.738773
10001,1,5,37.704879,55.738428
10001,1,5,37.706303,55.738773
10001,1,6,37.700776,55.737758
10001,1,6,37.706303,55.738773
10001,1,7,37.700521,55.738532
10001,1,7,37.706303,55.738773
10001,1,8,37.70508,55.738879
10001,1,8,37.706303,55.738773
10001,1,9,37.705289,55.739351
10001,1,9,37.706303,55.738773
10001,1,10,37.706328,55.739606
10001,1,10,37.706303,55.738773
10001,1,11,37.706718,55.740525
10001,1,11,37.706303,55.738773
10001,1,12,37.706918,55.740013
10001,1,12,37.706303,55.738773
10001,1,13,37.707033,55.739471
10001,1,13,37.706303,55.738773
10001,1,14,37.707696,55.739386
10001,1,14,37.706303,55.738773
10001,1,15,37.707305,55.738781
10001,1,15,37.706303,55.738773
10001,1,16,37.710337,55.738316
10001,1,16,37.706303,55.738773
10001,1,17,37.709285,55.738239
10001,1,17,37.706303,55.738773
10001,1,18,37.710152,55.737875
10001,1,18,37.706303,55.738773
10001,1,19,37.708222,55.738147
10001,1,19,37.706303,55.738773
10001,1,20,37.709026,55.737604
10001,1,20,37.706303,55.738773
10001,1,21,37.709879,55.737145
10001,1,21,37.706303,55.738773
10001,1,22,37.707269,55.738271
10001,1,22,37.706303,55.738773
10001,1,23,37.708052,55.73752
10001,1,23,37.706303,55.738773
10001,1,24,37.708491,55.737155
10001,1,24,37.706303,55.738773
10001,1,25,37.708352,55.73677
10001,1,25,37.706303,55.738773
10001,1,26,37.707467,55.736495
10001,1,26,37.706303,55.738773
10001,1,27,37.706722,55.737739
10001,1,27,37.706303,55.738773
10001,1,28,37.706473,55.737066
10001,1,28,37.706303,55.738773
10002,2,29,37.790656,55.803237
10002,2,29,37.790721,55.804788
10002,2,30,37.790246,55.80391
10002,2,30,37.790721,55.804788
10002,2,31,37.789545,55.803899
10002,2,31,37.790721,55.804788
10002,2,32,37.788514,55.803213
10002,2,32,37.790721,55.804788
10002,2,33,37.788857,55.803893
10002,2,33,37.790721,55.804788
10002,2,34,37.786837,55.803188
10002,2,34,37.790721,55.804788
10002,2,35,37.788152,55.803883
10002,2,35,37.790721,55.804788
10002,2,36,37.787284,55.803869
10002,2,36,37.790721,55.804788
10002,2,37,37.785698,55.80376
10002,2,37,37.790721,55.804788
10002,2,38,37.784253,55.803739
10002,2,38,37.790721,55.804788
10002,2,39,37.784961,55.804147
10002,2,39,37.790721,55.804788
10002,2,40,37.784203,55.804739
10002,2,40,37.790721,55.804788
10002,2,41,37.785644,55.804769
10002,2,41,37.790721,55.804788
10002,2,42,37.786442,55.804786
10002,2,42,37.790721,55.804788
10002,2,43,37.787233,55.804802
10002,2,43,37.790721,55.804788
10002,2,44,37.783421,55.805464
10002,2,44,37.790721,55.804788
10002,2,45,37.784172,55.805472
10002,2,45,37.790721,55.804788
10002,2,46,37.783406,55.806274
10002,2,46,37.790721,55.804788
10002,2,47,37.784729,55.806033
10002,2,47,37.790721,55.804788
10002,2,48,37.785195,55.80636
10002,2,48,37.790721,55.804788
10002,2,49,37.784127,55.807084
10002,2,49,37.790721,55.804788
10002,2,50,37.785651,55.806628
10002,2,50,37.790721,55.804788
10002,2,51,37.785476,55.807861
10002,2,51,37.790721,55.804788
10002,2,52,37.786271,55.807871
10002,2,52,37.790721,55.804788
10002,2,53,37.787065,55.807885
10002,2,53,37.790721,55.804788
10002,2,54,37.787933,55.808833
10002,2,54,37.790721,55.804788
10002,2,55,37.788668,55.808844
10002,2,55,37.790721,55.804788
10002,2,56,37.789406,55.80886
10002,2,56,37.790721,55.804788
10002,2,57,37.789742,55.807894
10002,2,57,37.790721,55.804788
10002,2,58,37.790137,55.808868
10002,2,58,37.790721,55.804788
10002,2,59,37.790486,55.807901
10002,2,59,37.790721,55.804788
10002,2,60,37.790922,55.808903
10002,2,60,37.790721,55.804788
10002,2,61,37.791033,55.807021
10002,2,61,37.790721,55.804788
10002,2,62,37.791327,55.806662
10002,2,62,37.790721,55.804788
10002,2,63,37.791251,55.806212
10002,2,63,37.790721,55.804788
10002,2,64,37.791132,55.805565
10002,2,64,37.790721,55.804788
10002,2,65,37.792467,55.80696
10002,2,65,37.790721,55.804788
10002,2,66,37.792641,55.805831
10002,2,66,37.790721,55.804788
10002,2,67,37.793336,55.805849
10002,2,67,37.790721,55.804788
10002,2,68,37.792679,55.804911
10002,2,68,37.790721,55.804788
10002,2,69,37.794126,55.803946
10002,2,69,37.790721,55.804788
10002,2,70,37.793425,55.803936
10002,2,70,37.790721,55.804788
10002,2,71,37.794443,55.803278
10002,2,71,37.790721,55.804788
10002,2,72,37.792726,55.803927
10002,2,72,37.790721,55.804788
10002,2,73,37.792044,55.803924
10002,2,73,37.790721,55.804788
10002,2,74,37.792499,55.803252
10002,2,74,37.790721,55.804788
10002,2,75,37.790942,55.803918
10002,2,75,37.790721,55.804788
10002,245,76,37.796657,55.804052
10002,245,76,37.796661,55.806174
10002,245,77,37.796342,55.803451
