"OBJECTID";"ID_1";"NAME";"NUMB";"ADDRESS";"OKRUG";"RAYON";"VID";"COMPLEX_ID"
44;60,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1514 (средняя школа)";1514,000000;"119311, г.Москва, ул.Крупской, д.12";"Юго-Западный административный округ";"Ломоносовский район";"Гимназия";565,000000
45;61,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №131 (1-6 классы)";131,000000;"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";130,000000
46;61,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1515 (7-11 классы)";1515,000000;"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";130,000000
48;62,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №593";593,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
50;62,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517 (средняя школа)";1517,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
51;62,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №143";143,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
52;62,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №80";80,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
53;62,000000;"Государственное бюджетное образовательное учреждение города Москвы школа-интернат с углубленным изучением китайского языка №11";11,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
55;62,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №115";115,000000;"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Гимназия";55,000000
56;65,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1521 (средняя школа)";1521,000000;"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Гимназия";20,000000
57;65,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1768 (начальная школа)";1768,000000;"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Гимназия";20,000000
58;69,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1667 (начальная школа)";1667,000000;"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Гимназия";783,000000
59;69,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1717 (начальная школа)";1528,000000;"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Гимназия";783,000000
60;69,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1528";1528,000000;"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Гимназия";783,000000
61;70,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С.Грибоедова";1529,000000;"119034 г.Москва, 2-ой Обыденский пер, д.9";"Центральный административный округ";"район Хамовники";"Гимназия";25,000000
63;72,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая» (средняя школа)";1531,000000;"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Гимназия";226,000000
65;72,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1756 (начальная школа)";1756,000000;"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Гимназия";226,000000
66;73,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1532";1532,000000;"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3";"Юго-Западный административный округ";"район Тёплый Стан";"Гимназия";523,000000
67;74,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1534";1534,000000;"117036, г.Москва, ул.Кедрова, д.11";"Юго-Западный административный округ";"Академический район";"Гимназия";588,000000
68;75,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1536 (средняя школа)";1536,000000;"119261, г.Москва, Ленинский проспект, дом 83 А";"Юго-Западный административный округ";"Ломоносовский район";"Гимназия";561,000000
69;76,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";1538,000000;"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"Северо-Западный административный округ";"район Митино";"Гимназия";62,000000
70;76,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и информационных технологий №1339";1538,000000;"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"Северо-Западный административный округ";"район Митино";"Гимназия";62,000000
71;77,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540 (средняя школа)";1540,000000;"103055 г. Москва, Новослободская ул., д.57, стр.1";"Центральный административный округ";"Тверской район";"Гимназия";37,000000
72;78,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1541";1541,000000;"119415 г. Москва, пр. Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Гимназия";718,000000
73;79,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1542 (средняя школа)";1542,000000;"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"Западный административный округ";"район Солнцево";"Гимназия";779,000000
74;80,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1544 (средняя школа)";1544,000000;"125222, г. Москва, ул. Пенягинская, д. 14";"Северо-Западный административный округ";"район Митино";"Гимназия";107,000000
75;81,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №677 (средняя школа)";677,000000;"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Гимназия";79,000000
77;81,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №828 (начальная школа)";828,000000;"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Гимназия";79,000000
79;81,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551 (средняя школа)";1551,000000;"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Гимназия";79,000000
82;83,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";1558,000000;"129327,  Москва, Чукотский проезд, д. 6";"Северо-Восточный административный округ";"Бабушкинский район";"Гимназия";259,000000
84;84,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1967 (1-6 классы)";1967,000000;"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Гимназия";433,000000
85;84,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артема Боровика (1-9 классы)";1562,000000;"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Гимназия";433,000000
86;85,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово» (средняя школа)";1565,000000;"129323, г. Москва, ул. Седова, д. 4, корп. 1";"Северо-Восточный административный округ";"район Свиблово";"Гимназия";293,000000
87;86,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1566";1566,000000;"109652, г. Москва, Мячковский бульвар, дом 14, к. 3";"Юго-Восточный административный округ";"район Марьино";"Гимназия";459,000000
88;89,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1570 (средняя школа)";1570,000000;"125040, г. Москва, 5-я улица Ямского поля, д. 28/32";"Северный административный округ";"район Беговой";"Гимназия";175,000000
89;90,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1572";1572,000000;"127018, г.Москва, Октябрьский пер., д.11";"Северо-Восточный административный округ";"район Марьина Роща";"Гимназия";311,000000
90;91,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1573";1573,000000;"127253, г. Москва, ул. Псковская, д.11";"Северо-Восточный административный округ";"район Лианозово";"Гимназия";238,000000
91;92,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1576";1576,000000;"125299, г. Москва, ул. Большая Академическая, д.22-А";"Северный административный округ";"район Коптево";"Гимназия";177,000000
92;93,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1577";1577,000000;"129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6";"Северо-Восточный административный округ";"Ярославский район";"Гимназия";240,000000
93;94,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1579";1579,000000;"115409 г. Москва, Пролетарский пр-кт, д.7 к.3";"Южный административный округ";"район Москворечье-Сабурово";"Гимназия";383,000000
94;95,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1582 (начальная школа)";1582,000000;"117587 г. Москва,ул. Кировоградская,д.18,к.4";"Южный административный округ";"район Чертаново Центральное";"Гимназия";384,000000
95;95,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1582 (средняя школа)";1582,000000;"117587 г. Москва,ул. Кировоградская,д.18,к.4";"Южный административный округ";"район Чертаново Центральное";"Гимназия";384,000000
96;96,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583";1583,000000;"125493, г. Москва, улица Смольная, дом 25";"Северный административный округ";"Головинский район";"Гимназия";169,000000
97;97,000000;"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1659 (начальная школа)";1659,000000;"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"Западный административный округ";"район Кунцево";"Гимназия";704,000000
98;97,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1584";1584,000000;"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"Западный административный округ";"район Кунцево";"Гимназия";704,000000
99;97,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1781 (начальная школа)";1781,000000;"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"Западный административный округ";"район Кунцево";"Гимназия";704,000000
100;100,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 (начальная школа)";1590,000000;"125581, г. Москва, ул. Фестивальная, д. 16";"Северный административный округ";"район Ховрино";"Гимназия";182,000000
101;103,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1593";1593,000000;"121614 г.Москва, ул. Крылатские холмы, д. 28, корпус 1";"Западный административный округ";"район Крылатское";"Гимназия";745,000000
102;104,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1595";1595,000000;"140008, город Москва, 2-я Вольская улица, дом 7, корпус 2";"Юго-Восточный административный округ";"район Некрасовка";"Гимназия";420,000000
103;105,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1596";1596,000000;"119633 г.Москва, ул. Приречная,д.1";"Западный административный округ";"район Ново-Переделкино";"Гимназия";759,000000
104;106,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1597";1597,000000;"109444, г. Москва, ул. Ташкентская, д. 6";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Гимназия";442,000000
105;106,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №355";355,000000;"109444, г. Москва, ул. Ташкентская, д. 6";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Гимназия";442,000000
106;107,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1599";1599,000000;"109457, г. Москва, ул. Зеленодольская, д. 32, корп. 6";"Юго-Восточный административный округ";"район Кузьминки";"Гимназия";415,000000
107;108,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1636 «Ника» (средняя школа)";1636,000000;"115583 г. Москва, ул. Воронежская, д.7,к. 2";"Южный административный округ";"район Орехово-Борисово Южное";"Гимназия";361,000000
109;109,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1786";1786,000000;"117041, г.Москва, ул. Адмирала Лазарева, д. 77";"Юго-Западный административный округ";"район Южное Бутово";"Гимназия";555,000000
110;111,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1926";1926,000000;"111672, г. Москва, ул. Салтыковская, д. 5А";"Восточный административный округ";"район Новокосино";"Гимназия";636,000000
111;112,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";201,000000;"125130, г. Москва, улица Зои и Александра Космодемьянских, дом 3";"Северный административный округ";"Войковский район";"Гимназия";202,000000
112;113,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №45 (начальная школа)";45,000000;"117036, г. Москва, ул. Гримау, д.8";"Юго-Западный административный округ";"Академический район";"Гимназия";505,000000
113;113,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №45 имени Л.И.Мильграма (средняя школа)";45,000000;"117036, г. Москва, ул. Гримау, д.8";"Юго-Западный административный округ";"Академический район";"Гимназия";505,000000
115;114,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №625";625,000000;"117449, г. Москва, ул. Шверника, д. 17, корп. 2";"Юго-Западный административный округ";"Академический район";"Гимназия";534,000000
117;115,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1272 (начальная школа)";1272,000000;"115280, г. Москва, 1-й Кожуховский проезд, д.17";"Южный административный округ";"Даниловский район";"Гимназия";360,000000
118;115,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1272 (средняя школа)";1272,000000;"115280, г. Москва, 1-й Кожуховский проезд, д.17";"Южный административный округ";"Даниловский район";"Гимназия";360,000000
120;116,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1192";1192,000000;"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"Северо-Западный административный округ";"район Митино";"Гимназия";117,000000
121;116,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1549";1549,000000;"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"Северо-Западный административный округ";"район Митино";"Гимназия";117,000000
122;116,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и французского языков №1358";1358,000000;"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"Северо-Западный административный округ";"район Митино";"Гимназия";117,000000
127;117,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1452 «Богородская»";1452,000000;"107564, г. Москва, ул. 1-я Гражданская, д.96";"Восточный административный округ";"район Богородское";"Гимназия";637,000000
128;118,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1504";1504,000000;"111555, город Москва, улица Сталеваров, дом 10 А";"Восточный административный округ";"район Ивановское";"Гимназия";691,000000
129;120,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1518 (средняя школа)";1518,000000;"129085, г. Москва, проспект Мира, д. 87";"Северо-Восточный административный округ";"Останкинский район";"Гимназия";278,000000
130;120,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1518 (начальная школа)";1518,000000;"129085, г. Москва, проспект Мира, д. 87";"Северо-Восточный административный округ";"Останкинский район";"Гимназия";278,000000
131;121,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1539";1539,000000;"129626, г. Москва, ул. Староалексеевская, дом 1";"Северо-Восточный административный округ";"Алексеевский район";"Гимназия";294,000000
132;122,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1563 (средняя школа)";1563,000000;"105215,  Москва, ул. 13-я  Парковая,  д. 33";"Восточный административный округ";"район Северное Измайлово";"Гимназия";669,000000
135;123,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»";1748,000000;"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"Восточный административный округ";"район Северное Измайлово";"Гимназия";689,000000
136;123,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»";1748,000000;"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"Восточный административный округ";"район Северное Измайлово";"Гимназия";689,000000
137;124,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия «Государственная столичная гимназия» (средняя школа)";0,000000;"127543 Белозерская улица, д. 12";"Северо-Восточный административный округ";"район Бибирево";"Гимназия";250,000000
138;125,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1508 «Измайловская»";1508,000000;"105043, Первомайская улица, 65";"Восточный административный округ";"район Измайлово";"Гимназия";679,000000
139;125,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №695";695,000000;"105043, Первомайская улица, 65";"Восточный административный округ";"район Измайлово";"Гимназия";679,000000
142;132,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2052 (средняя школа)";2052,000000;"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Лицей";497,000000
143;132,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1524";1524,000000;"109382, г. Москва, ул. Судакова, дом 29";"Юго-Восточный административный округ";"район Люблино";"Лицей";497,000000
145;134,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1533 информационных технологий (средняя школа)";1533,000000;"119296, г. Москва, Ломоносовский проспект, дом 16";"Юго-Западный административный округ";"Гагаринский район";"Лицей";605,000000
146;136,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1546 «Плехановец»";1546,000000;"Центральный, Якиманка, ул. Донская, д. 21";"Центральный административный округ";"район Якиманка";"Лицей";42,000000
147;138,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1548";1548,000000;"119180 г.Москва, Бродников пер., д.3";"Центральный административный округ";"район Якиманка";"Лицей";42,000000
149;140,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей средняя общеобразовательная школа №845 (средняя школа)";845,000000;"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Лицей";808,000000
