ID;NAME;COMPLEX_ID;NUMB;TYPE
569;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1774;176;1774;
470;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1776;135;1776;
1034;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1779 ;293;1779;
2494;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1781;704;1781;
1836;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1801;590;1801;
606;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1826;181;1826;
767;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1855;303;1855;
1668;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1882;460;1882;
1514;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1893 ;421;1893;
380;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1938 ;107;1938;
1838;Государственное бюджетное образовательное учреждение города Москвы прогимназия №45;505;45;
2734;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад I, II вида №1635;781;1635;
1015;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад III и IV видов №1697;288;1697;
2587;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад IV вида №1665;731;1665;
883;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад VII вида №1822;253;1822;
69;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа III-IV видов №67;25;67;
352;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида №77;98;77;
68;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида №37;25;37;
1831;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида №108;502;108;
1832;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья VIII вида №62;502;62;
353;Государственное бюджетное образовательное учреждение города Москвы специальная общеобразовательная школа №7;98;7;
2825;Государственное бюджетное образовательное учреждение города Москвы специальная общеобразовательная школа №8;811;8;
2242;Государственное бюджетное образовательное учреждение города Москвы специальная общеобразовательная школа №9;635;9;
2590;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1008 ;733;1008;
605;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1029;181;1029;
326;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №106;91;106;
2571;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1061 ;728;1061;
398;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1062 ;113;1062;
1786;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1084;490;1084;
1861;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1100;517;1100;
1981;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1115;560;1115;
442;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1136;125;1136;
938;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1138;266;1138;
629;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1159;186;1159;
341;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №129;95;129;
1778;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1321 «Ковчег»;487;1321;
2094;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №137;587;137;
224;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1605 ;56;1605;
2176;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1693 имени 1-й дивизии народного ополчения Москвы;608;1693;
383;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №173 ;108;173;
361;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1920;101;1920;
2737;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1923;808;1923;
1645;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1959;455;1959;
2038;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1979;575;1979;
1884;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №198;527;198;
1812;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №2028;497;2028;
830;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №266;242;266;
128;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №268;35;268;
2051;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №27;578;27;
990;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №306;281;306;
2299;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №349;656;349;
2194;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №356 имени Н.З. Коляды;615;356;
2640;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №384 имени Д.К. Корнеева;750;384;
2461;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №404;697;404;
173;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №464 ;46;464;
1971;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №48;556;48;
165;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №50;43;50;
1871;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №521;522;521;
2112;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №523;591;523;
2008;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №533;568;533;
2078;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №554;585;554;
1171;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №578;329;578;
1450;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №582;423;582;
2551;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №60 имени В.С. Опариной;723;60;
1085;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №606;308;606;
2550;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №64;723;64;
2698;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №659;769;659;
728;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №668 имени Героя Советского Союза В.П. Кислякова;208;668;
474;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №674;162;674;
291;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №677;79;677;
553;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №682 ;172;682;
802;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №709;236;709;
2531;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №712;717;712;
351;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №738;98;738;
2645;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №812;751;812;
405;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №821;115;821;
240;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №830 ;63;830;
1175;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №855;359;855;
446;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №883;127;883;
2460;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №892;697;892;
1115;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №896;315;896;
1358;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №901;372;901;
1394;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №939;379;939;
2625;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №1975;744;1975;
2150;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №370;600;370;
2677;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №379;761;379;
2185;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №381 ;689;381;
1065;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №388;302;388;
570;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» №526;176;526;
1904;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1;535;1;
207;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №100;53;100;
2496;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1000;705;1000;
2499;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1002;706;1002;
363;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005;102;1005;
