"","SCHOOL_OBJECTID","SCHOOL_ID","SCHOOL_NAME","SCHOOL_NUMB","ASSIGHED_OBJECTID","ASSIGNED_SCHOOL_ID","ASSIGHED_NAME","ASSIGHED_NUMB","COMPLEX_ID","HOUSE_ID_COUNT","SELF","ZERO_ASSIGNED"
"56",1956,10007,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620",1620,304,10292,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №137",137,587,43,FALSE,FALSE
"57",156,10214,"Государственное бюджетное образовательное учреждение города Москвы лицей №1561",1561,306,10293,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1693 имени 1-й дивизии народного ополчения Москвы",1693,580,13,FALSE,FALSE
"58",1965,10015,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1850",1850,321,10312,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №48",48,528,36,FALSE,FALSE
"59",1964,10056,"Новая школа ЖК «Теплый Край»",NA,321,10312,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №48",48,528,36,FALSE,FALSE
"60",2001,10029,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1657",1657,321,10312,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №48",48,528,36,FALSE,FALSE
"61",1963,10020,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №126",126,321,10312,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №48",48,528,36,FALSE,FALSE
"62",1959,10009,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649",1649,323,10314,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №523",523,591,97,FALSE,FALSE
"63",1958,10024,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением предметной области «Искусство» №95",95,323,10314,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №523",523,591,97,FALSE,FALSE
"64",265,10248,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1644",1644,324,10315,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №533",533,568,67,FALSE,FALSE
"65",40,10091,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая гимназия-лаборатория»",1505,363,10358,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1032",1032,674,498,FALSE,FALSE
"66",1916,10037,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №300",300,368,10361,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1038",1038,271,125,FALSE,FALSE
"67",86,10140,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»",1565,391,10383,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1098",1098,293,90,FALSE,FALSE
"68",1972,10055,"Новая школа ЖК «Мичурино»",NA,410,10396,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1117",1117,776,112,FALSE,FALSE
"69",1045,10431,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1199 «Лига Школ»",1199,1045,10431,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1199 «Лига Школ»",1199,915,0,TRUE,TRUE
"70",168,10221,"Государственное бюджетное образовательное учреждение города Москвы лицей №1574",1574,489,10438,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №128",128,45,174,FALSE,FALSE
"71",146,10204,"Государственное бюджетное образовательное учреждение города Москвы лицей №1546 «Плехановец»",1546,492,10442,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1323",1323,42,295,FALSE,FALSE
"72",147,10206,"Государственное бюджетное образовательное учреждение города Москвы лицей №1548",1548,492,10442,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1323",1323,42,295,FALSE,FALSE
"73",2007,10034,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1784 «Кадетская школа»",1784,523,10467,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №155",155,206,151,FALSE,FALSE
"74",1938,10003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,1057,10496,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1750",1750,851,73,FALSE,FALSE
"75",1939,10004,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,1057,10496,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1750",1750,851,73,FALSE,FALSE
"76",1907,10051,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1863",1863,573,10511,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1883 «Бутово»",1883,530,46,FALSE,FALSE
"77",1525,11270,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Технология» №1379",1379,575,10512,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №190",190,599,90,FALSE,FALSE
"78",85,10139,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артема Боровика",1562,603,10539,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1965",1965,433,15,FALSE,FALSE
"79",84,10138,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1967",1967,603,10539,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1965",1965,433,15,FALSE,FALSE
"80",614,10549,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,614,10549,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,93,0,TRUE,TRUE
"81",1670,11447,"Государственное бюджетное образовательное учреждение города Москвы центр образования №2010",2010,616,10550,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1986 имени Героя Советского Союза М.П.Судакова",1986,476,252,FALSE,FALSE
"82",1671,11448,"Государственное бюджетное образовательное учреждение города Москвы центр образования №2010",2010,616,10550,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1986 имени Героя Советского Союза М.П.Судакова",1986,476,252,FALSE,FALSE
"83",1413,11172,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1354",1354,1067,10565,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2003",2003,576,39,FALSE,FALSE
"84",517,10462,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1978",1978,1068,10573,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2014",2014,525,11,FALSE,FALSE
"85",518,10461,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1492",1492,1068,10573,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2014",2014,525,11,FALSE,FALSE
"86",1951,10028,"Государственное бюджетное образовательное учреждение города Москвы «Воробьевы горы»",NA,1079,10610,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №22",22,857,18,FALSE,FALSE
"87",1995,10035,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №205 имени Героя Советского Союза Е.К. Лютикова",205,675,10612,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №221",221,211,194,FALSE,FALSE
"88",71,10129,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540",1540,680,10617,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №228",228,37,131,FALSE,FALSE
"89",5,10065,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554",1554,701,10638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №258",258,291,16,FALSE,FALSE
