"ID","WALKING_DURATION_275","WALKING_DISTANCE_275"
"1","3553","4812"
"2","3396","4611"
"3","3174","4292"
"4","3257","4407"
"5","3159","4274"
"6","2938","3952"
"7","2936","3950"
"8","3001","4048"
"9","2836","3807"
"10","2923","3935"
"11","3069","4131"
"12","2809","3767"
"13","2898","3885"
"14","3330","4518"
"15","3289","4461"
"16","3266","4430"
"17","3154","4273"
"18","3112","4215"
"19","3068","4152"
"20","3068","4152"
"21","3069","4125"
"22","2917","3912"
"23","2884","3865"
"24","2958","4009"
"25","2851","3828"
"26","2573","3448"
"27","3421","4643"
"28","3349","4533"
"29","3313","4484"
"30","3298","4468"
"31","3187","4295"
"32","3197","4300"
"33","3107","4184"
"34","3081","4153"
"35","3018","4069"
"36","2940","3964"
"37","3478","4709"
"38","3477","4721"
"39","3324","4502"
"40","3324","4495"
"41","3257","4407"
"42","3256","4407"
"43","3220","4356"
"44","3520","4764"
"45","3132","4210"
"46","3112","4181"
"47","2974","3991"
"48","2958","3970"
"49","3363","4552"
"50","3294","4455"
"51","3336","4514"
"52","3256","4404"
"53","3229","4343"
"54","3231","4344"
"55","3132","4207"
"56","3074","4133"
"57","3059","4113"
"58","3006","4042"
"59","3055","4111"
"60","2979","4004"
"61","3438","4666"
"62","1870","2492"
"63","2718","3645"
"64","2672","3573"
"65","2630","3520"
"66","2632","3521"
"67","2479","3296"
"68","2593","3458"
"69","2494","3343"
"70","2395","3200"
"71","2552","3419"
"72","2565","3449"
"73","2565","3449"
"74","2565","3449"
"75","2420","3248"
"76","2316","3115"
"77","2449","3300"
"78","2481","3347"
"79","2410","3235"
"80","2425","3256"
"81","2481","3329"
"82","2497","3350"
"83","2557","3427"
"84","2498","3330"
"85","2549","3395"
"86","2486","3345"
"87","2472","3327"
"88","2390","3176"
"89","2437","3241"
"90","2459","3266"
"91","2543","3383"
"92","2335","3136"
"93","2335","3136"
"94","2309","3104"
"95","2222","2970"
"96","2293","3047"
"97","2330","3109"
"98","2317","3085"
"99","2300","3063"
"100","2241","3001"
"101","2205","2954"
"102","2275","3039"
"103","2275","3039"
"104","2275","3039"
"105","2275","3039"
"106","2275","3039"
"107","2242","2989"
"108","2029","2711"
"109","2076","2776"
"110","2105","2819"
"111","2176","2919"
"112","2152","2891"
"113","2018","2700"
"114","2170","2909"
"115","2269","3045"
"116","2267","3050"
"117","2366","3175"
"118","2348","3161"
"119","2338","3147"
"120","2180","2938"
"121","2091","2827"
"122","1942","2624"
"123","1884","2541"
"124","1849","2489"
"125","2283","3072"
"126","2250","3024"
"127","2308","3107"
"128","2035","2750"
"129","1825","2457"
"130","1996","2695"
"131","1964","2651"
"132","1848","2491"
"133","1757","2366"
"134","1869","2516"
"135","1869","2517"
"136","1830","2463"
"137","2047","2769"
"138","2155","2899"
"139","1975","2673"
"140","1665","2245"
"141","1972","2672"
"142","1983","2688"
"143","1689","2274"
"144","1579","2128"
"145","1599","2157"
"146","1740","2344"
"147","1710","2306"
"148","1681","2267"
"149","2043","2753"
"150","2171","2910"
"151","2146","2879"
"152","2088","2808"
"153","1957","2654"
"154","1901","2573"
"155","1817","2444"
"156","1958","2644"
"157","1883","2549"
"158","1819","2476"
"159","1856","2519"
"160","1835","2487"
"161","1750","2377"
"162","1728","2347"
"163","1734","2356"
"164","2339","3093"
"165","2342","3083"
"166","2577","3389"
"167","2595","3415"
"168","2542","3339"
"169","2055","2707"
"170","2342","3086"
"171","2241","2947"
"172","2268","2987"
"173","1870","2492"
"174","1847","2479"
"175","1781","2380"
"176","1726","2311"
"177","1733","2324"
"178","1711","2299"
"179","1561","2090"
"180","1489","1994"
"181","1513","2032"
"182","1378","1851"
"183","1356","1809"
