"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"834","2653","3673"
"835","2619","3621"
"836","2695","3721"
"837","2445","3379"
"838","2578","3560"
"839","2409","3332"
"840","2383","3300"
"841","2441","3373"
"842","2358","3268"
"843","2329","3233"
"844","2314","3213"
"845","2320","3218"
"846","2377","3310"
"847","2414","3363"
"848","2272","3159"
"849","2244","3121"
"850","2695","3721"
"851","2795","3864"
"852","2657","3672"
"853","2774","3835"
"854","2642","3656"
"855","2707","3749"
"856","2605","3611"
"857","2193","3037"
"858","2058","2862"
"859","1990","2770"
"860","2053","2855"
"861","1869","2594"
"862","1820","2522"
"863","1881","2605"
"864","2597","3615"
"865","2587","3593"
"866","2548","3530"
"867","2506","3471"
"868","2487","3449"
"869","1791","2465"
"870","1828","2520"
"871","1792","2463"
"872","1814","2497"
"873","1766","2433"
"874","1726","2372"
"875","1778","2448"
"876","1756","2417"
"877","1738","2391"
"878","1686","2309"
"879","2522","3481"
"880","1561","2141"
"881","1639","2246"
"882","1716","2356"
"883","1732","2379"
"884","1712","2356"
"885","1703","2345"
"886","1674","2291"
"887","1728","2368"
"888","1783","2453"
"889","2246","3110"
"890","2312","3207"
"891","2491","3436"
"892","2351","3255"
"893","2203","3050"
"894","2229","3086"
"895","2171","3012"
"896","2383","3302"
"897","2309","3196"
"898","2281","3160"
"899","2270","3145"
"900","2249","3113"
"901","2077","2879"
"902","1940","2690"
"903","2481","3438"
"904","2503","3468"
"905","2525","3499"
"906","2263","3138"
"907","2202","3045"
"908","2144","2978"
"909","2176","3010"
"910","2111","2930"
"911","2098","2909"
"912","2099","2912"
"913","2374","3299"
"914","2037","2830"
"915","2069","2870"
"916","2065","2864"
"917","1948","2702"
"918","1945","2709"
"919","1883","2616"
"920","1847","2572"
"921","2487","3446"
"922","1928","2683"
"923","1910","2657"
"924","2318","3213"
"925","1690","2347"
"926","1545","2111"
"927","1602","2183"
"928","1594","2211"
"929","1472","2014"
"930","1583","2166"
"931","1621","2220"
"932","1656","2273"
"933","1584","2173"
"934","2384","3298"
"935","2419","3357"
"936","2433","3376"
"937","1506","2075"
"938","1481","2039"
"939","1447","1991"
"940","1422","1955"
"941","1421","1952"
