"ID","WALKING_DURATION_342","WALKING_DISTANCE_342"
"1","1592","2184"
"2","1435","1983"
"3","1213","1664"
"4","1296","1779"
"5","1198","1646"
"6","1211","1665"
"7","1231","1695"
"8","1297","1797"
"9","1133","1556"
"10","1219","1684"
"11","1310","1803"
"12","1039","1423"
"13","1138","1558"
"14","1369","1890"
"15","1328","1833"
"16","1305","1802"
"17","1193","1645"
"18","1151","1587"
"19","1107","1524"
"20","1107","1524"
"21","1189","1634"
"22","1157","1584"
"23","1124","1538"
"24","1159","1588"
"25","1147","1578"
"26","1219","1675"
"27","1460","2015"
"28","1388","1905"
"29","1352","1856"
"30","1337","1840"
"31","1436","1983"
"32","1415","1939"
"33","1349","1856"
"34","1332","1841"
"35","1299","1796"
"36","1361","1887"
"37","1517","2081"
"38","1516","2093"
"39","1363","1874"
"40","1363","1869"
"41","1296","1779"
"42","1295","1779"
"43","1259","1728"
"44","1559","2136"
"45","1246","1712"
"46","1250","1714"
"47","1214","1664"
"48","1198","1643"
"49","1402","1924"
"50","1333","1827"
"51","1375","1885"
"52","1295","1776"
"53","1302","1786"
"54","1298","1780"
"55","1371","1878"
"56","1315","1806"
"57","1299","1785"
"58","1246","1715"
"59","1295","1784"
"60","1219","1676"
"61","1477","2038"
"62","1004","1365"
"63","757","1016"
"64","711","945"
"65","671","895"
"66","674","896"
"67","521","671"
"68","634","833"
"69","553","740"
"70","454","597"
"71","611","816"
"72","778","1053"
"73","778","1053"
"74","778","1053"
"75","716","967"
"76","765","1046"
"77","826","1132"
"78","858","1179"
"79","791","1072"
"80","807","1092"
"81","862","1165"
"82","878","1187"
"83","594","798"
"84","537","702"
"85","588","767"
"86","510","677"
"87","496","659"
"88","429","548"
"89","476","613"
"90","500","641"
"91","582","755"
"92","371","486"
"93","371","486"
"94","345","455"
"95","208","255"
"96","334","422"
"97","416","543"
"98","358","460"
"99","278","347"
"100","222","278"
"101","186","231"
"102","408","538"
"103","408","538"
"104","408","538"
"105","408","538"
"106","408","538"
"107","219","274"
"108","390","525"
"109","427","577"
"110","457","621"
"111","157","196"
"112","320","424"
"113","431","587"
"114","599","806"
"115","491","656"
"116","365","486"
"117","428","571"
"118","385","512"
