"ID","WALKING_DURATION_1","WALKING_DISTANCE_1","WALKING_DURATION_2","WALKING_DISTANCE_2","WALKING_DURATION_3","WALKING_DISTANCE_3","WALKING_DURATION_4","WALKING_DISTANCE_4","WALKING_DURATION_5","WALKING_DISTANCE_5"
"266","1982","2672","1688","2286","1424","1940","1603","2197","1386","1864"
"268","2001","2698","1707","2312","1442","1966","1622","2223","1404","1890"
"270","2016","2719","1722","2333","1457","1987","1637","2244","1419","1911"
"272","1801","2422","1503","2028","1239","1683","1418","1940","1201","1607"
"273","1803","2424","1507","2033","1242","1688","1422","1944","1204","1612"
"274","1909","2569","1617","2184","1352","1839","1532","2095","1314","1762"
"275","1925","2592","1632","2206","1367","1860","1547","2117","1329","1784"
"302","1927","2594","1635","2209","1371","1864","1550","2120","1332","1787"
"303","1943","2617","1651","2231","1386","1886","1566","2142","1348","1810"
"304","1902","2560","1610","2174","1345","1828","1525","2085","1307","1752"
"305","1922","2588","1630","2202","1365","1856","1545","2113","1327","1780"
"306","1997","2692","1704","2306","1440","1961","1619","2217","1402","1885"
"307","1967","2650","1713","2315","1449","1970","1628","2226","1411","1894"
"308","1985","2675","1711","2311","1446","1966","1626","2222","1408","1890"
"309","2005","2701","1692","2285","1428","1940","1607","2196","1390","1864"
"321","1402","1901","848","1143","473","644","160","218","1235","1652"
"322","1364","1847","834","1123","435","590","196","268","1227","1638"
"323","1319","1785","790","1061","391","527","188","254","1182","1576"
"324","1451","1969","899","1213","522","712","211","288","1286","1722"
"325","1514","2056","960","1297","583","795","272","373","1347","1807"
"326","1395","1902","801","1091","534","739","244","348","1152","1564"
"327","1442","1960","848","1149","563","776","178","251","1226","1660"
"328","1285","1751","692","941","422","586","175","254","1041","1412"
"329","1385","1879","792","1068","507","695","122","170","1175","1572"
"330","1429","1940","836","1129","550","756","166","231","1219","1633"
"331","1286","1743","692","932","387","528","49","71","1081","1443"
"332","1342","1825","773","1041","404","555","67","96","1168","1562"
"333","1311","1784","781","1060","386","532","88","126","1177","1580"
"334","1283","1743","753","1019","354","485","123","173","1146","1534"
"335","1388","1884","794","1073","509","700","124","174","1178","1577"
"336","1388","1884","794","1073","509","700","124","174","1178","1577"
"337","1477","2011","883","1200","584","805","203","286","1268","1704"
"340","1636","2208","1232","1660","1053","1402","844","1168","1698","2256"
"381","1351","1826","932","1260","533","726","368","508","1324","1775"
"382","1361","1810","925","1247","525","713","370","508","1317","1762"
"383","1386","1847","924","1251","524","715","321","441","1315","1763"
"384","1397","1859","938","1269","537","732","335","459","1329","1781"
"385","1448","1962","919","1239","518","702","308","420","1310","1750"
"386","1422","1927","893","1203","492","666","289","392","1284","1715"
"387","1405","1902","876","1178","468","632","228","307","1259","1681"
"388","1448","1962","919","1239","518","702","308","420","1310","1750"
"389","1208","1604","816","1102","416","568","446","617","1208","1616"
"390","1212","1631","838","1131","439","597","422","581","1231","1645"
"391","1235","1662","854","1151","454","617","400","550","1246","1666"
"392","1239","1642","827","1114","428","580","373","513","1220","1629"
"393","1315","1747","878","1185","479","651","387","533","1270","1699"
"394","1327","1762","890","1200","491","666","399","549","1283","1715"
"398","1199","1640","1271","1754","1206","1655","1534","2120","549","777"
"552","1107","1512","1179","1627","1114","1527","1442","1992","457","649"
"553","680","901","832","1132","1077","1464","1406","1929","627","866"
"554","729","963","796","1077","1051","1422","1380","1887","607","834"
"555","685","904","833","1129","1088","1474","1417","1939","666","916"
"556","731","1003","981","1356","1282","1766","1611","2231","865","1210"
"557","604","806","783","1069","1084","1479","1413","1944","664","923"
"558","548","734","722","995","1029","1411","1392","1929","712","995"
"559","281","392","773","1075","1040","1433","1413","1961","929","1274"
"560","618","835","708","968","1015","1384","1348","1854","811","1124"
"561","473","672","1092","1527","1359","1884","1732","2412","1437","2000"
"562","376","541","996","1396","1263","1753","1636","2281","1405","1958"
"563","513","730","1132","1585","1399","1943","1772","2471","1441","2010"
"564","306","450","926","1306","1193","1663","1566","2191","1382","1924"
"565","317","470","936","1325","1203","1682","1576","2210","1392","1944"
"566","290","433","909","1288","1177","1646","1549","2174","1366","1907"
"567","289","432","909","1287","1176","1645","1549","2173","1365","1906"
"568","1","2","669","927","937","1284","1309","1812","1151","1560"
"569","345","504","964","1359","1232","1716","1604","2244","1421","1978"
"570","433","622","1052","1477","1319","1834","1692","2363","1508","2096"
"571","50","75","720","1003","987","1360","1360","1888","1190","1644"
"572","799","1081","1021","1408","1322","1817","1651","2282","905","1261"
"573","951","1278","1173","1605","1475","2015","1803","2480","1058","1459"
"574","937","1270","1010","1384","1032","1407","1361","1872","412","582"
"575","709","951","931","1278","1233","1687","1561","2152","816","1132"
"576","782","1064","909","1249","1000","1382","1329","1847","464","665"
"577","659","886","882","1213","1183","1623","1512","2088","766","1067"
"578","659","886","882","1213","1183","1623","1512","2088","766","1067"
"579","824","1102","1046","1430","1348","1839","1676","2304","931","1283"
"580","824","1102","1046","1430","1348","1839","1676","2304","931","1283"
"581","824","1102","1046","1430","1348","1839","1676","2304","931","1283"
"582","709","941","833","1131","1049","1424","1378","1889","599","826"
"583","692","935","915","1262","1216","1672","1545","2137","799","1116"
"607","1398","1913","804","1102","538","751","270","391","1155","1576"
"608","1581","2156","987","1345","720","993","364","511","1338","1818"
"764","590","839","1210","1694","1477","2052","1850","2580","1666","2313"
"765","541","774","1161","1629","1428","1987","1801","2515","1617","2248"
"766","448","645","1067","1500","1334","1858","1707","2386","1523","2119"
"767","561","801","1180","1656","1448","2013","1820","2542","1637","2275"
"938","780","1043","805","1090","972","1322","1301","1787","551","764"
"939","771","1024","710","964","965","1308","1294","1773","544","749"
"940","792","1067","845","1150","987","1351","1316","1816","522","732"
"941","746","987","757","1023","1012","1368","1341","1833","591","809"
"942","852","1148","764","1036","906","1237","1235","1702","441","618"
"943","746","987","757","1023","1012","1368","1341","1833","591","809"
"944","863","1175","741","1013","821","1124","1149","1589","389","550"
"945","771","1024","710","964","965","1308","1294","1773","544","749"
"946","771","1024","710","964","965","1308","1294","1773","544","749"
"1022","1066","1431","815","1086","691","918","949","1306","216","291"
"1023","952","1276","701","931","577","763","905","1228","209","285"
"1024","1069","1434","818","1089","694","921","930","1274","213","286"
"1025","1064","1424","814","1079","689","911","1018","1376","175","231"
"1026","1008","1364","754","1007","629","840","887","1226","270","371"
"1027","1014","1364","768","1021","643","854","972","1319","211","287"
"1028","952","1276","701","931","577","764","905","1229","209","285"
"1029","1042","1422","657","900","454","638","729","1027","647","858"
"1030","983","1338","598","816","395","554","670","942","588","773"
"1031","844","1166","530","736","449","624","778","1090","436","573"
"1032","935","1269","509","692","307","430","610","861","540","705"
"1033","836","1151","471","650","434","599","763","1065","463","599"
"1034","1293","1766","1085","1480","961","1313","1257","1749","281","404"
"1035","969","1317","431","584","228","322","532","752","574","753"
"1036","979","1329","479","648","276","386","533","751","584","765"
"1037","1040","1431","447","620","404","550","737","1019","921","1232"
"1038","979","1334","385","524","223","313","527","743","589","770"
"1039","1001","1358","408","547","205","285","457","643","660","868"
"1040","1027","1393","441","595","228","316","468","658","632","829"
"1041","1002","1377","408","566","366","496","698","966","883","1178"
"1042","955","1294","362","484","159","222","464","653","691","912"
"1043","948","1303","354","492","312","422","644","892","829","1104"
"1044","938","1274","330","442","64","92","460","649","722","956"
"1045","893","1224","300","413","250","335","583","805","767","1017"
"1046","1001","1357","473","637","98","135","460","648","864","1148"
"1047","855","1171","261","360","211","282","544","752","728","964"
"1048","1211","1645","979","1327","855","1159","1183","1624","175","250"
"1049","1082","1450","554","730","179","228","541","741","944","1241"
"1050","846","1165","253","354","209","284","542","754","726","966"
"1051","1114","1459","689","893","348","456","504","680","1087","1408"
"1052","846","1165","253","354","209","284","542","754","726","966"
"1053","846","1165","253","354","209","284","542","754","726","966"
"1054","846","1165","253","354","209","284","542","754","726","966"
"1055","1086","1465","682","917","503","659","684","946","1148","1513"
"1056","819","1128","355","498","118","157","503","702","758","1011"
"1057","757","1044","294","414","179","242","564","786","819","1096"
"1058","1165","1576","760","1029","582","771","762","1057","1227","1625"
"1059","863","1180","400","550","233","308","586","784","873","1162"
"1060","1231","1670","827","1123","648","865","829","1151","1293","1719"
"1061","886","1204","422","574","243","311","594","787","888","1165"
"1062","1290","1750","1039","1405","915","1238","1243","1703","235","329"
"1063","1297","1768","1077","1463","953","1295","1162","1610","277","391"
"1064","1266","1720","1016","1375","890","1230","1070","1486","184","268"
"1065","1314","1772","909","1224","731","966","911","1253","1376","1820"
"1066","956","1298","552","750","469","605","745","1020","1114","1459"
"1067","1089","1483","684","935","531","697","716","984","1176","1551"
"1068","1187","1612","937","1267","812","1099","1141","1564","132","190"
"1069","1144","1537","893","1192","769","1025","1045","1430","127","168"
"1070","1186","1607","936","1261","811","1094","1023","1412","91","130"
"1071","1128","1520","878","1174","753","1007","973","1338","130","176"
"1072","1115","1501","865","1156","740","989","970","1330","178","242"
"1073","1103","1484","853","1138","728","971","1057","1436","125","168"
"1091","455","628","276","388","584","805","916","1275","732","984"
