"ID","WALKING_DURATION_1","WALKING_DISTANCE_1","WALKING_DURATION_2","WALKING_DISTANCE_2","WALKING_DURATION_3","WALKING_DISTANCE_3","WALKING_DURATION_4","WALKING_DISTANCE_4","WALKING_DURATION_5","WALKING_DISTANCE_5"
"2418","1682","2275","1429","1918","1288","1748","1467","2005","1039","1404"
"2420","1694","2293","1441","1936","1300","1766","1479","2023","1051","1422"
"2421","1709","2312","1456","1955","1314","1786","1494","2042","1066","1442"
"2422","1604","2169","1350","1812","1209","1643","1388","1899","961","1299"
"2423","1616","2187","1363","1830","1222","1660","1401","1917","973","1316"
"2426","1780","2415","1526","2058","1374","1871","1553","2127","1137","1545"
"2428","2030","2753","1753","2383","1489","2037","1668","2294","1387","1882"
"2465","2007","2713","1729","2343","1465","1997","1644","2254","1363","1842"
"2473","1939","2643","1662","2272","1398","1927","1577","2184","1296","1772"
"2474","1924","2638","1646","2268","1382","1923","1561","2179","1281","1768"
"2475","1928","2646","1651","2276","1386","1930","1566","2187","1285","1775"
"2476","1998","2713","1721","2343","1457","1998","1636","2254","1355","1842"
"2477","1950","2668","1673","2298","1409","1953","1588","2210","1307","1798"
"2478","1949","2669","1672","2299","1408","1954","1587","2210","1306","1798"
"2479","1949","2669","1672","2299","1408","1954","1587","2210","1306","1798"
