"ID","WALKING_DURATION_341","WALKING_DISTANCE_341"
"1","1193","1654"
"2","1037","1453"
"3","814","1134"
"4","897","1249"
"5","800","1116"
"6","900","1255"
"7","920","1286"
"8","987","1387"
"9","822","1146"
"10","909","1274"
"11","1000","1394"
"12","729","1013"
"13","828","1148"
"14","970","1360"
"15","929","1303"
"16","906","1272"
"17","794","1115"
"18","752","1057"
"19","708","994"
"20","708","994"
"21","790","1104"
"22","847","1174"
"23","814","1128"
"24","778","1087"
"25","837","1168"
"26","909","1265"
"27","1062","1485"
"28","989","1375"
"29","953","1326"
"30","938","1310"
"31","1089","1524"
"32","1016","1409"
"33","1039","1447"
"34","1022","1432"
"35","989","1386"
"36","1051","1477"
"37","1119","1551"
"38","1118","1563"
"39","964","1344"
"40","965","1339"
"41","897","1249"
"42","896","1249"
"43","860","1198"
"44","1160","1606"
"45","848","1182"
"46","851","1184"
"47","904","1254"
"48","888","1233"
"49","1003","1394"
"50","934","1297"
"51","976","1355"
"52","896","1246"
"53","904","1256"
"54","900","1250"
"55","987","1370"
"56","998","1390"
"57","989","1375"
"58","936","1305"
"59","985","1374"
"60","909","1266"
"61","1078","1508"
"62","776","1073"
"63","517","708"
"64","490","658"
"65","563","763"
"66","516","695"
"67","488","645"
"68","477","634"
"69","675","929"
"70","576","785"
"71","724","985"
"72","910","1250"
"73","910","1250"
"74","910","1250"
"75","841","1154"
"76","898","1243"
"77","959","1330"
"78","990","1377"
"79","917","1260"
"80","933","1281"
"81","988","1354"
"82","1004","1375"
"83","104","140"
"84","225","291"
"85","283","363"
"86","125","164"
"87","77","99"
"88","310","402"
"89","308","398"
"90","467","613"
"91","361","468"
"92","219","296"
"93","219","296"
"94","239","325"
"95","391","529"
"96","383","509"
"97","538","731"
"98","440","593"
"99","312","412"
"100","397","538"
"101","387","527"
"102","600","822"
"103","600","822"
"104","600","822"
"105","600","822"
"106","600","822"
"107","360","486"
"108","592","824"
"109","628","874"
"110","656","916"
"111","410","564"
"112","525","726"
"113","637","889"
"114","380","527"
"115","292","406"
"116","280","388"
"117","179","246"
"118","228","314"
"119","195","268"
"120","337","474"
"121","483","686"
"122","606","858"
"123","625","889"
"124","736","1037"
"125","342","475"
"126","292","402"
"127","334","463"
"128","499","711"
"129","756","1064"
"130","536","763"
"131","571","812"
"132","662","931"
"133","771","1085"
"134","737","1033"
"135","738","1033"
"136","754","1060"
"137","454","651"
"138","371","520"
"139","828","1175"
"140","871","1229"
"141","862","1224"
"142","893","1268"
"143","819","1153"
"144","920","1299"
"145","915","1291"
"146","783","1103"
"147","812","1146"
"148","840","1186"
"149","469","659"
"150","435","597"
"151","454","628"
"152","477","663"
"153","744","1063"
"154","837","1192"
"155","720","1014"
"156","597","850"
"157","606","870"
"158","932","1332"
"159","876","1252"
"160","706","1013"
"161","955","1353"
"162","916","1300"
"163","922","1308"
"164","911","1232"
"165","1020","1375"
"166","1255","1680"
"167","1273","1706"
"168","1220","1630"
"169","863","1145"
"170","837","1131"
"171","1005","1351"
"172","1033","1391"
"173","776","1073"
"174","760","1062"
"175","851","1185"
"176","1090","1520"
"177","987","1380"
"178","933","1309"
"179","1222","1701"
"180","1152","1614"
"181","1095","1541"
"182","1154","1629"
"183","1186","1666"
"184","1165","1641"
"185","858","1161"
"186","1024","1415"
"187","908","1252"
"188","1232","1689"
"189","925","1267"
"190","1200","1646"
"191","1214","1664"
"192","1634","2271"
"193","1828","2549"
"194","1862","2578"
"195","1806","2518"
