"ID","WALKING_DURATION","WALKING_DISTANCE"
"333","2128","2839"
"334","1996","2662"
"335","1988","2650"
"336","1954","2608"
"337","1977","2645"
"338","2779","3660"
"339","2682","3517"
"340","1999","2656"
"341","1933","2565"
"342","2798","3687"
"343","2745","3602"
"344","1989","2631"
"345","1983","2622"
"346","1887","2512"
"347","1933","2554"
"348","1281","1748"
"349","1603","2149"
"350","1554","2064"
"351","1414","1896"
"352","1480","1978"
"353","1540","2049"
"354","1529","2032"
"355","1445","1925"
"356","1392","1855"
"357","1539","2060"
"358","1334","1805"
"359","679","914"
"360","818","1107"
"361","732","989"
"362","790","1064"
"363","465","639"
"364","227","304"
"365","308","406"
"366","396","516"
"367","396","516"
"368","386","504"
"369","457","600"
"370","121","164"
"371","210","287"
"372","391","519"
"373","427","585"
"374","557","734"
"375","402","514"
"376","616","813"
"377","681","900"
"378","188","241"
"379","313","427"
"380","191","248"
"381","1031","1394"
"382","455","610"
"383","360","472"
"384","492","640"
"385","415","537"
"386","404","522"
"387","551","721"
"388","623","821"
"389","564","742"
"390","541","713"
"391","661","882"
"392","732","982"
"393","821","1106"
"394","953","1285"
"395","854","1141"
"396","739","998"
"397","585","779"
"398","1164","1561"
"399","914","1229"
"400","948","1274"
"401","991","1331"
"402","1234","1661"
"403","1220","1638"
"404","1184","1589"
"405","1212","1631"
"406","1108","1481"
"407","1062","1415"
"408","904","1212"
"409","869","1165"
"410","1182","1596"
"411","1129","1517"
"412","1129","1517"
"413","1055","1415"
"414","1217","1630"
"415","1217","1633"
"416","1125","1512"
"417","990","1329"
"418","932","1260"
"419","1203","1615"
"420","991","1329"
"421","2089","2775"
"422","1869","2499"
"423","1842","2459"
"424","1748","2328"
"425","1848","2466"
"426","1582","2130"
"427","1351","1803"
"428","1372","1834"
"429","1295","1734"
"430","1341","1776"
"431","1167","1563"
"432","1378","1859"
"433","1424","1901"
"434","1188","1594"
"435","1233","1663"
"436","1442","1931"
"437","1472","1986"
"438","1351","1834"
"439","1068","1451"
"440","998","1349"
"441","931","1255"
"442","1004","1357"
"443","892","1204"
"444","1410","1913"
"445","1148","1569"
"446","1466","1986"
"447","1479","2003"
"448","1514","2050"
"449","1143","1553"
"450","1093","1483"
"451","991","1339"
"452","1476","1995"
"453","1403","1888"
"454","1432","1918"
"455","1575","2111"
"456","1545","2071"
"457","1511","2022"
"458","1497","2005"
"459","1676","2255"
"460","1316","1757"
"461","1246","1659"
"462","1207","1608"
"463","2191","2919"
"464","3448","4741"
"465","3282","4509"
"466","3293","4520"
"467","2048","2758"
"468","3120","4269"
"469","2003","2704"
"470","1992","2690"
"471","1984","2677"
"472","3133","4283"
"473","1895","2561"
"474","1946","2629"
"475","1919","2595"
"476","1853","2490"
"477","1911","2585"
"478","2767","3768"
"479","1805","2423"
"480","2728","3709"
"481","1780","2388"
"482","2694","3659"
"483","1745","2338"
"484","2657","3606"
"485","2540","3447"
"486","2510","3413"
"487","2401","3256"
"488","2401","3246"
"489","2405","3251"
"490","2386","3227"
"491","2372","3205"
"492","2320","3133"
"493","2317","3129"
"494","2291","3093"
"495","2283","3080"
"496","2291","3093"
"497","2117","2854"
"498","2117","2854"
"499","1922","2587"
"500","1895","2549"
"501","1864","2503"
"502","1841","2471"
"503","1808","2420"
"504","1806","2418"
"505","1759","2353"
"506","3439","4730"
"507","1788","2414"
"508","1840","2486"
"509","1777","2399"
"510","1692","2286"
"511","1465","1988"
"512","1717","2316"
"513","1740","2350"
"514","1764","2382"
"515","1727","2332"
"516","1415","1908"
"517","1415","1907"
"518","1375","1857"
"519","1296","1768"
"520","1587","2140"
"521","1618","2180"
"522","1554","2096"
"523","1644","2215"
"524","2580","3514"
"525","2398","3253"
"526","2464","3332"
"527","2465","3334"
"528","2474","3357"
"529","2474","3357"
"530","1776","2454"
"531","1860","2556"
"532","1961","2708"
"533","1755","2358"
"534","1798","2405"
"535","1304","1774"
"536","1235","1687"
"537","1230","1693"
"538","1146","1586"
"539","1223","1677"
"540","1272","1733"
"541","1317","1797"
"542","1395","1902"
"543","756","1029"
"544","932","1263"
"545","930","1253"
"546","885","1194"
"547","1679","2240"
"548","1522","2032"
"549","1503","2017"
"550","1660","2296"
"551","1765","2430"
"552","1723","2381"
"553","1340","1835"
"554","1517","2097"
"555","1515","2083"
"556","1585","2196"
"557","3574","4907"
"558","3541","4862"
"559","3414","4681"
"560","3389","4641"
"561","3327","4549"
"562","3280","4483"
"563","3189","4351"
"564","2894","3939"
"565","2951","4015"
"566","2619","3569"
"567","2507","3411"
"568","2528","3440"
"569","2494","3387"
"570","2438","3303"
"571","2494","3386"
"572","2469","3343"
"573","2431","3297"
"574","2434","3300"
"575","2494","3378"
"576","2494","3378"
"577","2188","2952"
"578","2428","3299"
"579","2272","3079"
"580","2389","3238"
"581","2158","2911"
"582","2329","3159"
"583","2363","3206"
"584","2257","3056"
"585","2257","3055"
"586","2097","2836"
"587","2079","2817"
"588","2046","2770"
"589","2059","2783"
"590","2033","2745"
"591","1979","2672"
"592","2038","2743"
"593","1880","2535"
"594","1862","2507"
"595","1864","2509"
"596","3727","5123"
"597","3930","5407"
"598","3639","4979"
"599","4487","6162"
"600","4304","5901"
"601","4195","5746"
"602","4372","5988"
"603","4403","6039"
"604","4436","6089"
"605","4496","6182"
"606","4366","5977"
"607","4385","6018"
"608","4353","5978"
"609","3893","5353"
"610","3821","5254"
"611","3838","5277"
"612","3930","5407"
"613","3971","5469"
"614","3935","5418"
"615","3956","5444"
"616","3900","5368"
"617","3921","5399"
"618","4004","5506"
"619","3835","5273"
"620","2816","3803"
"621","2816","3803"
"622","2793","3776"
"623","2760","3736"
"624","2756","3728"
"625","3112","4226"
"626","3124","4241"
"627","3051","4133"
"628","3377","4600"
"629","3363","4573"
"630","3256","4424"
"631","3052","4129"
"632","3005","4074"
"633","2952","4000"
"634","2850","3864"
"635","2705","3667"
"636","3321","4513"
"637","3371","4584"
"638","2630","3550"
"639","2451","3292"
"640","2469","3318"
"641","2476","3332"
"642","2396","3219"
"643","2414","3245"
"644","2330","3128"
"645","2385","3213"
"646","3234","4392"
"647","3330","4517"
"648","3202","4333"
"649","3134","4252"
"650","4285","5859"
"651","4261","5822"
"652","4206","5750"
"653","4204","5742"
"654","4213","5751"
"655","3932","5401"
"656","4311","5894"
"657","4268","5835"
"658","4310","5895"
"659","4198","5808"
"660","3745","5149"
"661","3858","5317"
"662","3903","5383"
"663","3904","5378"
"664","3815","5252"
"665","3901","5372"
"666","3768","5191"
"667","3807","5238"
"668","3706","5098"
"669","4008","5458"
"670","4018","5470"
"671","4005","5449"
"672","3965","5396"
"673","3910","5356"
"674","3769","5172"
"675","3765","5178"
"676","3906","5356"
"677","3669","5027"
"678","3870","5320"
"679","3812","5247"
"680","3547","4855"
"681","3756","5169"
"682","3765","5179"
"683","3335","4563"
"684","3289","4496"
"685","3644","5010"
"686","3276","4476"
"687","3259","4447"
"688","3221","4393"
"689","3188","4344"
"690","3537","4865"
"691","3256","4446"
"692","3215","4388"
"693","3509","4826"
"694","3533","4856"
"695","3516","4841"
"696","3549","4889"
"697","3581","4938"
"698","4167","5691"
"699","3065","4186"
"700","3010","4109"
"701","2974","4052"
"702","2888","3929"
"703","2935","4005"
"704","2892","3941"
"705","2876","3922"
"706","2866","3907"
"707","2814","3831"
"708","2831","3850"
"709","2806","3812"
"710","2831","3844"
"711","2802","3816"
"712","2755","3745"
"713","2743","3727"
"714","2692","3651"
"715","2702","3673"
"716","2636","3571"
"717","2628","3569"
"718","2570","3478"
"719","2915","3986"
"720","4120","5618"
"721","2867","3920"
"722","2816","3845"
"723","4199","5728"
"724","4082","5562"
"725","4275","5832"
"726","3934","5402"
"727","3847","5283"
"728","3754","5168"
"729","3702","5096"
"730","3666","5046"
"731","3629","5000"
"732","3802","5237"
"733","3972","5480"
"734","3936","5432"
"735","3658","5041"
"736","3721","5130"
"737","3623","4983"
"738","3717","5120"
"739","3736","5144"
"740","3658","5031"
"741","3880","5326"
"742","3995","5491"
"743","4004","5510"
"744","4035","5556"
"745","3844","5276"
"746","3950","5432"
"747","3839","5269"
"748","3951","5432"
"749","3979","5418"
"750","4082","5560"
"751","3944","5370"
"752","3891","5293"
"753","4088","5571"
"754","4004","5450"
"755","4060","5523"
"756","3810","5213"
"757","3817","5217"
"758","3636","4972"
"759","3602","4921"
"760","3689","5048"
"761","3687","5041"
"762","3593","4909"
"763","3639","4979"
"764","4176","5702"
"765","4004","5456"
"766","4082","5563"
"767","3865","5240"
"768","3901","5303"
"769","3806","5159"
"770","3561","4867"
"771","3503","4798"
"772","3661","4975"
"773","3627","4948"
"774","3596","4887"
"775","3518","4810"
"776","3299","4506"
"777","3453","4715"
"778","3159","4302"
"779","3131","4256"
"780","3318","4520"
"781","3275","4459"
"782","3095","4202"
"783","3087","4193"
"784","3170","4314"
"785","3133","4259"
"786","3101","4211"
"787","3314","4506"
"788","3005","4081"
"789","3219","4378"
"790","2948","3999"
"791","2844","3863"
"792","2897","3939"
"793","3083","4181"
"794","2767","3759"
"795","2801","3809"
"796","2841","3865"
"797","3045","4120"
"798","3001","4058"
"799","2923","3944"
"800","4019","5474"
"801","4045","5515"
"802","4002","5441"
"803","3032","4113"
"804","2989","4039"
"805","2899","3927"
"806","2829","3828"
"807","2807","3795"
"808","2590","3504"
"809","2591","3504"
"810","2594","3508"
"811","2825","3824"
"812","2814","3808"
"813","2760","3732"
"814","2750","3719"
"815","2679","3615"
"816","2657","3582"
"817","2546","3435"
"818","2501","3378"
"819","3981","5412"
"820","2408","3236"
"821","2414","3244"
"822","2410","3235"
"823","2395","3212"
"824","2351","3148"
"825","2333","3122"
"826","3948","5361"
"827","3849","5221"
"828","3704","5016"
"829","3806","5172"
"830","3761","5102"
"831","3806","5161"
"832","3660","4955"
"833","3617","4898"
"834","3761","5099"
"835","3728","5052"
"836","3829","5189"
"837","3555","4819"
"838","3687","4991"
"839","3518","4773"
"840","3492","4740"
"841","3550","4813"
"842","3467","4709"
"843","3438","4674"
"844","3423","4653"
"845","3406","4630"
"846","3486","4750"
"847","3524","4803"
"848","3381","4599"
"849","3354","4562"
"850","3829","5189"
"851","3929","5332"
"852","3791","5140"
"853","3908","5303"
"854","3776","5124"
"855","3842","5217"
"856","3744","5079"
"857","3308","4480"
"858","3173","4305"
"859","3076","4182"
"860","3152","4284"
"861","2968","4024"
"862","2923","3958"
"863","2967","4017"
"864","3731","5083"
"865","3721","5061"
"866","3682","4998"
"867","3640","4939"
"868","3621","4917"
"869","2879","3878"
"870","2916","3933"
"871","2880","3876"
"872","2898","3905"
"873","2851","3844"
"874","2810","3780"
"875","2862","3856"
"876","2845","3830"
"877","2822","3799"
"878","2774","3722"
"879","3608","4893"
"880","2651","3558"
"881","2502","3348"
"882","2544","3409"
"883","2560","3432"
"884","2606","3499"
"885","2615","3513"
"886","2503","3344"
"887","2481","3319"
"888","2541","3407"
"889","3332","4522"
"890","3398","4619"
"891","3577","4848"
"892","3464","4693"
"893","3289","4462"
"894","3344","4529"
"895","3257","4424"
"896","3496","4740"
"897","3423","4634"
"898","3395","4598"
"899","3383","4583"
"900","3364","4556"
"901","3209","4343"
"902","3055","4133"
"903","3597","4882"
"904","3618","4912"
"905","3641","4942"
"906","3378","4581"
"907","3317","4488"
"908","3349","4555"
"909","3290","4448"
"910","3316","4507"
"911","3302","4486"
"912","3303","4488"
"913","3548","4846"
"914","3153","4273"
"915","3184","4313"
"916","3180","4307"
"917","3064","4146"
"918","3148","4284"
"919","3087","4190"
"920","2962","4015"
"921","3602","4890"
"922","3104","4201"
"923","3054","4131"
"924","3492","4760"
"925","2844","3837"
"926","2631","3522"
"927","2690","3596"
"928","2797","3786"
"929","2562","3431"
"930","2339","3121"
"931","2300","3069"
"932","2260","3018"
"933","2224","2969"
"934","3499","4742"
"935","3560","4834"
"936","3567","4844"
"937","2668","3580"
"938","2636","3559"
"939","2609","3495"
"940","2578","3476"
"941","2576","3473"
"942","2240","2988"
"943","2098","2780"
"944","2183","2907"
"945","2182","2906"
"946","2193","2925"
"947","2287","3065"
"948","2288","3067"
"949","3487","4738"
"950","3407","4636"
"951","2081","2760"
"952","2081","2759"
"953","2076","2762"
"954","2109","2809"
"955","2202","2943"
"956","2202","2943"
"957","3524","4786"
"958","3434","4668"
"959","3430","4657"
"960","3167","4305"
"961","3095","4202"
"962","3096","4210"
"963","3345","4580"
