"ID","WALKING_DURATION_876","WALKING_DISTANCE_876"
"1","3301","4461"
"2","3228","4379"
"3","3457","4687"
"4","3612","4892"
"5","3539","4790"
"6","3851","5229"
"7","3877","5269"
"8","3996","5449"
"9","3832","5208"
"10","3918","5336"
"11","3904","5303"
"12","3719","5046"
"13","3756","5095"
"14","3131","4244"
"15","3172","4301"
"16","3252","4411"
"17","3309","4489"
"18","3345","4541"
"19","3397","4611"
"20","3397","4611"
"21","3540","4800"
"22","3674","4981"
"23","3691","5004"
"24","3537","4791"
"25","3846","5230"
"26","3919","5317"
"27","3509","4760"
"28","3562","4822"
"29","3598","4871"
"30","3644","4940"
"31","3799","5162"
"32","3718","5037"
"33","3814","5178"
"34","3896","5303"
"35","3947","5371"
"36","4009","5462"
"37","3404","4604"
"38","3454","4682"
"39","3303","4477"
"40","3350","4526"
"41","3389","4592"
"42","3445","4671"
"43","3484","4725"
"44","3362","4544"
"45","3588","4857"
"46","3621","4913"
"47","3731","5061"
"48","3765","5109"
"49","3531","4778"
"50","3462","4681"
"51","3504","4740"
"52","3520","4763"
"53","3612","4891"
"54","3614","4894"
"55","3702","5014"
"56","3713","5034"
"57","3727","5054"
"58","3776","5125"
"59","3775","5124"
"60","3804","5163"
"61","3219","4356"
"62","3785","5135"
"63","2719","3650"
"64","2776","3718"
"65","2684","3603"
"66","2734","3669"
"67","2842","3803"
"68","2787","3731"
"69","2590","3476"
"70","2690","3609"
"71","2636","3536"
"72","2618","3515"
"73","2618","3515"
"74","2618","3515"
"75","2493","3344"
"76","2382","3201"
"77","2515","3387"
"78","2547","3434"
"79","2476","3321"
"80","2492","3342"
"81","2500","3350"
"82","2485","3329"
"83","2980","4018"
"84","3040","4086"
"85","3091","4151"
"86","3073","4142"
"87","3083","4157"
"88","3049","4091"
"89","3003","4030"
"90","2878","3851"
"91","2904","3888"
"92","3095","4176"
"93","3095","4176"
"94","3154","4260"
"95","3043","4101"
"96","2872","3853"
"97","2730","3662"
"98","2780","3727"
"99","2964","3984"
"100","3008","4054"
"101","2950","3976"
"102","2751","3698"
"103","2751","3698"
"104","2751","3698"
"105","2751","3698"
"106","2751","3698"
"107","2905","3910"
"108","2652","3575"
"109","2615","3523"
"110","2556","3450"
"111","2891","3898"
"112","2822","3807"
"113","2685","3625"
"114","3389","4589"
"115","3301","4468"
"116","3278","4434"
"117","3188","4308"
"118","3237","4376"
"119","3204","4330"
"120","3329","4513"
"121","3312","4503"
"122","3412","4646"
"123","3289","4478"
"124","3379","4597"
"125","3340","4520"
"126","3172","4288"
"127","3332","4509"
"128","3232","4397"
"129","3601","4900"
"130","3272","4453"
"131","3301","4492"
"132","3446","4689"
"133","3533","4809"
"134","3568","4858"
"135","3569","4858"
"136","3606","4907"
"137","3163","4301"
"138","3188","4317"
"139","3158","4299"
"140","3493","4760"
"141","3191","4348"
"142","3216","4381"
"143","3311","4503"
"144","3329","4536"
"145","3427","4671"
"146","3459","4712"
"147","3488","4755"
"148","3509","4781"
"149","3159","4285"
"150","3021","4076"
"151","2996","4046"
"152","2963","4009"
"153","3074","4186"
"154","3134","4266"
"155","3363","4575"
"156","3074","4176"
"157","2999","4081"
"158","3029","4132"
"159","3089","4212"
"160","2951","4019"
"161","2959","4033"
"162","2921","3980"
"163","2927","3988"
"164","3920","5294"
"165","4029","5436"
"166","4264","5742"
"167","4282","5767"
"168","4229","5692"
"169","3873","5207"
"170","3846","5193"
"171","4014","5412"
"172","4042","5452"
"173","3785","5135"
"174","3695","5030"
"175","3860","5247"
"176","3766","5124"
"177","3663","4984"
"178","3609","4913"
"179","3817","5182"
"180","3559","4845"
"181","3502","4772"
"182","3561","4859"
"183","3435","4677"
"184","3414","4652"
"185","3869","5219"
"186","2271","3045"
"187","2321","3112"
"188","2218","2973"
"189","2391","3200"
"190","2186","2930"
"191","2200","2948"
"192","3092","4238"
"193","3573","4902"
"194","3324","4549"
"195","3635","5002"
"196","3347","4579"
"197","3712","5102"
"198","3793","5217"
"199","3405","4664"
"200","3806","5236"
"201","2830","3894"
"202","3490","4789"
"203","3871","5323"
"204","3522","4843"
"205","3649","5016"
"206","3754","5149"
"207","2880","3936"
"208","3435","4711"
"209","2941","4021"
"210","3422","4692"
"211","2977","4076"
"212","3467","4740"
"213","3499","4784"
"214","2642","3601"
"215","2740","3737"
"216","2777","3793"
"217","2821","3849"
"218","2859","3902"
"219","2592","3519"
"220","2823","3846"
"221","2902","3964"
"222","2653","3609"
"223","2619","3554"
"224","2547","3449"
"225","2603","3520"
"226","2942","4022"
"227","2719","3690"
"228","3034","4153"
"229","3085","4227"
"230","3131","4295"
"231","3181","4368"
"232","2720","3691"
"233","3109","4254"
"234","3091","4236"
"235","3205","4390"
"236","3053","4182"
"237","2799","3806"
"238","3215","4393"
"239","2799","3806"
"240","2717","3687"
"241","2662","3604"
"242","2700","3664"
"243","3343","4567"
"244","3158","4305"
"245","3354","4588"
"246","3391","4638"
"247","3460","4748"
"248","3439","4719"
"249","3094","4231"
"250","3093","4232"
"251","3382","4634"
"252","3243","4437"
"253","3134","4288"
"254","3158","4320"
"255","3079","4212"
"256","3498","4812"
"257","3367","4619"
"258","3493","4801"
"259","3489","4787"
"260","3602","4936"
"261","3674","5030"
"262","3676","5031"
"263","3676","5031"
"264","3709","5077"
"265","3867","5275"
"266","4134","5650"
"267","3647","4983"
"268","4198","5744"
"269","3406","4663"
"270","3695","5043"
"271","3670","5018"
"272","3774","5155"
"273","3433","4694"
"274","3829","5215"
"275","3844","5249"
"276","3517","4810"
"277","4184","5724"
"278","4213","5754"
"279","2395","3212"
"280","2407","3228"
"281","2465","3306"
"282","2478","3324"
"283","4286","5860"
"284","4336","5938"
"285","3895","5313"
"286","3805","5201"
"287","3975","5424"
"288","4113","5619"
"289","4192","5735"
"290","3133","4291"
"291","3159","4330"
"292","3319","4550"
"293","3240","4442"
"294","3205","4392"
"295","3226","4427"
"296","3145","4315"
"297","3247","4455"
"298","3293","4514"
"299","3327","4568"
"300","3331","4572"
"301","3358","4612"
"302","4055","5541"
"303","3989","5432"
"304","4012","5480"
"305","3997","5458"
"306","3874","5288"
"307","3972","5402"
"308","3754","5101"
"309","4010","5466"
"310","4137","5644"
"311","3902","5307"
"312","3867","5255"
"313","2669","3578"
"314","2715","3640"
"315","2755","3691"
"316","2881","3860"
"317","2803","3758"
"318","2821","3784"
"319","3040","4085"
"320","3028","4083"
"321","3037","4097"
"322","3121","4216"
"323","3184","4302"
"324","3336","4512"
"325","3387","4581"
"326","3448","4670"
"327","3456","4681"
"328","3463","4699"
"329","3424","4649"
"330","3855","5195"
"331","3425","4628"
"332","3518","4768"
"333","3536","4790"
"334","3580","4853"
"335","3589","4864"
"336","3617","4909"
"337","3548","4819"
"338","4449","6011"
"339","4353","5868"
"340","3592","4865"
"341","3693","5004"
"342","4468","6038"
"343","4416","5954"
"344","3689","4997"
"345","3696","5006"
"346","3690","5007"
"347","3741","5070"
"348","2730","3721"
"349","2305","3109"
"350","2288","3090"
"351","2465","3336"
"352","2618","3538"
"353","2602","3510"
"354","2558","3443"
"355","2364","3185"
"356","2439","3286"
"357","2374","3203"
"358","2482","3363"
"359","3457","4733"
"360","3595","4924"
