OBJECTID;ID;OPL_G;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
32501;32501;3437;37.684594;55.880974;1463;0.004219;37.683104;55.884922
32502;32502;6912;37.684307;55.880199;1003;0.004542;37.688807;55.879576
32503;32503;966;37.68515;55.883239;1463;0.002649;37.683104;55.884922
32504;32504;3567;37.683587;55.879433;1003;0.005221;37.688807;55.879576
32505;32505;975;37.684763;55.882742;1463;0.002739;37.683104;55.884922
32506;32506;6954;37.682851;55.878827;1003;0.006002;37.688807;55.879576
32507;32507;8605;37.682833;55.878037;829;0.005888;37.680577;55.872598
32508;32508;3194;37.681587;55.878456;829;0.005945;37.680577;55.872598
32509;32509;1488;37.680988;55.877954;829;0.005372;37.680577;55.872598
32510;32510;3502;37.685758;55.882484;1463;0.003603;37.683104;55.884922
32511;32511;3487;37.686909;55.883987;1463;0.003918;37.683104;55.884922
32512;32512;12374;37.686409;55.880621;1003;0.002615;37.688807;55.879576
32513;32513;5782;37.681901;55.877654;829;0.005227;37.680577;55.872598
32514;32514;3293;37.673206;55.73809;1688;0.00306;37.67257;55.735097
32515;32515;4849;37.673637;55.737804;1688;0.002909;37.67257;55.735097
32516;32516;4362;37.674225;55.73767;1688;0.003059;37.67257;55.735097
32517;32517;3995;37.673272;55.736979;1688;0.002009;37.67257;55.735097
32518;32518;10018;37.679386;55.735505;351;0.002199;37.677591;55.734235
32519;32519;7718;37.67842;55.735769;351;0.001743;37.677591;55.734235
32520;32520;4102;37.678342;55.735019;351;0.001086;37.677591;55.734235
32521;32521;8665;37.679959;55.734226;351;0.002368;37.677591;55.734235
32522;32522;4244;37.679463;55.73379;351;0.001924;37.677591;55.734235
32523;32523;2336;37.680905;55.728533;351;0.006594;37.677591;55.734235
32524;32524;1938;37.680504;55.729605;351;0.005469;37.677591;55.734235
32525;32525;5658;37.680055;55.732196;351;0.003197;37.677591;55.734235
32526;32526;4231;37.676819;55.735486;351;0.00147;37.677591;55.734235
32527;32527;978;37.675734;55.736958;351;0.003296;37.677591;55.734235
32528;32528;3349;37.675176;55.737278;1688;0.003398;37.67257;55.735097
32529;32529;1636;37.675752;55.736491;351;0.00291;37.677591;55.734235
32530;32530;65;37.581077;55.507283;719;0.004663;37.578833;55.503195
32531;32531;152;37.580709;55.507372;719;0.004579;37.578833;55.503195
32532;32532;116;37.580239;55.507072;719;0.004124;37.578833;55.503195
32533;32533;59;37.582113;55.507044;719;0.005057;37.578833;55.503195
32534;32534;110;37.582345;55.506601;719;0.004893;37.578833;55.503195
32535;32535;74;37.583135;55.506801;719;0.005614;37.578833;55.503195
32536;32536;43;37.580057;55.507522;719;0.004497;37.578833;55.503195
32537;32537;49;37.582641;55.506419;719;0.00499;37.578833;55.503195
32538;32538;56;37.580971;55.506931;719;0.004305;37.578833;55.503195
32539;32539;214;37.581613;55.506778;719;0.004536;37.578833;55.503195
32540;32540;56;37.581464;55.507216;719;0.004806;37.578833;55.503195
32541;32541;112;37.581756;55.507128;719;0.004901;37.578833;55.503195
32542;32542;77;37.581335;55.506837;719;0.004419;37.578833;55.503195
32543;32543;70;37.580368;55.507455;719;0.004528;37.578833;55.503195
32544;32544;404;37.579483;55.507284;719;0.00414;37.578833;55.503195
32545;32545;80;37.582566;55.506954;719;0.005298;37.578833;55.503195
32546;32546;61;37.581956;55.506702;719;0.004696;37.578833;55.503195
32547;32547;66;37.580612;55.506986;719;0.004188;37.578833;55.503195
32548;32548;42;37.514161;55.871192;1477;0.005341;37.514378;55.876529
32549;32549;6238;37.518574;55.873216;1820;0.001355;37.519174;55.874432
32550;32550;6149;37.519377;55.873268;1820;0.001181;37.519174;55.874432
32551;32551;5965;37.519791;55.872802;1820;0.001742;37.519174;55.874432
32552;32552;22459;37.523869;55.87449;1107;0.003195;37.520674;55.874507
32553;32553;5096;37.524367;55.875209;1107;0.00376;37.520674;55.874507
