"ID","WALKING_DURATION","WALKING_DISTANCE"
"1","817","1137"
"2","715","1007"
"3","944","1316"
"4","1102","1533"
"5","1029","1431"
"6","1341","1870"
"7","1367","1910"
"8","1452","2035"
"9","1288","1794"
"10","1374","1922"
"11","1394","1944"
"12","1189","1657"
"13","1234","1715"
"14","618","872"
"15","659","930"
"16","739","1040"
"17","796","1118"
"18","832","1169"
"19","884","1239"
"20","884","1239"
"21","1018","1420"
"22","1152","1601"
"23","1169","1624"
"24","1007","1402"
"25","1302","1816"
"26","1371","1910"
"27","1025","1435"
"28","1052","1463"
"29","1088","1511"
"30","1134","1581"
"31","1289","1802"
"32","1208","1677"
"33","1304","1819"
"34","1386","1944"
"35","1437","2012"
"36","1499","2103"
"37","920","1280"
"38","970","1357"
"39","790","1105"
"40","840","1167"
"41","876","1220"
"42","932","1299"
"43","971","1353"
"44","878","1219"
"45","1078","1497"
"46","1094","1522"
"47","1209","1681"
"48","1243","1728"
"49","1035","1437"
"50","952","1322"
"51","994","1381"
"52","1010","1404"
"53","1102","1531"
"54","1104","1534"
"55","1192","1654"
"56","1203","1674"
"57","1217","1695"
"58","1266","1765"
"59","1265","1765"
"60","1294","1804"
"61","709","997"
"62","1475","2046"
"63","449","617"
"64","506","685"
"65","545","746"
"66","547","745"
"67","717","968"
"68","597","806"
"69","653","902"
"70","796","1096"
"71","660","907"
"72","846","1172"
"73","846","1172"
"74","846","1172"
"75","777","1076"
"76","833","1165"
"77","894","1251"
"78","926","1298"
"79","853","1182"
"80","869","1202"
"81","860","1173"
"82","844","1153"
"83","710","985"
"84","779","1063"
"85","837","1136"
"86","797","1099"
"87","813","1124"
"88","803","1087"
"89","756","1023"
"90","753","1015"
"91","721","970"
"92","948","1309"
"93","948","1309"
"94","968","1337"
"95","1037","1428"
"96","892","1217"
"97","835","1147"
"98","840","1145"
"99","928","1267"
"100","1043","1437"
"101","1033","1426"
"102","882","1217"
"103","882","1217"
"104","882","1217"
"105","882","1217"
"106","882","1217"
"107","1006","1385"
"108","1110","1547"
"109","1071","1494"
"110","1039","1449"
"111","1056","1463"
"112","1171","1625"
"113","1218","1699"
"114","1119","1556"
"115","1041","1448"
"116","1009","1400"
"117","918","1275"
"118","967","1343"
"119","934","1297"
"120","1086","1516"
"121","1221","1715"
