"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"39735";"831";"1145"
"39736";"1304";"1640"
"39737";"856";"1178"
"39738";"865";"1191"
"39739";"2019";"2767"
"39740";"2088";"2865"
"39741";"2088";"2865"
"39742";"2088";"2865"
"39743";"1202";"1657"
"39744";"1169";"1613"
"39745";"1015";"1404"
"39746";"1030";"1429"
"39747";"1033";"1432"
"39748";"997";"1385"
"39749";"977";"1355"
"39750";"967";"1342"
"39751";"957";"1326"
"39752";"944";"1307"
"39753";"931";"1288"
"39754";"919";"1272"
"39755";"907";"1254"
"39756";"1139";"1574"
"39757";"895";"1236"
"39758";"824";"1135"
"39759";"801";"1104"
"39760";"1009";"1395"
"39761";"854";"1176"
"39762";"891";"1230"
"39763";"895";"1236"
"39764";"1031";"1425"
"39765";"1050";"1456"
"39766";"1145";"1582"
"39767";"1112";"1537"
"39768";"1115";"1543"
"39769";"1090";"1507"
"39770";"1040";"1442"
"39771";"1060";"1466"
"39772";"1025";"1423"
"39773";"1866";"2581"
"39774";"1892";"2619"
"39775";"1810";"2503"
"39776";"1849";"2552"
"39777";"1774";"2445"
"39778";"2034";"2812"
"39779";"2053";"2834"
"39780";"2014";"2786"
"39781";"2036";"2817"
"39782";"2057";"2845"
"39783";"2066";"2856"
"39784";"2073";"2866"
"39785";"2093";"2893"
"39786";"2096";"2894"
"39787";"2109";"2912"
"39788";"1949";"2699"
"39789";"1971";"2729"
"39790";"2135";"2946"
"39791";"2130";"2941"
"39792";"2103";"2903"
"39793";"2103";"2903"
"39794";"2085";"2879"
"39795";"2076";"2864"
"39796";"2103";"2895"
"39797";"2115";"2909"
"39798";"2107";"2901"
"39799";"2048";"2827"
"39800";"2030";"2802"
"39801";"1968";"2725"
"39802";"1927";"2662"
"39803";"1911";"2640"
"39804";"1870";"2584"
"39805";"1847";"2552"
"39806";"1866";"2572"
"39807";"1866";"2572"
"39808";"1866";"2572"
"39809";"1866";"2572"
"39810";"1866";"2572"
"39811";"1866";"2572"
"39812";"1892";"2614"
"39813";"1866";"2572"
"39814";"1866";"2572"
"39815";"2031";"2810"
"39816";"2011";"2784"
"39817";"1986";"2746"
"39818";"2000";"2761"
"39819";"2072";"2867"
"39820";"2117";"2923"
"39821";"2186";"3010"
"39822";"2134";"2942"
"39823";"2067";"2855"
"39824";"2028";"2807"
"39825";"2071";"2862"
"39826";"2144";"2955"
"39827";"2173";"2993"
"39828";"2218";"3051"
"39829";"438";"594"
"39830";"388";"527"
"39831";"329";"447"
"39832";"265";"363"
"39833";"0";"0"
"39834";"132";"185"
"39835";"106";"150"
"39836";"0";"0"
"39837";"2006";"2752"
"39838";"1866";"2581"
"39839";"82";"116"
"39840";"112";"152"
"39841";"39";"54"
"39842";"74";"100"
"39843";"108";"143"
"39844";"96";"131"
"39845";"69";"97"
"39846";"414";"562"
"39847";"418";"570"
"39848";"134";"189"
"39849";"105";"143"
"39850";"209";"264"
"39851";"165";"214"
"39852";"2000";"2727"
"39853";"933";"1284"
"39854";"933";"1284"
"39855";"2000";"2727"
"39856";"2000";"2727"
"39857";"2091";"2848"
"39858";"2064";"2806"
"39859";"2109";"2874"
"39860";"2075";"2824"
"39861";"2133";"2911"
"39862";"2094";"2853"
"39863";"2156";"2944"
"39864";"2110";"2876"
"39865";"2190";"3003"
"39866";"2156";"2944"
"39867";"1951";"2667"
"39868";"2170";"2977"
"39869";"2155";"2958"
"39870";"2170";"2965"
"39871";"2178";"2977"
"39872";"2182";"2983"
"39873";"2192";"2997"
"39874";"2197";"3004"
"39875";"2007";"2736"
"39876";"2188";"3000"
"39877";"2172";"2979"
"39878";"2157";"2960"
"39879";"2119";"2910"
"39880";"2015";"2745"
"39881";"2032";"2766"
"39882";"2042";"2781"
"39883";"2045";"2781"
"39884";"2068";"2816"
"39885";"2057";"2797"
"39886";"2000";"2727"
"39887";"2000";"2727"
"39888";"2000";"2727"
"39889";"1717";"2355"
"39890";"1717";"2355"
"39891";"933";"1284"
"39892";"935";"1323"
"39893";"970";"1371"
"39894";"813";"1161"
"39895";"861";"1223"
"39896";"845";"1205"
"39897";"828";"1180"
"39898";"813";"1141"
"39899";"227";"291"
"39900";"165";"219"
"39901";"157";"208"
"39902";"140";"193"
"39903";"1550";"2144"
"39904";"142";"194"
"39905";"219";"304"
"39906";"169";"230"
"39907";"112";"148"
"39908";"184";"251"
"39909";"86";"117"
"39910";"251";"348"
"39911";"224";"314"
"39912";"221";"307"
"39913";"183";"250"
"39914";"29";"40"
"39915";"28";"38"
"39916";"115";"152"
"39917";"117";"156"
"39918";"113";"147"
"39919";"150";"200"
"39920";"174";"234"
"39921";"168";"225"
"39922";"200";"270"
"39923";"873";"1212"
"39924";"649";"913"
"39925";"2";"3"
"39926";"62";"87"
"39927";"842";"1174"
"39928";"62";"87"
"39929";"133";"180"
"39930";"179";"250"
"39931";"223";"309"
"39932";"278";"380"
"39933";"132";"187"
"39934";"379";"506"
"39935";"379";"506"
"39936";"386";"516"
"39937";"402";"538"
"39938";"420";"562"
"39939";"420";"562"
"39940";"483";"661"
"39941";"463";"634"
"39942";"443";"607"
"39943";"430";"589"
"39944";"123";"164"
"39945";"420";"575"
"39946";"408";"559"
"39947";"396";"543"
"39948";"310";"430"
"39949";"323";"449"
"39950";"333";"462"
"39951";"316";"439"
"39952";"303";"421"
"39953";"266";"373"
"39954";"249";"349"
"39955";"265";"362"
"39956";"155";"204"
"39957";"211";"283"
"39958";"279";"389"
"39959";"274";"383"
"39960";"370";"508"
"39961";"308";"421"
"39962";"482";"660"
"39963";"456";"624"
"39964";"475";"650"
"39965";"211";"280"
"39966";"259";"343"
"39967";"308";"409"
"39968";"332";"442"
"39969";"356";"474"
"39970";"599";"844"
"39971";"510";"713"
"39972";"725";"1018"
"39973";"475";"667"
"39974";"396";"550"
"39975";"387";"541"
"39976";"651";"916"
"39977";"632";"852"
"39978";"654";"880"
"39979";"684";"921"
"39980";"233";"314"
"39981";"629";"890"
"39982";"617";"871"
"39983";"158";"220"
"39984";"221";"315"
"39985";"201";"289"
"39986";"157";"225"
"39987";"135";"181"
"39988";"50";"66"
"39989";"343";"471"
"39990";"189";"262"
"39991";"208";"283"
"39992";"122";"169"
"39993";"141";"201"
"39994";"210";"292"
"39995";"127";"171"
"39996";"203";"282"
"39997";"41";"60"
"39998";"344";"483"
"39999";"261";"368"
"40000";"267";"374"
"40001";"128";"187"
"40002";"40";"51"
"40003";"321";"448"
"40004";"297";"415"
"40005";"451";"625"
"40006";"0";"0"
"40007";"278";"383"
"40008";"254";"358"
"40009";"148";"200"
"40010";"149";"202"
"40011";"147";"209"
"40012";"291";"400"
"40013";"174";"249"
"40014";"218";"309"
"40015";"90";"123"
"40016";"54";"70"
"40017";"412";"579"
"40018";"275";"365"
"40019";"196";"266"
"40020";"281";"381"
"40021";"615";"861"
