"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"POINT_X";"POINT_Y";"ID";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
2614;"Москва, Профсоюзная ул, д.113, корп.2";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 113к2";37,521516;55,631097;16598;487;0,001821;37,523310;55,630780
2615;"Москва, Профсоюзная ул, д.113, корп.3";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 113к3";37,521578;55,630024;16599;1530;0,001244;37,522547;55,629243
2616;"Москва, Профсоюзная ул, д.115, корп.1";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 115к1";37,519431;55,630089;16600;1530;0,003229;37,522547;55,629243
2617;"Москва, Профсоюзная ул, д.115, корп.2";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 115к2";37,520257;55,629674;16601;1530;0,002329;37,522547;55,629243
2618;"Москва, Профсоюзная ул, д.119, корп.1";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 119к1";37,518541;55,629220;16602;1530;0,004005;37,522547;55,629243
2619;"Москва, Профсоюзная ул, д.119, корп.2";" ";" ";" ";"Россия, Москва, Профсоюзная улица, 119к2";37,519611;55,628997;16603;1530;0,002946;37,522547;55,629243
2620;"Москва, Каховка ул, д.18, корп.1";" ";" ";" ";"Россия, Москва, улица Каховка, 18к1";37,569647;55,657783;16604;1688;0,002354;37,569371;55,660122
2621;"Москва, Каховка ул, д.18, корп.3";" ";" ";" ";"Россия, Москва, улица Каховка, 18к3";37,570492;55,658468;16605;1688;0,001997;37,569371;55,660122
2622;"Москва, Каховка ул, д.18, корп.4";" ";" ";" ";"Россия, Москва, улица Каховка, 18к4";37,571533;55,658941;16606;1688;0,002463;37,569371;55,660122
2623;"Москва, Каховка ул, д.18, корп.5";" ";" ";" ";"Россия, Москва, улица Каховка, 18к5";37,570375;55,659028;16607;1688;0,001484;37,569371;55,660122
2624;"Москва, Каховка ул, д.22, корп.1";" ";" ";" ";"Россия, Москва, улица Каховка, 22к1";37,566063;55,658713;16608;2095;0,002317;37,566819;55,656522
