"ID","WALKING_DURATION","WALKING_DISTANCE"
"1","2688","3650"
"2","2531","3448"
"3","2309","3130"
"4","2392","3245"
"5","2294","3112"
"6","2517","3438"
"7","2536","3469"
"8","2603","3570"
"9","2439","3329"
"10","2525","3457"
"11","2616","3576"
"12","2345","3196"
"13","2444","3331"
"14","2465","3356"
"15","2424","3299"
"16","2401","3268"
"17","2289","3111"
"18","2247","3053"
"19","2203","2990"
"20","2203","2990"
"21","2285","3100"
"22","2419","3281"
"23","2436","3303"
"24","2273","3082"
"25","2453","3351"
"26","2525","3448"
"27","2556","3481"
"28","2484","3371"
"29","2448","3322"
"30","2433","3306"
"31","2584","3519"
"32","2511","3405"
"33","2607","3547"
"34","2638","3615"
"35","2605","3569"
"36","2667","3660"
"37","2613","3547"
"38","2612","3559"
"39","2459","3340"
"40","2459","3335"
"41","2392","3246"
"42","2391","3244"
"43","2355","3194"
"44","2655","3602"
"45","2342","3178"
"46","2346","3179"
"47","2476","3361"
"48","2510","3409"
"49","2498","3390"
"50","2429","3293"
"51","2471","3351"
"52","2391","3242"
"53","2398","3252"
"54","2394","3246"
"55","2482","3366"
"56","2493","3386"
"57","2507","3407"
"58","2556","3477"
"59","2555","3477"
"60","2525","3449"
"61","2573","3504"
"62","2028","2714"
"63","1853","2483"
"64","1807","2411"
"65","1765","2358"
"66","1767","2359"
"67","1615","2134"
"68","1728","2296"
"69","1629","2181"
"70","1530","2038"
"71","1687","2257"
"72","1700","2287"
"73","1700","2287"
"74","1700","2287"
"75","1555","2086"
"76","1451","1953"
"77","1584","2138"
"78","1616","2185"
"79","1545","2073"
"80","1561","2093"
"81","1616","2167"
"82","1632","2188"
"83","1692","2265"
"84","1633","2168"
"85","1684","2233"
"86","1668","2232"
"87","1654","2214"
"88","1525","2014"
"89","1572","2079"
"90","1594","2104"
"91","1678","2220"
"92","1567","2093"
"93","1567","2093"
"94","1626","2177"
"95","1515","2017"
"96","1428","1885"
"97","1465","1947"
"98","1452","1923"
"99","1436","1900"
"100","1480","1970"
"101","1422","1893"
"102","1410","1877"
"103","1410","1877"
"104","1410","1877"
"105","1410","1877"
"106","1410","1877"
"107","1377","1827"
"108","1164","1549"
"109","1211","1614"
"110","1240","1657"
"111","1363","1815"
"112","1294","1724"
"113","1153","1538"
"114","1889","2558"
"115","1789","2421"
"116","1767","2375"
"117","1830","2461"
"118","1787","2401"
"119","1777","2387"
"120","1688","2290"
"121","1671","2280"
"122","1771","2423"
"123","1648","2255"
"124","1738","2374"
"125","1790","2424"
"126","1644","2205"
"127","1821","2450"
"128","1591","2174"
"129","1957","2652"
"130","1631","2230"
"131","1660","2269"
"132","1805","2466"
"133","1889","2561"
"134","1927","2635"
"135","1928","2635"
"136","1962","2658"
"137","1522","2078"
"138","1631","2208"
"139","1517","2076"
"140","1797","2440"
"141","1550","2125"
"142","1581","2169"
"143","1667","2286"
"144","1711","2323"
"145","1731","2352"
"146","1818","2489"
"147","1842","2501"
"148","1813","2462"
"149","1518","2062"
"150","1493","1993"
"151","1468","1963"
"152","1435","1926"
"153","1433","1963"
"154","1490","2050"
"155","1722","2352"
"156","1433","1953"
"157","1358","1858"
"158","1385","1915"
"159","1445","1996"
"160","1310","1796"
"161","1315","1816"
"162","1277","1764"
"163","1283","1772"
"164","2497","3316"
"165","2500","3306"
"166","2735","3611"
"167","2753","3637"
"168","2700","3561"
"169","2214","2929"
"170","2451","3311"
"171","2399","3169"
"172","2427","3209"
"173","2028","2714"
"174","1979","2674"
"175","1940","2602"
"176","1884","2533"
"177","1892","2546"
"178","1843","2494"
"179","1719","2312"
"180","1648","2217"
"181","1671","2255"
"182","1536","2074"
"183","1483","2004"
"184","1462","1980"
"185","2474","3344"
"186","1702","2277"
"187","1752","2344"
"188","1644","2191"
"189","1661","2229"
"190","1612","2148"
"191","1626","2166"
"192","486","691"
"193","302","448"
"194","211","308"
"195","351","515"
"196","63","93"
"197","428","615"
"198","509","730"
"199","121","178"
"200","522","749"
"201","732","1045"
"202","206","303"
"203","587","836"
"204","281","413"
"205","368","531"
"206","493","691"
"207","592","822"
"208","225","339"
"209","536","745"
"210","212","320"
"211","470","667"
"212","257","368"
"213","289","412"
"214","800","1107"
"215","827","1148"
"216","715","990"
"217","666","918"
"218","619","852"
"219","754","1035"
"220","805","1108"
"221","411","570"
"222","680","927"
"223","760","1029"
"224","903","1221"
"225","866","1163"
"226","368","512"
"227","622","839"
"228","384","539"
"229","311","442"
"230","226","327"
"231","276","400"
"232","622","838"
"233","335","469"
"234","203","293"
"235","71","104"
"236","279","397"
"237","548","740"
"238","477","657"
"239","549","741"
"240","666","897"
"241","775","1040"
"242","690","930"
"243","576","791"
"244","629","848"
"245","587","811"
"246","541","747"
"247","375","532"
"248","359","511"
"249","595","825"
"250","512","710"
"251","513","717"
"252","580","804"
"253","672","933"
"254","709","983"
"255","786","1091"
"256","784","1106"
"257","773","1078"
"258","814","1143"
"259","906","1263"
"260","920","1273"
"261","692","954"
"262","646","892"
"263","646","892"
"264","612","845"
"265","951","1294"
"266","1128","1545"
"267","967","1329"
"268","1185","1632"
"269","730","1014"
"270","1020","1397"
"271","995","1372"
"272","960","1316"
"273","787","1089"
"274","774","1053"
"275","838","1142"
"276","867","1200"
"277","1027","1412"
"278","1003","1382"
"279","1723","2323"
"280","1712","2307"
"281","1655","2226"
"282","1642","2208"
"283","1228","1692"
"284","1300","1798"
"285","979","1332"
"286","1192","1641"
"287","1059","1443"
"288","1112","1521"
"289","1194","1641"
"290","1112","1547"
"291","1079","1504"
"292","725","1009"
"293","998","1392"
"294","1144","1594"
"295","958","1340"
"296","877","1228"
"297","1054","1473"
"298","1098","1531"
"299","907","1271"
"300","921","1290"
"301","953","1332"
"302","1049","1437"
"303","934","1271"
"304","979","1340"
"305","1057","1447"
"306","723","995"
"307","821","1110"
"308","699","939"
"309","859","1174"
"310","987","1354"
"311","847","1146"
"312","812","1094"
"313","1903","2552"
"314","1859","2489"
"315","1888","2523"
"316","1701","2257"
"317","1851","2473"
"318","1797","2395"
"319","1694","2252"
"320","1687","2258"
"321","1704","2288"
"322","1825","2457"
"323","1826","2456"
"324","1947","2635"
"325","1966","2659"
"326","1881","2547"
"327","1889","2558"
"328","1822","2476"
"329","1803","2455"
"330","2196","2917"
"331","2025","2738"
"332","1947","2639"
"333","2055","2785"
"334","2051","2785"
"335","2060","2796"
"336","2015","2740"
"337","1907","2596"
"338","2920","3881"
"339","2824","3738"
"340","2141","2877"
"341","2075","2786"
"342","2939","3908"
"343","2887","3823"
"344","2131","2852"
"345","2125","2843"
"346","2029","2733"
"347","2075","2775"
"348","979","1360"
"349","1159","1567"
"350","1116","1497"
"351","976","1329"
"352","1042","1411"
"353","1102","1483"
"354","1085","1450"
"355","1001","1344"
"356","948","1273"
"357","1095","1478"
"358","897","1238"
"359","700","971"
"360","839","1164"
"361","754","1045"
"362","811","1121"
"363","486","696"
"364","460","654"
"365","739","1030"
"366","827","1140"
"367","827","1140"
"368","817","1129"
"369","888","1225"
"370","552","789"
"371","641","912"
"372","579","802"
"373","347","501"
"374","578","791"
"375","641","871"
"376","638","870"
"377","702","957"
"378","618","866"
"379","369","531"
"380","622","873"
"381","1141","1573"
"382","572","800"
"383","791","1097"
"384","923","1265"
"385","845","1161"
"386","835","1146"
"387","981","1345"
"388","1054","1445"
"389","995","1366"
"390","972","1337"
"391","1092","1507"
"392","1163","1606"
"393","1251","1730"
"394","1063","1463"
"395","961","1318"
"396","842","1167"
"397","700","966"
"398","893","1212"
"399","643","880"
"400","676","925"
"401","719","982"
"402","790","1079"
"403","775","1056"
"404","739","1007"
"405","768","1049"
"406","664","899"
"407","618","834"
"408","633","863"
"409","598","816"
"410","967","1325"
"411","858","1168"
"412","892","1218"
"413","861","1175"
"414","882","1192"
"415","838","1134"
"416","845","1153"
"417","805","1099"
"418","821","1140"
"419","909","1234"
"420","720","979"
"421","1645","2193"
"422","1598","2150"
"423","1571","2110"
"424","1477","1979"
"425","1577","2117"
"426","1138","1548"
"427","907","1221"
"428","927","1252"
"429","850","1152"
"430","1069","1426"
"431","723","981"
"432","1121","1523"
"433","979","1319"
"434","744","1012"
"435","962","1314"
"436","1171","1582"
"437","1248","1693"
"438","1254","1732"
"439","958","1332"
"440","888","1230"
"441","822","1136"
"442","916","1271"
"443","824","1142"
"444","1313","1811"
"445","1061","1484"
"446","1369","1884"
"447","1381","1902"
"448","1410","1953"
"449","1251","1730"
"450","1201","1660"
"451","1099","1516"
"452","1552","2146"
"453","1545","2109"
"454","1574","2139"
"455","1717","2332"
"456","1687","2292"
"457","1652","2243"
"458","1639","2226"
"459","1567","2161"
"460","1458","1978"
"461","1387","1880"
"462","1349","1829"
"463","1920","2570"
"464","3011","4175"
"465","2845","3942"
"466","2855","3953"
"467","1611","2192"
"468","2683","3703"
"469","1542","2087"
"470","1531","2072"
"471","1522","2059"
"472","2696","3717"
"473","1433","1944"
"474","1485","2011"
"475","1458","1977"
"476","1416","1924"
"477","1450","1968"
"478","2330","3201"
"479","1368","1856"
"480","2291","3142"
"481","1343","1822"
"482","2257","3093"
"483","1308","1772"
"484","2220","3040"
"485","2103","2881"
"486","2073","2846"
"487","1964","2690"
"488","1964","2680"
"489","1968","2684"
"490","1949","2661"
"491","1935","2638"
"492","1883","2567"
"493","1879","2562"
"494","1854","2527"
"495","1845","2514"
"496","1854","2527"
"497","1679","2288"
"498","1679","2288"
"499","1485","2021"
"500","1458","1982"
"501","1426","1936"
"502","1404","1904"
"503","1370","1854"
"504","1369","1852"
"505","1322","1786"
"506","3002","4164"
"507","1327","1797"
"508","1379","1868"
"509","1316","1781"
"510","1230","1669"
"511","1163","1599"
"512","1255","1699"
"513","1279","1733"
"514","1303","1764"
"515","1266","1714"
"516","1113","1519"
"517","1113","1519"
"518","1073","1468"
"519","994","1379"
"520","1117","1517"
"521","1149","1557"
"522","1085","1474"
"523","1174","1593"
"524","2143","2948"
"525","1961","2686"
"526","2027","2766"
"527","2028","2768"
"528","2036","2790"
"529","2036","2790"
"530","1474","2065"
"531","1558","2167"
"532","1659","2320"
"533","1311","1776"
"534","1361","1839"
"535","1002","1386"
"536","932","1298"
"537","927","1305"
"538","844","1198"
"539","953","1335"
"540","1003","1396"
"541","1047","1460"
"542","1126","1565"
"543","778","1086"
"544","953","1320"
"545","952","1310"
"546","907","1251"
"547","1242","1674"
"548","1085","1465"
"549","1066","1451"
"550","1358","1907"
"551","1463","2041"
"552","1421","1992"
"553","1038","1446"
"554","1215","1709"
"555","1213","1694"
"556","1282","1807"
"557","3130","4325"
"558","3097","4280"
"559","2969","4099"
"560","2945","4059"
"561","2882","3967"
"562","2836","3901"
"563","2744","3770"
"564","2456","3373"
"565","2514","3449"
"566","2181","3003"
"567","2070","2844"
"568","2083","2858"
"569","2057","2821"
"570","2001","2737"
"571","2056","2820"
"572","2032","2777"
"573","1987","2715"
"574","1990","2718"
"575","2050","2796"
"576","2050","2796"
"577","1751","2386"
"578","1984","2717"
"579","1835","2513"
"580","1944","2656"
"581","1721","2345"
"582","1885","2577"
"583","1919","2624"
"584","1813","2474"
"585","1813","2473"
"586","1653","2254"
"587","1635","2235"
"588","1602","2188"
"589","1615","2201"
"590","1589","2164"
"591","1535","2090"
"592","1594","2161"
"593","1435","1954"
"594","1418","1925"
"595","1419","1927"
"596","3283","4541"
"597","3486","4825"
"598","3194","4397"
"599","4043","5580"
"600","3860","5319"
"601","3750","5164"
"602","3928","5406"
"603","3959","5457"
"604","3992","5507"
"605","4052","5600"
"606","3922","5395"
"607","3940","5436"
"608","3909","5396"
"609","3449","4771"
"610","3376","4672"
"611","3393","4695"
"612","3486","4825"
"613","3527","4888"
"614","3491","4836"
"615","3511","4862"
"616","3456","4786"
"617","3477","4817"
"618","3560","4924"
"619","3390","4691"
"620","2492","3371"
"621","2492","3371"
"622","2469","3344"
"623","2488","3386"
"624","2485","3379"
"625","2828","3844"
"626","2840","3858"
"627","2779","3784"
"628","3106","4251"
"629","3091","4223"
"630","2985","4075"
"631","2780","3779"
"632","2733","3724"
"633","2680","3650"
"634","2579","3515"
"635","2434","3318"
"636","3049","4164"
"637","3100","4235"
"638","2358","3200"
"639","2180","2943"
"640","2198","2968"
"641","2205","2982"
"642","2125","2869"
"643","2143","2896"
"644","2058","2779"
"645","2113","2864"
"646","2962","4043"
"647","3059","4167"
"648","2930","3984"
"649","2863","3903"
"650","3841","5277"
"651","3817","5240"
"652","3762","5168"
"653","3760","5160"
"654","3768","5169"
"655","3488","4819"
"656","3866","5312"
"657","3824","5253"
"658","3865","5313"
"659","3754","5227"
"660","3301","4567"
"661","3414","4735"
"662","3458","4801"
"663","3459","4796"
"664","3370","4670"
"665","3457","4790"
"666","3324","4609"
"667","3363","4656"
"668","3262","4516"
"669","3564","4876"
"670","3574","4888"
"671","3560","4867"
"672","3521","4814"
"673","3465","4775"
"674","3325","4591"
"675","3321","4596"
"676","3462","4774"
"677","3225","4445"
"678","3426","4738"
"679","3368","4665"
"680","3103","4273"
"681","3312","4587"
"682","3321","4597"
"683","2891","3981"
"684","2845","3914"
"685","3200","4428"
"686","2832","3895"
"687","2815","3865"
"688","2777","3811"
"689","2744","3763"
"690","3093","4283"
"691","2812","3864"
"692","2771","3806"
"693","3065","4244"
"694","3088","4274"
"695","3072","4259"
"696","3104","4307"
"697","3137","4356"
"698","3722","5109"
"699","2621","3604"
"700","2565","3527"
"701","2530","3471"
"702","2444","3347"
"703","2490","3423"
"704","2448","3359"
"705","2431","3341"
