OBJECTID;ADDRESS;settlement;street;building_n;geocoded;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
4900;Москва, Станиславского ул, д.22, стр.1; ; ; ;Россия, Москва, улица Станиславского, 22с1;12355;37.666593;55.746308;1529;0.002976;37.664809;55.743927
4901;Москва, Станиславского ул, д.22, стр.2; ; ; ;Россия, Москва, улица Станиславского, 22с2;12356;37.666889;55.746339;1529;0.003186;37.664809;55.743927
4902;Москва, Станиславского ул, д.25, стр.1; ; ; ;Россия, Москва, улица Станиславского, 25с1;12357;37.664374;55.746151;1529;0.002266;37.664809;55.743927
4903;Москва, Станиславского ул, д.25, стр.2; ; ; ;Россия, Москва, улица Станиславского, 25с2;12358;37.664787;55.746242;1529;0.002316;37.664809;55.743927
4904;Москва, Станиславского ул, д.25, стр.3; ; ; ;Россия, Москва, улица Станиславского, 25с3;12359;37.664688;55.746375;1529;0.00245;37.664809;55.743927
4905;Москва, Станиславского ул, д.29, стр.1; ; ; ;Россия, Москва, улица Станиславского, 29с1;12360;37.665794;55.746536;1529;0.002789;37.664809;55.743927
4906;Москва, Станиславского ул, д.29, стр.3; ; ; ;Россия, Москва, улица Станиславского, 29с3;12361;37.665505;55.746536;1529;0.002701;37.664809;55.743927
4907;Москва, Станиславского ул, д.3/9; ; ; ;Россия, Москва, улица Станиславского, 3/9;12362;37.659515;55.744232;2105;0.003194;37.656554;55.743033
4908;Москва, Станиславского ул, д.4, стр.1; ; ; ;Россия, Москва, улица Станиславского, 4с1;12363;37.661203;55.744119;1529;0.00361;37.664809;55.743927
4909;Москва, Станиславского ул, д.4, стр.2; ; ; ;Россия, Москва, улица Станиславского, 4с2;12364;37.660726;55.743927;1529;0.004082;37.664809;55.743927
4910;Москва, Станиславского ул, д.6, стр.1; ; ; ;Россия, Москва, улица Станиславского, 6с1;12365;37.661724;55.744617;1529;0.00316;37.664809;55.743927
4911;Москва, Станиславского ул, д.6, стр.2; ; ; ;Россия, Москва, улица Станиславского, 6с2;12366;37.661464;55.744424;1529;0.003381;37.664809;55.743927
4912;Москва, Станиславского ул, д.8; ; ; ;Россия, Москва, улица Станиславского, 8;12367;37.662299;55.744935;1529;0.002705;37.664809;55.743927
4913;Москва, Станиславского ул, д.8А; ; ; ;Россия, Москва, улица Станиславского, 8а;12368;37.662334;55.744693;1529;0.002589;37.664809;55.743927
4914;Москва, Таганская ул, д.1, стр.1; ; ; ;Россия, Москва, Таганская улица, 1с1;12369;37.655893;55.741783;2105;0.001412;37.656554;55.743033
4915;Москва, Таганская ул, д.15, стр.2; ; ; ;Россия, Москва, Таганская улица, 15с2;12370;37.661949;55.740522;1529;0.004446;37.664809;55.743927
4916;Москва, Таганская ул, д.2; ; ; ;Россия, Москва, Таганская улица, 2;12371;37.657627;55.740749;2105;0.002523;37.656554;55.743033
4917;Москва, Таганская ул, д.20/4, стр.1; ; ; ;Россия, Москва, Таганская улица, 20а;12372;37.660322;55.740188;2105;0.004722;37.656554;55.743033
4918;Москва, Таганская ул, д.22; ; ; ;Россия, Москва, Таганская улица, 22;12373;37.660888;55.740045;2105;0.005264;37.656554;55.743033
4919;Москва, Таганская ул, д.24, стр.1; ; ; ;Россия, Москва, Таганская улица, 24с1;12374;37.66176;55.740031;1529;0.004947;37.664809;55.743927
4920;Москва, Таганская ул, д.24, стр.4; ; ; ;Россия, Москва, Таганская улица, 24с4;12375;37.66122;55.739275;1529;0.005874;37.664809;55.743927
4921;Москва, Таганская ул, д.24, стр.5; ; ; ;Россия, Москва, Таганская улица, 24с5;12376;37.661446;55.739791;1529;0.005329;37.664809;55.743927
4922;Москва, Таганская ул, д.25; ; ; ;Россия, Москва, Таганская улица, 25;12377;37.665317;55.74002;1964;0.003081;37.66816;55.74121
4923;Москва, Таганская ул, д.26, стр.1; ; ; ;Россия, Москва, Таганская улица, 26с1;12378;37.663251;55.739316;1529;0.004866;37.664809;55.743927
4924;Москва, Таганская ул, д.27; ; ; ;Россия, Москва, Таганская улица, 27;12379;37.666459;55.739928;1964;0.002129;37.66816;55.74121
4925;Москва, Таганская ул, д.29; ; ; ;Россия, Москва, Таганская улица, 29;12380;37.667582;55.739858;1964;0.00147;37.66816;55.74121
4926;Москва, Таганская ул, д.30/2; ; ; ;Россия, Москва, Таганская улица, 30/2;12381;37.663997;55.7389;1964;0.00476;37.66816;55.74121
4927;Москва, Таганская ул, д.30/2, стр.3; ; ; ;Россия, Москва, Таганская улица, 30/2с3;12382;37.664203;55.739224;1964;0.004426;37.66816;55.74121
4928;Москва, Таганская ул, д.31/22; ; ; ;Россия, Москва, Таганская улица, 31/22;12383;37.670446;55.739553;1964;0.002823;37.66816;55.74121
