"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3538;"Москва, Большой Спасоглинищевский пер, д.8";" ";" ";" ";"Россия, Москва, Большой Спасоглинищевский переулок, 8";10993;37,635026;55,755975;328;0,004330;37,637364;55,752330
3539;"Москва, Большой Трёхсвятительский пер, д.1";" ";" ";" ";"Россия, Москва, Большой Трехсвятительский переулок, 1";10994;37,645320;55,755327;1511;0,000764;37,646009;55,754994
3540;"Москва, Верхняя Сыромятническая ул, д.2";" ";" ";" ";"Россия, Москва, Верхняя Сыромятническая улица, 2";10995;37,659353;55,754283;1574;0,003896;37,655479;55,753869
3541;"Москва, Воронцово Поле ул, д.11, стр.1";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 11с1";10996;37,653773;55,754242;1574;0,001745;37,655479;55,753869
3542;"Москва, Воронцово Поле ул, д.11, стр.3";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 11с3";10997;37,653622;55,754522;1574;0,001968;37,655479;55,753869
3543;"Москва, Воронцово Поле ул, д.11/32, стр.2";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 11/32с2";10998;37,653972;55,754415;1574;0,001603;37,655479;55,753869
3544;"Москва, Воронцово Поле ул, д.13, стр.1";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 13с1";10999;37,654492;55,754603;1574;0,001229;37,655479;55,753869
3545;"Москва, Воронцово Поле ул, д.13, стр.2";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 13с2";11000;37,654736;55,754644;1574;0,001073;37,655479;55,753869
3546;"Москва, Воронцово Поле ул, д.16, стр.4";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 16с4";11001;37,654178;55,753651;1574;0,001318;37,655479;55,753869
3547;"Москва, Воронцово Поле ул, д.16, стр.5";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 16с5";11002;37,653918;55,753346;1574;0,001645;37,655479;55,753869
3548;"Москва, Воронцово Поле ул, д.18";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 18";11003;37,655589;55,754426;1574;0,000567;37,655479;55,753869
3549;"Москва, Воронцово Поле ул, д.3, стр.1";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с1";11004;37,649929;55,753305;2049;0,002398;37,650765;55,751058
3550;"Москва, Воронцово Поле ул, д.3, стр.10";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с10";11005;37,649588;55,753554;2049;0,002759;37,650765;55,751058
3551;"Москва, Воронцово Поле ул, д.3, стр.11";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с11";11006;37,650665;55,753453;2049;0,002397;37,650765;55,751058
3552;"Москва, Воронцово Поле ул, д.3, стр.12";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с12";11007;37,650764;55,753651;2049;0,002593;37,650765;55,751058
3553;"Москва, Воронцово Поле ул, д.3, стр.14";" ";" ";" ";"Россия, Москва, улица Воронцово Поле, 3с12";11008;37,650764;55,753651;2049;0,002593;37,650765;55,751058
