"ID","WALKING_DURATION_212","WALKING_DISTANCE_212"
"1","2324","3180"
"2","2150","2953"
"3","1928","2635"
"4","1980","2709"
"5","1878","2568"
"6","1669","2284"
"7","1647","2246"
"8","1711","2344"
"9","1547","2103"
"10","1634","2231"
"11","1768","2422"
"12","1498","2042"
"13","1597","2177"
"14","2084","2861"
"15","2043","2804"
"16","2020","2772"
"17","1908","2616"
"18","1866","2558"
"19","1822","2494"
"20","1822","2494"
"21","1768","2416"
"22","1616","2203"
"23","1583","2157"
"24","1618","2207"
"25","1562","2125"
"26","1284","1744"
"27","2185","3003"
"28","2103","2876"
"29","2067","2827"
"30","2024","2772"
"31","1895","2602"
"32","1897","2591"
"33","1807","2475"
"34","1791","2460"
"35","1729","2365"
"36","1651","2260"
"37","2246","3074"
"38","2241","3081"
"39","2078","2844"
"40","2095","2865"
"41","2011","2749"
"42","2010","2749"
"43","1974","2698"
"44","2288","3128"
"45","1831","2501"
"46","1811","2473"
"47","1673","2282"
"48","1657","2262"
"49","2131","2916"
"50","2062","2820"
"51","2104","2878"
"52","2024","2769"
"53","1930","2637"
"54","1929","2634"
"55","1830","2496"
"56","1773","2423"
"57","1758","2403"
"58","1705","2332"
"59","1754","2401"
"60","1678","2294"
"61","2192","3008"
"62","760","1003"
"63","1504","2033"
"64","1458","1962"
"65","1531","2067"
"66","1484","1999"
"67","1386","1846"
"68","1445","1938"
"69","1422","1921"
"70","1323","1777"
"71","1480","1997"
"72","1582","2139"
"73","1582","2139"
"74","1582","2139"
"75","1437","1937"
"76","1333","1804"
"77","1466","1990"
"78","1498","2036"
"79","1427","1924"
"80","1442","1945"
"81","1498","2018"
"82","1514","2039"
"83","1230","1664"
"84","1279","1712"
"85","1330","1777"
"86","1146","1543"
"87","1132","1525"
"88","1238","1651"
"89","1275","1701"
"90","1366","1816"
"91","1329","1771"
"92","995","1334"
"93","995","1334"
"94","969","1302"
"95","1006","1338"
"96","1200","1597"
"97","1285","1723"
"98","1227","1641"
"99","1115","1482"
"100","1040","1385"
"101","1055","1411"
"102","1277","1719"
"103","1277","1719"
"104","1277","1719"
"105","1277","1719"
"106","1277","1719"
"107","1088","1454"
"108","1040","1400"
"109","1087","1465"
"110","1116","1508"
"111","1026","1377"
"112","1121","1505"
"113","1007","1357"
"114","830","1107"
"115","928","1242"
"116","927","1248"
"117","1026","1373"
"118","1008","1359"
"119","998","1344"
"120","840","1136"
"121","751","1025"
"122","602","821"
"123","544","739"
"124","509","687"
"125","943","1270"
"126","910","1222"
"127","967","1305"
"128","695","948"
"129","485","655"
"130","656","893"
"131","623","848"
"132","508","689"
"133","417","564"
"134","529","714"
"135","529","715"
"136","490","661"
"137","772","1054"
"138","888","1194"
"139","635","871"
"140","325","443"
"141","632","870"
"142","643","886"
"143","349","472"
"144","239","326"
"145","259","355"
"146","400","542"
"147","370","504"
"148","341","465"
"149","856","1156"
"150","1021","1367"
"151","996","1337"
"152","938","1266"
"153","658","906"
"154","561","771"
"155","477","642"
"156","876","1194"
"157","801","1099"
"158","523","730"
"159","516","717"
"160","778","1073"
"161","597","829"
"162","681","945"
"163","687","953"
"164","1149","1520"
"165","1204","1570"
"166","1439","1875"
"167","1457","1901"
"168","1404","1825"
"169","946","1218"
"170","1075","1419"
"171","1103","1433"
"172","1130","1473"
"173","760","1003"
"174","507","677"
"175","672","891"
"176","528","707"
"177","425","568"
"178","371","497"
"179","521","696"
"180","262","350"
"181","206","277"
"182","265","364"
"183","92","119"
"184","73","98"
"185","1164","1558"
"186","1722","2339"
"187","1681","2280"
"188","1762","2383"
"189","1543","2080"
"190","1730","2340"
"191","1744","2358"
"192","1847","2523"
"193","1374","1882"
"194","1572","2140"
"195","1253","1714"
"196","1508","2038"
"197","1147","1562"
"198","1188","1621"
"199","1404","1901"
"200","1114","1519"
"201","2093","2876"
