"ID","WALKING_DURATION","WALKING_DISTANCE"
"318","1545","2060"
"319","1772","2372"
"320","1752","2359"
"321","1761","2374"
"322","1845","2492"
"323","1909","2579"
"324","2060","2788"
"325","2111","2857"
"326","2173","2946"
"327","2180","2957"
"328","2216","3013"
"329","2148","2926"
"330","2532","3403"
"331","2139","2889"
"332","2195","2976"
"333","2214","2998"
"334","2257","3061"
"335","2266","3073"
"336","2295","3118"
"337","2298","3126"
"338","2665","3577"
"339","2569","3434"
"340","2269","3074"
"341","2370","3212"
"342","2684","3604"
"343","2632","3519"
"344","2366","3206"
"345","2373","3215"
"346","2367","3215"
"347","2419","3279"
"348","2391","3247"
"349","1967","2635"
"350","1949","2616"
"351","2127","2862"
"352","2280","3064"
"353","2263","3036"
"354","2219","2969"
"355","2025","2711"
"356","2100","2812"
"357","2035","2729"
"358","2143","2889"
"359","3118","4259"
"360","3257","4450"
"361","3172","4334"
"362","3230","4409"
"363","3110","4266"
"364","3332","4552"
"365","3636","4965"
"366","3724","5075"
"367","3724","5075"
"368","3714","5063"
"369","3748","5106"
"370","3497","4801"
"371","3586","4924"
"372","3296","4490"
"373","3218","4400"
"374","3295","4479"
"375","3358","4559"
"376","3354","4558"
"377","3419","4645"
"378","3417","4664"
"379","3240","4429"
"380","3473","4743"
"381","3076","4198"
"382","3515","4811"
"383","3688","5031"
"384","3820","5202"
"385","3743","5096"
"386","3732","5081"
"387","3879","5280"
"388","3933","5355"
"389","3874","5276"
"390","3850","5246"
"391","3970","5415"
"392","4013","5489"
"393","4010","5485"
"394","3157","4308"
"395","3252","4433"
"396","3323","4545"
"397","3441","4701"
"398","2362","3192"
"399","2635","3586"
"400","2665","3628"
"401","2573","3496"
"402","2498","3390"
"403","2484","3367"
"404","2448","3318"
"405","2476","3359"
"406","2461","3333"
"407","2504","3392"
"408","2688","3658"
"409","2721","3706"
"410","2416","3279"
"411","2524","3422"
"412","2470","3349"
"413","2479","3363"
"414","2517","3403"
"415","2517","3406"
"416","2511","3407"
"417","2586","3512"
"418","2665","3634"
"419","2503","3388"
"420","2621","3562"
"421","1614","2165"
"422","1839","2465"
"423","1812","2425"
"424","1742","2327"
"425","1812","2428"
"426","2048","2753"
"427","2162","2908"
"428","2155","2896"
"429","2228","2999"
"430","2214","3014"
"431","2417","3273"
"432","2354","3178"
"433","2212","2974"
"434","2438","3305"
"435","2302","3116"
"436","2316","3162"
"437","2391","3271"
"438","2523","3452"
"439","2538","3458"
"440","2584","3517"
"441","2648","3603"
"442","2617","3563"
"443","2722","3712"
"444","2582","3532"
"445","2647","3616"
"446","2638","3605"
"447","2651","3622"
"448","2680","3674"
"449","2946","4021"
"450","2997","4091"
"451","3103","4235"
"452","2701","3703"
"453","2808","3852"
"454","2795","3835"
"455","2658","3642"
"456","2691","3690"
"457","2727","3738"
"458","2756","3779"
"459","2628","3603"
"460","2909","4000"
"461","2925","4005"
"462","2978","4077"
"463","1406","1867"
"464","2135","2922"
"465","1969","2690"
"466","1980","2701"
"467","1431","1917"
"468","1807","2451"
"469","1527","2050"
"470","1593","2141"
"471","1606","2158"
"472","1820","2465"
"473","1619","2184"
"474","1627","2192"
"475","1654","2233"
"476","1623","2184"
"477","1663","2245"
"478","1381","1851"
"479","1751","2362"
"480","1428","1909"
"481","1780","2402"
"482","1473","1969"
"483","1850","2496"
"484","1513","2023"
"485","1545","2070"
"486","1413","1896"
"487","1409","1885"
"488","1505","2002"
"489","1509","2007"
"490","1396","1854"
"491","1475","1961"
"492","1466","1961"
"493","1463","1957"
"494","1437","1922"
"495","1429","1909"
"496","1437","1922"
"497","1361","1820"
"498","1361","1820"
"499","1551","2087"
"500","1665","2243"
"501","1665","2243"
"502","1708","2298"
"503","1763","2371"
"504","1761","2369"
"505","1739","2339"
"506","2127","2912"
"507","1967","2666"
"508","2019","2738"
"509","1956","2651"
"510","1871","2538"
"511","2026","2765"
"512","1846","2501"
"513","1845","2500"
"514","1789","2424"
"515","1788","2421"
"516","2189","2982"
"517","2189","2982"
"518","2225","3036"
"519","2175","2985"
"520","2044","2779"
"521","2059","2795"
"522","1963","2667"
"523","2003","2719"
"524","1264","1697"
"525","1411","1889"
"526","1358","1809"
"527","1356","1807"
"528","1294","1725"
"529","1294","1725"
"530","2147","2957"
"531","2194","3012"
"532","2257","3114"
"533","1695","2279"
"534","1670","2241"
"535","2265","3099"
"536","2292","3143"
"537","2258","3111"
"538","2367","3270"
"539","2436","3353"
"540","2503","3443"
"541","2548","3506"
"542","2626","3611"
"543","2905","3973"
"544","2936","4004"
"545","2967","4038"
"546","3062","4171"
"547","1883","2533"
"548","1935","2618"
"549","2004","2724"
"550","2248","3095"
"551","2239","3075"
"552","2206","3036"
"553","2270","3112"
"554","2337","3225"
"555","2335","3210"
"556","2292","3160"
"557","1903","2601"
"558","1870","2556"
"559","1743","2375"
"560","1719","2335"
"561","1656","2243"
"562","1610","2177"
"563","1518","2045"
"564","1330","1777"
"565","1387","1853"
"566","1303","1751"
"567","1248","1671"
"568","1242","1669"
"569","1313","1761"
"570","1380","1845"
"571","1314","1762"
"572","1349","1802"
"573","1243","1661"
"574","1246","1665"
"575","1306","1743"
"576","1306","1743"
"577","1332","1779"
"578","1240","1664"
"579","1192","1596"
"580","1288","1723"
"581","1299","1735"
"582","1228","1644"
"583","1440","1936"
"584","1334","1787"
"585","1334","1786"
"586","1318","1759"
"587","1475","1979"
"588","1482","1989"
"589","1425","1902"
"590","1460","1952"
"591","1480","1981"
"592","1500","2007"
"593","1578","2118"
"594","1588","2131"
"595","1587","2128"
"596","2057","2817"
"597","481","678"
"598","232","330"
"599","1029","1436"
"600","846","1175"
"601","736","1020"
"602","914","1262"
"603","945","1313"
"604","978","1363"
"605","1038","1456"
"606","908","1251"
"607","926","1291"
"608","895","1252"
"609","444","624"
"610","385","543"
"611","388","548"
"612","481","678"
"613","522","740"
"614","486","689"
"615","506","715"
"616","451","638"
"617","472","670"
"618","555","777"
"619","385","544"
"620","882","1154"
"621","882","1154"
"622","947","1253"
"623","918","1203"
"624","986","1294"
"625","1073","1430"
"626","1085","1444"
"627","1083","1437"
"628","1630","2198"
"629","1564","2113"
"630","1509","2022"
"631","1357","1814"
"632","1174","1567"
"633","1121","1493"
"634","1077","1437"
"635","943","1249"
"636","1521","2051"
"637","1470","1981"
"638","1059","1391"
"639","1122","1470"
"640","1099","1442"
"641","1124","1479"
"642","1174","1544"
"643","1151","1515"
"644","1235","1630"
"645","1204","1596"
"646","1486","1990"
"647","1605","2153"
"648","1410","1887"
"649","1348","1801"
"650","827","1133"
"651","803","1096"
"652","748","1024"
"653","746","1016"
"654","754","1025"
"655","483","672"
"656","914","1247"
"657","872","1188"
"658","851","1169"
"659","749","1079"
"660","296","420"
"661","409","588"
"662","453","654"
"663","454","649"
"664","365","522"
"665","452","643"
"666","346","498"
"667","358","509"
"668","284","405"
"669","624","845"
"670","607","819"
"671","603","797"
"672","584","770"
"673","460","627"
"674","379","533"
"675","316","448"
"676","457","627"
"677","230","326"
"678","421","590"
"679","363","518"
"680","68","100"
"681","307","440"
"682","316","450"
"683","263","360"
"684","314","427"
"685","222","317"
"686","329","446"
"687","259","343"
"688","299","395"
"689","338","446"
"690","270","386"
"691","441","595"
"692","389","524"
"693","271","388"
"694","337","477"
"695","355","509"
"696","387","556"
"697","420","605"
"698","821","1114"
"699","594","816"
"700","649","894"
"701","700","954"
"702","764","1045"
"703","721","995"
"704","777","1065"
"705","781","1077"
"706","800","1099"
"707","857","1173"
"708","932","1270"
"709","959","1305"
"710","985","1340"
"711","862","1184"
"712","942","1291"
"713","931","1273"
"714","992","1349"
"715","975","1334"
"716","1052","1431"
"717","1050","1438"
"718","1127","1533"
"719","884","1224"
"720","773","1040"
"721","872","1208"
"722","964","1332"
"723","802","1082"
"724","671","911"
"725","879","1185"
"726","734","1031"
"727","527","744"
"728","424","605"
"729","367","527"
"730","444","630"
"731","409","586"
"732","442","630"
"733","523","751"
"734","487","702"
"735","263","384"
"736","326","473"
"737","201","290"
"738","295","427"
"739","314","451"
"740","236","338"
"741","630","887"
"742","721","1017"
"743","684","971"
"744","729","1040"
"745","672","941"
"746","630","892"
"747","667","934"
"748","631","893"
"749","651","874"
"750","697","947"
"751","618","828"
"752","627","837"
"753","677","920"
"754","620","837"
"755","675","910"
"756","422","577"
"757","429","581"
"758","300","408"
"759","343","464"
"760","301","412"
"761","280","392"
"762","233","325"
"763","232","330"
"764","831","1125"
"765","651","882"
"766","710","966"
"767","739","982"
"768","702","928"
"769","674","889"
"770","356","484"
"771","288","402"
"772","553","736"
"773","428","573"
"774","437","583"
"775","318","435"
"776","99","131"
"777","270","375"
"778","246","324"
"779","281","366"
"780","231","312"
"781","221","296"
"782","361","473"
"783","327","428"
"784","235","307"
"785","278","362"
"786","347","454"
"787","288","379"
"788","406","540"
"789","221","299"
"790","576","779"
"791","637","862"
"792","673","915"
"793","348","456"
"794","710","967"
"795","742","1014"
"796","778","1066"
"797","451","591"
"798","451","590"
"799","528","695"
"800","820","1099"
"801","845","1140"
"802","799","1068"
"803","503","663"
"804","505","662"
"805","604","812"
"806","621","835"
"807","703","944"
"808","966","1307"
"809","1001","1358"
"810","1037","1408"
"811","706","958"
"812","720","975"
"813","775","1051"
"814","785","1064"
"815","820","1104"
"816","796","1069"
"817","1043","1411"
"818","1090","1481"
"819","827","1106"
"820","1119","1508"
"821","1104","1489"
"822","1049","1411"
"823","1070","1437"
"824","1117","1499"
"825","1137","1526"
"826","792","1053"
"827","757","1009"
"828","748","994"
"829","753","1005"
"830","732","976"
"831","697","924"
"832","734","975"
"833","708","935"
"834","685","906"
"835","643","840"
"836","913","1212"
"837","610","807"
"838","671","873"
"839","574","761"
"840","548","728"
"841","548","723"
"842","523","697"
"843","378","508"
"844","478","641"
"845","476","639"
"846","335","456"
"847","340","463"
"848","436","587"
"849","409","550"
"850","913","1212"
"851","917","1223"
"852","878","1167"
"853","839","1115"
"854","881","1176"
"855","790","1053"
"856","989","1332"
"857","612","812"
"858","558","746"
"859","445","600"
"860","401","535"
"861","587","790"
"862","641","861"
"863","471","625"
"864","1083","1468"
"865","1079","1461"
"866","1042","1400"
"867","1033","1388"
"868","1079","1452"
"869","561","738"
"870","560","739"
"871","655","857"
"872","543","718"
"873","608","800"
"874","698","923"
"875","594","783"
"876","622","815"
"877","635","839"
