OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
5005;Москва, 5-я Магистральная ул, д.14, стр.1;45169;37.527912;55.773782;31;0.004632;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5006;Москва, 5-я Магистральная ул, д.15;45170;37.527121;55.77483;31;0.003997;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5007;Москва, 5-я Магистральная ул, д.16;45171;37.529007;55.773712;31;0.004515;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5008;Москва, 5-я Магистральная ул, д.18;45172;37.528639;55.775149;31;0.003129;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5009;Москва, 5-я Магистральная ул, д.20;45173;37.529555;55.774937;31;0.003298;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5010;Москва, 5-я Магистральная ул, д.4;45174;37.524911;55.770365;31;0.008969;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5011;Москва, 5-я Магистральная ул, д.8;45175;37.525756;55.771716;31;0.007378;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5012;Москва, 5-я Магистральная ул, д.8А;45176;37.526949;55.771812;31;0.006804;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5013;Москва, Магистральный пер, д.5;45177;37.524291;55.773636;31;0.006746;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5014;Москва, Магистральный пер, д.5А;45178;37.524281;55.773145;31;0.007095;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5015;Москва, Магистральный пер, д.6, корп.11, стр.23;45179;37.52236;55.772744;31;0.008793;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5016;Москва, Магистральный пер, д.7, корп.1;45180;37.525081;55.773377;31;0.006383;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5017;Москва, Магистральный пер, д.7, корп.2;45181;37.525477;55.772886;31;0.006527;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5018;Москва, Поликарпова ул, д.11;45182;37.550647;55.776917;104;0.001247;37.551513;55.776018;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
