OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
3828;Москва, Солнечногорская ул, д.23, корп.2;43992;37.520195;55.862792;23;0.00461;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3829;Москва, Солнечногорская ул, д.24;43993;37.521992;55.862015;23;0.003007;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3830;Москва, Солнечногорская ул, д.24, корп.3;43994;37.522126;55.861045;23;0.002071;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3831;Москва, Солнечногорская ул, д.24, корп.3, стр.6;43995;37.522485;55.860792;23;0.001688;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3832;Москва, Солнечногорская ул, д.24А;43996;37.5227;55.862337;23;0.003141;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3833;Москва, Солнечногорская ул, д.2А, стр.1;43997;37.516701;55.856851;23;0.006837;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3834;Москва, Солнечногорская ул, д.3;43998;37.514383;55.857401;78;0.00633;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3835;Москва, Солнечногорская ул, д.5, корп.1;43999;37.515361;55.85776;78;0.006762;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3836;Москва, Солнечногорская ул, д.5, корп.2;44000;37.515361;55.85776;78;0.006762;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3837;Москва, Солнечногорская ул, д.6, корп.1;44001;37.515909;55.857507;78;0.007343;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3838;Москва, Солнечногорская ул, д.6, корп.2;44002;37.516286;55.857119;23;0.007143;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3839;Москва, Солнечногорская ул, д.7, корп.1;44003;37.51599;55.858665;78;0.006727;37.510283;55.862226;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3840;Москва, Солнечногорская ул, д.8;44004;37.517041;55.857665;23;0.006267;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3841;Москва, Солнечногорская ул, д.8, стр.Б/Н;44005;37.517895;55.857719;23;0.00543;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3842;Москва, Солнечногорская ул, д.8А;44006;37.517706;55.857426;23;0.005696;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3843;Москва, Солнечногорская ул, д.9/1, корп.1;44007;37.517033;55.859078;23;0.006081;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3844;Москва, Солнечногорская ул, д.9/1, корп.2;44008;37.517033;55.859078;23;0.006081;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3845;Москва, Солнечногорский проезд, д.11;44009;37.524722;55.86013;23;0.001846;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3846;Москва, Солнечногорский проезд, д.15;44010;37.525028;55.860619;23;0.002369;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3847;Москва, Солнечногорский проезд, д.17;44011;37.525028;55.860619;23;0.002369;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3848;Москва, Солнечногорский проезд, д.21;44012;37.524758;55.861428;23;0.00275;37.523113;55.859224;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
