"SCHOOL_ID","BUILDING_ID"
10001,24022
10001,24023
10001,24024
10001,24025
10001,24026
10001,24027
10001,24028
10001,24029
10001,24030
10001,24031
10001,24032
10001,24033
10001,24034
10001,24035
10001,24036
10001,24037
10001,24038
10001,24039
10001,24040
10001,24041
10001,24042
10001,24043
10001,24044
10001,24045
10001,24046
10001,24047
10001,24048
10001,24049
10002,34952
10002,34953
10002,34954
10002,34955
10002,34956
10002,34957
10002,34958
10002,34959
10002,34960
10002,34961
10002,34962
10002,34963
10002,34964
10002,34965
10002,34966
10002,34967
10002,34968
10002,34969
10002,34970
10002,34971
10002,34973
10002,34974
10002,34975
10002,34976
10002,34977
10002,34978
10002,34979
10002,34980
10002,34981
10002,34982
10002,34984
10002,34985
10002,34986
10002,34987
10002,34988
10002,34989
10002,34990
10002,34991
10002,34992
10002,34993
10002,34994
10002,34995
10002,34996
10002,34997
10002,34998
10002,34999
10002,35000
10002,35001
10002,35003
10002,35004
10002,35005
10002,35006
10002,35007
10002,35008
10002,35009
10002,35010
10002,35011
10002,35012
10002,35013
10002,35014
10002,35015
10002,35016
10002,35017
10002,35018
10002,35019
10002,35020
10002,35021
10002,35022
10002,35023
10002,35024
10002,35025
10002,35026
10002,35027
10002,35028
10002,35029
10002,35030
10002,35031
10002,35032
10002,35033
10002,35034
10002,35035
10002,35036
10002,35037
10002,35038
10002,35039
10002,35040
10002,35041
10002,35042
10002,35043
10002,35044
10002,35045
10002,35046
10002,35047
10002,35048
10002,35049
10002,35050
10002,35051
10002,35052
10002,35053
10002,35054
10002,35055
10002,35056
10002,35057
10002,35058
10002,35059
10002,35060
10002,35061
10002,35062
10002,35063
10002,35064
10002,35065
10002,35066
10002,35067
10002,35068
10002,35069
10002,35070
10002,35071
10002,35072
10002,35073
10002,35074
10002,35075
10002,35076
10002,35077
10002,35078
10002,35079
10002,35080
10002,35081
10002,35082
10002,35083
10002,35084
10002,35085
10002,35086
10002,35088
10002,35089
10002,35090
10002,35091
10002,35092
10002,35093
10002,35094
10002,35095
10002,35096
10002,35097
10002,35098
10002,35099
10002,35100
10002,35101
10002,35102
10002,35103
10002,35104
10002,35105
10002,35106
10002,35107
10002,35108
10002,35109
10002,35110
10002,35111
10002,35112
10002,35113
10002,35114
10002,35115
10002,35116
10002,35117
10002,35118
10002,35119
10002,35120
10002,35121
10002,35122
10002,35123
10002,35124
10002,35125
10002,35126
10002,35128
10002,35129
10002,35130
10002,35131
10003,43753
10003,43754
10003,43755
10003,43756
10003,43757
10003,43759
10003,43760
10003,43761
10003,43763
10003,43764
10003,43765
10003,43766
10003,43767
10003,43769
10003,43770
10003,43771
10003,43772
10003,43773
10003,43774
10003,43775
10003,43776
10003,43777
10003,43778
10003,43779
10003,43780
10003,43781
10003,43782
10003,43783
10003,43784
10003,43785
10003,43786
10003,43787
10003,43788
10003,43789
10003,43790
10003,43791
10003,43792
10003,43793
10003,43794
10003,43795
10003,43796
10003,43797
10003,43798
10003,43799
10003,43800
10003,43801
10003,43802
10003,43803
10003,43804
10003,43805
10003,43806
10003,43807
10003,43808
10003,43809
10003,43810
10003,43811
10003,43812
10003,43813
10003,43814
10003,43816
10003,43817
10003,43818
10003,43819
10003,43820
10003,43821
10003,43822
10003,43823
10003,43824
10003,43825
10003,43826
10003,43827
10003,43828
10003,43829
10003,43830
10003,43831
10003,43832
10003,43833
10003,43834
10003,43836
10003,43837
10003,43839
10003,43841
10003,43842
10003,43843
10003,43844
10003,43845
10003,43846
10003,43847
10003,43848
10003,43849
10003,43850
10003,43851
10003,43852
10003,43853
10003,43854
10003,43855
10003,43856
10003,43857
10003,43858
10003,43859
10003,43860
10003,43861
10003,43862
10003,43863
10003,43864
10003,43865
10003,43866
10003,43867
10003,43868
10003,43869
10003,43871
10003,43872
10003,43873
10003,43874
10003,43875
10003,43876
10003,43877
10003,43878
10003,43879
10003,43880
10003,43881
10003,43882
10003,43883
10003,43884
10003,43885
10003,43886
10003,43887
10003,43888
10003,43889
10003,43890
10003,43891
10003,43892
10003,43893
10003,43894
10003,43895
10003,43896
10003,43897
10003,43898
10003,43899
10003,43901
10003,43902
10003,43903
10003,43904
10003,43905
10003,43906
10003,43907
10003,43908
10003,43909
10003,43910
10003,43911
10003,43912
10003,43913
10003,43914
10003,43915
10003,43916
10003,43917
10003,43919
10003,43920
10003,43921
10003,43922
10003,43923
10003,43924
10003,43925
10003,43926
10003,43927
10003,43928
10003,43929
10003,43930
10003,43931
10003,43932
10003,43933
10003,43934
