"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"34750";"50";"71"
"34751";"141";"206"
"34752";"695";"954"
"34753";"71";"101"
"34754";"489";"673"
"34755";"160";"223"
"34756";"156";"221"
"34757";"155";"220"
"34758";"202";"281"
"34759";"248";"336"
"34760";"269";"355"
"34761";"696";"927"
"34762";"375";"523"
"34763";"477";"670"
"34764";"212";"300"
"34765";"117";"150"
"34766";"78";"110"
"34767";"159";"221"
"34768";"253";"356"
"34769";"131";"181"
"34770";"138";"175"
"34771";"55";"74"
"34772";"93";"134"
"34773";"96";"133"
"34774";"234";"324"
"34775";"297";"416"
"34776";"98";"137"
"34777";"129";"177"
"34778";"198";"276"
"34779";"379";"527"
"34780";"419";"580"
"34781";"318";"443"
"34782";"281";"390"
"34783";"221";"308"
"34784";"311";"412"
"34785";"453";"627"
"34786";"474";"664"
"34787";"508";"707"
"34788";"492";"685"
"34789";"470";"652"
"34790";"540";"757"
"34791";"540";"757"
"34792";"540";"757"
"34793";"540";"757"
"34794";"540";"757"
"34795";"540";"757"
"34796";"540";"757"
"34797";"369";"505"
"34798";"578";"781"
"34799";"632";"861"
"34800";"391";"511"
"34801";"291";"389"
"34802";"309";"407"
"34803";"298";"388"
"34804";"534";"670"
"34805";"1432";"1918"
"34806";"614";"784"
"34807";"257";"347"
"34808";"250";"336"
"34809";"234";"314"
"34810";"476";"661"
"34811";"246";"328"
"34812";"340";"468"
"34813";"212";"284"
"34814";"362";"501"
"34815";"238";"322"
"34816";"375";"522"
"34817";"293";"409"
"34818";"270";"371"
"34819";"747";"1012"
"34820";"663";"890"
"34821";"587";"787"
"34822";"657";"886"
"34823";"702";"952"
"34824";"593";"806"
"34825";"552";"751"
"34826";"584";"796"
"34827";"599";"831"
"34828";"565";"774"
"34829";"505";"692"
"34830";"451";"619"
"34831";"560";"754"
"34832";"601";"818"
"34833";"659";"903"
"34834";"412";"550"
"34835";"592";"813"
"34836";"520";"718"
"34837";"490";"671"
"34838";"375";"522"
"34839";"434";"594"
"34840";"309";"434"
"34841";"224";"313"
"34842";"223";"312"
"34843";"200";"280"
"34844";"207";"289"
"34845";"185";"258"
"34846";"188";"263"
"34847";"166";"232"
"34848";"166";"231"
"34849";"152";"211"
"34850";"144";"200"
"34851";"370";"515"
"34852";"366";"511"
"34853";"369";"516"
"34854";"242";"338"
"34855";"117";"162"
"34856";"273";"359"
"34857";"181";"251"
"34858";"276";"362"
"34859";"169";"234"
"34860";"121";"168"
"34861";"145";"201"
"34862";"2363";"3218"
"34863";"2371";"3228"
"34864";"2429";"3310"
"34865";"2458";"3349"
"34866";"2402";"3266"
"34867";"2279";"3098"
"34868";"2267";"3083"
"34869";"2340";"3190"
"34870";"2370";"3234"
"34871";"2312";"3148"
"34872";"2394";"3269"
"34873";"2373";"3240"
"34874";"2436";"3324"
"34875";"2338";"3186"
"34876";"2423";"3307"
"34877";"2402";"3276"
"34878";"398";"534"
"34879";"405";"543"
"34880";"390";"523"
"34881";"351";"491"
"34882";"335";"468"
"34883";"377";"526"
"34884";"356";"498"
"34885";"282";"393"
"34886";"325";"454"
"34887";"328";"458"
"34888";"346";"484"
"34889";"329";"450"
"34890";"314";"428"
"34891";"342";"470"
"34892";"341";"467"
"34893";"356";"490"
"34894";"341";"479"
"34895";"234";"333"
"34896";"231";"324"
"34897";"316";"442"
"34898";"298";"409"
"34899";"277";"394"
"34900";"153";"218"
"34901";"103";"147"
"34902";"86";"118"
"34903";"73";"97"
"34904";"134";"181"
"34905";"337";"467"
"34906";"363";"510"
"34907";"229";"314"
"34908";"121";"170"
"34909";"165";"231"
"34910";"53";"71"
"34911";"70";"96"
"34912";"154";"208"
"34913";"120";"161"
"34914";"126";"174"
"34915";"126";"174"
"34916";"207";"286"
"34917";"754";"988"
"34918";"875";"1152"
"34919";"503";"683"
"34920";"1474";"2049"
"34921";"915";"1276"
"34922";"2";"2"
"34923";"1";"1"
"34924";"155";"209"
"34925";"79";"105"
"34926";"100";"143"
"34927";"90";"130"
"34928";"78";"107"
"34929";"281";"354"
"34930";"180";"225"
"34931";"222";"290"
"34932";"190";"239"
"34933";"116";"151"
"34934";"143";"191"
"34935";"128";"167"
"34936";"114";"153"
"34937";"39";"52"
"34938";"1851";"2537"
"34939";"1435";"1960"
"34940";"1328";"1830"
"34941";"1300";"1797"
"34942";"1331";"1832"
"34943";"1249";"1720"
"34944";"1415";"1918"
"34945";"171";"222"
"34946";"187";"240"
"34947";"73";"95"
"34948";"130";"171"
"34949";"1910";"2614"
"34950";"1892";"2591"
"34951";"1564";"2154"
"34952";"1563";"2153"
"34953";"1539";"2119"
"34954";"1569";"2162"
"34955";"1429";"1959"
"34956";"1424";"1951"
"34957";"1448";"1986"
"34958";"1492";"2061"
"34959";"1494";"2064"
"34960";"188";"254"
"34961";"187";"254"
"34962";"139";"187"
"34963";"152";"205"
"34964";"126";"174"
"34965";"100";"138"
"34966";"5";"7"
"34967";"126";"174"
"34968";"269";"376"
"34969";"240";"339"
"34970";"218";"308"
"34971";"191";"271"
"34972";"260";"367"
"34973";"271";"382"
"34974";"76";"100"
"34975";"2046";"2807"
"34976";"2121";"2922"
"34977";"566";"764"
"34978";"1929";"2636"
"34979";"1928";"2638"
"34980";"530";"687"
"34981";"1924";"2633"
"34982";"1923";"2631"
"34983";"1644";"2250"
"34984";"1926";"2631"
"34985";"3879";"5213"
"34986";"7175";"9761"
"34987";"7536";"10252"
"34988";"7454";"10163"
"34989";"3986";"5372"
"34990";"3904";"5250"
"34991";"3904";"5250"
"34992";"4309";"5823"
"34993";"4313";"5828"
"34994";"4308";"5822"
"34995";"4287";"5794"
"34996";"3904";"5250"
"34997";"7160";"9736"
"34998";"3904";"5250"
"34999";"523";"715"
"35000";"668";"907"
"35001";"496";"630"
"35002";"513";"664"
"35003";"430";"551"
"35004";"364";"539"
"35005";"364";"539"
"35006";"378";"558"
"35007";"351";"517"
"35008";"345";"502"
"35009";"345";"502"
"35010";"237";"347"
"35011";"237";"347"
"35012";"201";"291"
"35013";"194";"281"
"35014";"204";"295"
"35015";"353";"425"
"35016";"341";"486"
"35017";"341";"486"
"35018";"540";"752"
"35019";"540";"752"
"35020";"510";"708"
"35021";"485";"677"
"35022";"542";"747"
"35023";"594";"815"
"35024";"482";"668"
"35025";"141";"207"
"35026";"7";"11"
"35027";"7";"11"
"35028";"7";"11"
"35029";"7";"11"
"35030";"7";"11"
"35031";"141";"207"
"35032";"495";"684"
"35033";"571";"786"
"35034";"602";"817"
"35035";"585";"780"
"35036";"141";"207"
"35037";"650";"854"
"35038";"690";"912"
"35039";"690";"912"
"35040";"654";"880"
"35041";"663";"895"
"35042";"751";"997"
"35043";"746";"992"
"35044";"47";"71"
"35045";"47";"71"
"35046";"563";"786"
"35047";"633";"881"
"35048";"563";"786"
"35049";"47";"71"
"35050";"71";"75"
"35051";"24";"25"
"35052";"71";"75"
"35053";"155";"174"
"35054";"109";"140"
"35055";"246";"298"
"35056";"246";"298"
"35057";"246";"298"
"35058";"302";"388"
"35059";"294";"378"
"35060";"302";"388"
"35061";"687";"892"
"35062";"405";"557"
"35063";"310";"401"
"35064";"427";"560"
"35065";"283";"383"
"35066";"238";"335"
"35067";"364";"520"
"35068";"277";"391"
"35069";"377";"525"
"35070";"113";"159"
"35071";"349";"479"
"35072";"228";"320"
"35073";"296";"410"
"35074";"132";"193"
"35075";"167";"243"
"35076";"220";"308"
"35077";"46";"64"
"35078";"77";"117"
"35079";"150";"219"
"35080";"338";"472"
"35081";"259";"358"
"35082";"158";"209"
"35083";"361";"517"
"35084";"394";"546"
"35085";"487";"682"
"35086";"414";"597"
"35087";"487";"701"
"35088";"517";"739"
"35089";"544";"728"
"35090";"527";"708"
"35091";"251";"340"
"35092";"116";"151"
"35093";"244";"338"
"35094";"185";"251"
"35095";"429";"590"
"35096";"97";"126"
"35097";"355";"498"
"35098";"1204";"1502"
"35099";"2543";"3312"
"35100";"2571";"3352"
"35101";"1354";"1726"
"35102";"1334";"1702"
"35103";"1280";"1629"
"35104";"1347";"1718"
"35105";"1328";"1694"
"35106";"1308";"1669"
"35107";"1353";"1730"
"35108";"2443";"3162"
"35109";"1325";"1690"
"35110";"1248";"1572"
"35111";"2466";"3198"
"35112";"2490";"3232"
"35113";"2528";"3289"
"35114";"2502";"3252"
"35115";"1368";"1741"
"35116";"2604";"3389"
"35117";"2481";"3190"
"35118";"2535";"3275"
"35119";"2587";"3362"
"35120";"2608";"3352"
"35121";"2557";"3279"
"35122";"2556";"3279"
"35123";"2486";"3182"
"35124";"2475";"3166"
"35125";"2721";"3570"
"35126";"2762";"3638"
"35127";"2902";"3829"
"35128";"3069";"4061"
"35129";"3046";"4027"
"35130";"2826";"3725"
"35131";"480";"643"
"35132";"827";"1128"
"35133";"789";"1083"
"35134";"826";"1130"
"35135";"819";"1135"
"35136";"785";"1066"
"35137";"736";"991"
"35138";"280";"382"
"35139";"717";"961"
"35140";"250";"357"
"35141";"273";"389"
"35142";"342";"482"
"35143";"96";"136"
"35144";"13";"18"
"35145";"142";"193"
"35146";"62";"85"
"35147";"1";"2"
"35148";"204";"288"
"35149";"412";"578"
"35150";"59";"74"
"35151";"926";"1263"
"35152";"1426";"1978"
"35153";"431";"584"
"35154";"938";"1276"
"35155";"497";"667"
"35156";"923";"1285"
"35157";"923";"1285"
"35158";"1297";"1802"
"35159";"1297";"1802"
"35160";"1297";"1802"
"35161";"831";"1137"
"35162";"872";"1211"
"35163";"393";"519"
"35164";"198";"252"
"35165";"381";"508"
"35166";"310";"444"
"35167";"336";"480"
"35168";"280";"379"
"35169";"298";"392"
"35170";"216";"296"
"35171";"164";"233"
"35172";"194";"276"
"35173";"146";"214"
"35174";"115";"168"
"35175";"189";"275"
"35176";"233";"331"
"35177";"204";"285"
"35178";"233";"313"
"35179";"248";"364"
"35180";"495";"717"
"35181";"302";"411"
"35182";"247";"336"
"35183";"50";"71"
"35184";"197";"272"
"35185";"280";"394"
"35186";"351";"479"
"35187";"378";"511"
"35188";"37";"54"
"35189";"113";"163"
"35190";"213";"324"
"35191";"229";"339"
"35192";"223";"331"
"35193";"132";"186"
"35194";"1717";"2339"
"35195";"1803";"2449"
"35196";"89";"128"
"35197";"34";"45"
"35198";"203";"267"
"35199";"117";"171"
"35200";"121";"161"
"35201";"179";"241"
"35202";"178";"240"
"35203";"128";"148"
"35204";"89";"114"
"35205";"169";"240"
"35206";"246";"341"
"35207";"641";"851"
"35208";"164";"209"
"35209";"2976";"4083"
"35210";"3057";"4187"
"35211";"3047";"4181"
"35212";"2972";"4072"
"35213";"2864";"3920"
"35214";"2914";"4001"
"35215";"3038";"4163"
"35216";"2914";"4001"
"35217";"1464";"1965"
"35218";"1524";"2062"
"35219";"3238";"4347"
"35220";"3306";"4434"
"35221";"3306";"4434"
"35222";"1562";"2131"
"35223";"3170";"4259"
"35224";"3224";"4333"
"35225";"1454";"1977"
"35226";"1441";"1967"
"35227";"1378";"1882"
"35228";"1367";"1867"
"35229";"1395";"1905"
"35230";"1349";"1842"
"35231";"1234";"1677"
"35232";"1365";"1857"
"35233";"561";"745"
"35234";"1930";"2623"
"35235";"1896";"2576"
"35236";"1784";"2389"
"35237";"484";"686"
"35238";"1363";"1899"
"35239";"1344";"1876"
"35240";"1344";"1876"
"35241";"1426";"1991"
"35242";"1284";"1789"
"35243";"1225";"1698"
"35244";"1283";"1789"
"35245";"1303";"1800"
"35246";"1309";"1805"
"35247";"1303";"1800"
"35248";"1522";"2098"
"35249";"2338";"3028"
"35250";"2374";"3096"
"35251";"1538";"2116"
"35252";"2278";"3143"
"35253";"1899";"2638"
"35254";"1943";"2642"
"35255";"3347";"4485"
"35256";"1976";"2690"
"35257";"3377";"4513"
"35258";"1646";"2208"
"35259";"1497";"2030"
"35260";"185";"270"
"35261";"155";"223"
"35262";"237";"338"
"35263";"238";"353"
"35264";"262";"391"
"35265";"369";"495"
"35266";"432";"584"
"35267";"953";"1322"
"35268";"394";"527"
"35269";"1108";"1528"
"35270";"270";"387"
"35271";"224";"317"
"35272";"175";"251"
"35273";"304";"444"
"35274";"278";"372"
"35275";"406";"578"
"35276";"311";"420"
"35277";"306";"418"
"35278";"345";"471"
"35279";"438";"593"
"35280";"521";"699"
"35281";"519";"705"
"35282";"542";"755"
"35283";"253";"338"
"35284";"293";"396"
"35285";"224";"306"
"35286";"289";"401"
"35287";"360";"499"
"35288";"355";"489"
"35289";"464";"644"
"35290";"944";"1259"
"35291";"896";"1202"
"35292";"175";"237"
"35293";"291";"390"
"35294";"994";"1336"
"35295";"234";"338"
"35296";"251";"360"
"35297";"270";"388"
"35298";"298";"423"
"35299";"772";"1028"
"35300";"828";"1110"
"35301";"753";"1029"
"35302";"242";"345"
"35303";"308";"445"
"35304";"944";"1263"
"35305";"816";"1091"
"35306";"855";"1147"
"35307";"279";"372"
"35308";"872";"1172"
"35309";"304";"406"
"35310";"349";"463"
"35311";"279";"369"
"35312";"155";"216"
"35313";"165";"235"
"35314";"5";"7"
"35315";"20";"29"
"35316";"80";"111"
"35317";"237";"331"
"35318";"237";"331"
"35319";"508";"719"
"35320";"447";"628"
"35321";"39";"53"
"35322";"495";"694"
"35323";"487";"681"
"35324";"217";"303"
"35325";"452";"632"
"35326";"30";"41"
"35327";"122";"163"
"35328";"411";"576"
"35329";"298";"408"
"35330";"618";"867"
"35331";"270";"359"
"35332";"135";"181"
"35333";"167";"225"
"35334";"185";"255"
"35335";"568";"795"
"35336";"220";"299"
"35337";"221";"299"
"35338";"200";"273"
"35339";"642";"904"
"35340";"536";"767"
"35341";"689";"965"
"35342";"734";"1024"
"35343";"788";"1103"
"35344";"942";"1314"
"35345";"307";"431"
"35346";"418";"587"
"35347";"177";"251"
"35348";"193";"274"
"35349";"365";"503"
"35350";"368";"507"
"35351";"137";"192"
"35352";"504";"690"
"35353";"255";"360"
"35354";"335";"466"
"35355";"433";"600"
"35356";"432";"598"
"35357";"193";"274"
"35358";"509";"720"
"35359";"322";"438"
"35360";"595";"813"
"35361";"483";"665"
"35362";"513";"710"
"35363";"89";"116"
"35364";"655";"906"
"35365";"337";"458"
"35366";"337";"458"
"35367";"337";"458"
"35368";"0";"0"
"35369";"0";"0"
"35370";"240";"313"
"35371";"318";"422"
"35372";"377";"511"
"35373";"377";"509"
"35374";"716";"971"
"35375";"751";"1015"
"35376";"780";"1062"
"35377";"2371";"3279"
"35378";"403";"526"
"35379";"181";"268"
"35380";"217";"313"
"35381";"193";"276"
"35382";"320";"446"
"35383";"326";"453"
"35384";"403";"564"
"35385";"2436";"3373"
"35386";"81";"124"
"35387";"166";"231"
"35388";"376";"492"
"35389";"316";"411"
"35390";"221";"279"
"35391";"228";"280"
"35392";"192";"245"
"35393";"315";"440"
"35394";"305";"434"
"35395";"410";"576"
"35396";"390";"546"
"35397";"771";"1076"
"35398";"250";"353"
"35399";"332";"465"
"35400";"186";"244"
"35401";"380";"520"
"35402";"410";"559"
"35403";"68";"101"
"35404";"463";"633"
"35405";"822";"1123"
"35406";"827";"1132"
"35407";"304";"417"
"35408";"110";"152"
"35409";"53";"73"
"35410";"87";"116"
"35411";"125";"167"
"35412";"265";"363"
"35413";"253";"351"
"35414";"610";"875"
"35415";"145";"206"
"35416";"131";"156"
"35417";"1732";"2388"
"35418";"1670";"2297"
"35419";"1732";"2388"
"35420";"1752";"2432"
"35421";"1707";"2373"
"35422";"264";"331"
"35423";"306";"389"
"35424";"663";"814"
"35425";"299";"361"
"35426";"558";"674"
"35427";"547";"662"
"35428";"232";"301"
"35429";"471";"581"
"35430";"432";"545"
"35431";"295";"384"
"35432";"311";"406"
"35433";"305";"399"
"35434";"290";"383"
"35435";"188";"252"
"35436";"76";"106"
"35437";"149";"210"
"35438";"163";"230"
"35439";"121";"172"
"35440";"230";"319"
"35441";"169";"230"
"35442";"440";"614"
"35443";"303";"426"
"35444";"267";"371"
"35445";"261";"367"
"35446";"217";"295"
"35447";"230";"314"
"35448";"71";"98"
"35449";"164";"220"
"35450";"47";"62"
"35451";"356";"505"
"35452";"394";"552"
"35453";"717";"1003"
"35454";"673";"948"
"35455";"240";"333"
"35456";"743";"1035"
"35457";"782";"1092"
"35458";"238";"327"
"35459";"134";"196"
"35460";"758";"1066"
"35461";"87";"116"
"35462";"38";"48"
"35463";"38";"48"
"35464";"0";"0"
"35465";"253";"369"
"35466";"322";"463"
"35467";"791";"1116"
"35468";"140";"186"
"35469";"632";"876"
"35470";"190";"238"
"35471";"213";"271"
"35472";"192";"256"
"35473";"209";"280"
"35474";"85";"122"
"35475";"108";"150"
"35476";"43";"55"
"35477";"25";"33"
"35478";"57";"86"
"35479";"79";"117"
"35480";"91";"123"
"35481";"166";"229"
"35482";"115";"162"
"35483";"152";"206"
"35484";"189";"258"
"35485";"61";"81"
"35486";"21";"31"
"35487";"37";"57"
"35488";"370";"511"
"35489";"216";"289"
"35490";"295";"384"
"35491";"169";"250"
"35492";"363";"507"
"35493";"420";"583"
"35494";"368";"522"
"35495";"395";"555"
"35496";"433";"602"
"35497";"175";"257"
"35498";"192";"280"
"35499";"221";"326"
"35500";"240";"323"
"35501";"438";"562"
"35502";"402";"505"
"35503";"438";"562"
"35504";"396";"513"
"35505";"383";"495"
"35506";"376";"491"
"35507";"328";"409"
"35508";"208";"291"
"35509";"258";"358"
"35510";"334";"472"
"35511";"166";"245"
"35512";"71";"98"
"35513";"96";"144"
