"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"30247";"224";"301"
"30248";"219";"294"
"30249";"448";"629"
"30250";"453";"641"
"30251";"520";"726"
"30252";"173";"231"
"30253";"143";"191"
"30254";"164";"220"
"30255";"336";"463"
"30256";"279";"394"
"30257";"360";"505"
"30258";"361";"508"
"30259";"309";"427"
"30260";"394";"561"
"30261";"339";"451"
"30262";"138";"201"
"30263";"258";"360"
"30264";"195";"245"
"30265";"290";"391"
"30266";"356";"481"
"30267";"299";"407"
"30268";"334";"463"
"30269";"434";"600"
"30270";"267";"333"
"30271";"226";"306"
"30272";"313";"437"
"30273";"399";"568"
"30274";"326";"462"
"30275";"430";"614"
"30276";"321";"444"
"30277";"272";"377"
"30278";"270";"375"
"30279";"0";"0"
"30280";"121";"174"
"30281";"169";"235"
"30282";"93";"143"
"30283";"148";"176"
"30284";"258";"353"
"30285";"332";"446"
"30286";"246";"312"
"30287";"256";"332"
"30288";"245";"349"
"30289";"223";"319"
"30290";"148";"217"
"30291";"349";"445"
"30292";"354";"468"
"30293";"233";"325"
"30294";"307";"400"
"30295";"288";"381"
"30296";"91";"129"
"30297";"186";"249"
"30298";"72";"93"
"30299";"154";"220"
"30300";"220";"321"
"30301";"201";"281"
"30302";"5158";"7036"
"30303";"5446";"7465"
"30304";"5446";"7465"
"30305";"5446";"7465"
"30306";"5431";"7445"
"30307";"5446";"7465"
"30308";"5446";"7465"
"30309";"5158";"7036"
"30310";"5158";"7036"
"30311";"5158";"7036"
"30312";"7472";"10231"
"30313";"5432";"7446"
"30314";"270";"349"
"30315";"226";"306"
"30316";"226";"306"
"30317";"307";"436"
"30318";"307";"436"
"30319";"272";"357"
"30320";"277";"348"
"30321";"407";"538"
"30322";"536";"701"
"30323";"307";"400"
"30324";"91";"129"
"30325";"167";"241"
"30326";"133";"190"
"30327";"115";"165"
"30328";"752";"1060"
"30329";"849";"1125"
"30330";"1097";"1534"
"30331";"1097";"1534"
"30332";"1097";"1534"
"30333";"954";"1329"
"30334";"954";"1329"
"30335";"992";"1386"
"30336";"755";"1048"
"30337";"755";"1048"
"30338";"819";"1141"
"30339";"888";"1235"
"30340";"2123";"2877"
"30341";"2123";"2877"
"30342";"2123";"2877"
"30343";"2123";"2877"
"30344";"2134";"2892"
"30345";"2228";"3008"
"30346";"2220";"3000"
"30347";"2220";"3000"
"30348";"2237";"3017"
"30349";"2194";"2971"
"30350";"2223";"3021"
"30351";"2069";"2781"
"30352";"2255";"3068"
"30353";"2267";"3086"
"30354";"2273";"3095"
"30355";"2298";"3128"
"30356";"2298";"3128"
"30357";"2308";"3138"
"30358";"2308";"3138"
"30359";"2353";"3188"
"30360";"2379";"3216"
"30361";"2392";"3230"
"30362";"2405";"3244"
"30363";"2403";"3242"
"30364";"2394";"3232"
"30365";"2407";"3247"
"30366";"2407";"3247"
"30367";"2389";"3227"
"30368";"2399";"3238"
"30369";"2399";"3238"
"30370";"2399";"3238"
"30371";"2365";"3227"
"30372";"2365";"3227"
"30373";"2403";"3243"
"30374";"2400";"3277"
"30375";"1994";"2696"
"30376";"2411";"3293"
"30377";"2413";"3295"
"30378";"2422";"3308"
"30379";"2123";"2860"
"30380";"2120";"2856"
"30381";"1847";"2487"
"30382";"1932";"2622"
"30383";"1932";"2622"
"30384";"1949";"2633"
"30385";"1949";"2633"
"30386";"1950";"2634"
"30387";"1957";"2644"
"30388";"2036";"2736"
"30389";"1966";"2656"
"30390";"1980";"2675"
"30391";"1982";"2679"
"30392";"1982";"2679"
"30393";"1996";"2698"
"30394";"1995";"2697"
"30395";"2015";"2724"
"30396";"2974";"4061"
"30397";"2974";"4061"
"30398";"2012";"2720"
"30399";"2012";"2720"
"30400";"2006";"2712"
"30401";"2015";"2724"
"30402";"2102";"2854"
"30403";"2102";"2854"
"30404";"2047";"2768"
"30405";"2088";"2826"
"30406";"2088";"2826"
"30407";"2107";"2862"
"30408";"2088";"2826"
"30409";"2107";"2853"
"30410";"2094";"2840"
"30411";"2094";"2840"
"30412";"2154";"2921"
"30413";"2264";"3045"
"30414";"2147";"2911"
"30415";"2150";"2915"
"30416";"2229";"3002"
"30417";"1863";"2510"
"30418";"2204";"2994"
"30419";"2208";"2999"
"30420";"2121";"2873"
"30421";"2121";"2873"
"30422";"2240";"3046"
"30423";"2121";"2873"
"30424";"2114";"2864"
"30425";"2255";"3069"
"30426";"2137";"2896"
"30427";"2953";"4037"
"30428";"2273";"3095"
"30429";"2275";"3098"
"30430";"2190";"2974"
"30431";"1863";"2510"
"30432";"2974";"4061"
"30433";"2209";"3001"
"30434";"2849";"3912"
"30435";"2238";"3044"
"30436";"2238";"3044"
"30437";"2238";"3044"
"30438";"2238";"3044"
"30439";"2238";"3044"
"30440";"2238";"3044"
