"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y"
47;"Москва, Харьковский проезд, д.1, корп.2";" ";" ";" ";"Россия, Москва, Харьковский проезд, 1к2";80;37,647530;55,596401
48;"Москва, Харьковский проезд, д.1, корп.3";" ";" ";" ";"Россия, Москва, Харьковский проезд, 1к3";81;37,646084;55,595781
49;"Москва, Харьковский проезд, д.11, корп.2";" ";" ";" ";"Россия, Москва, Харьковский проезд, 11к2";82;37,639454;55,588781
50;"Москва, Харьковский проезд, д.11, корп.3";" ";" ";" ";"Россия, Москва, Харьковский проезд, 11к3";83;37,642122;55,589375
51;"Москва, Харьковский проезд, д.11, корп.4";" ";" ";" ";"Россия, Москва, Харьковский проезд, 11к4";84;37,640659;55,589273
52;"Москва, Харьковский проезд, д.1В, корп.1";" ";" ";" ";"Россия, Москва, Харьковский проезд, 1вк1";85;37,646857;55,594982
53;"Москва, Харьковский проезд, д.1В, корп.4";" ";" ";" ";"Россия, Москва, Харьковский проезд, 1вк4";86;37,647728;55,594260
54;"Москва, Харьковский проезд, д.5, корп.1";" ";" ";" ";"Россия, Москва, Харьковский проезд, 5к1";87;37,643111;55,592575
55;"Москва, Харьковский проезд, д.7, корп.1";" ";" ";" ";"Россия, Москва, Харьковский проезд, 7к1";88;37,639688;55,592377
56;"Москва, Харьковский проезд, д.7, корп.1А";" ";" ";" ";"Россия, Москва, Харьковский проезд, 7к1а";89;37,640264;55,593175
57;"Москва, Харьковский проезд, д.7, корп.2";" ";" ";" ";"Россия, Москва, Харьковский проезд, 7к2";90;37,641017;55,592449
58;"Москва, Харьковский проезд, д.7, корп.3";" ";" ";" ";"Россия, Москва, Харьковский проезд, 7к3";91;37,640937;55,591792
59;"Москва, Харьковский проезд, д.9, корп.1";" ";" ";" ";"Россия, Москва, Харьковский проезд, 9к1";92;37,641629;55,590077
60;"Москва, Харьковский проезд, д.9, корп.2";" ";" ";" ";"Россия, Москва, Харьковский проезд, 9к2";93;37,642060;55,591446
61;"Москва, Харьковский проезд, д.9, корп.3";" ";" ";" ";"Россия, Москва, Харьковский проезд, 9к3";94;37,642411;55,590561
62;"Москва, 6-я Радиальная ул, д.5, корп.2";" ";" ";" ";"Россия, Москва, 6-я Радиальная улица, 5к2";117;37,658751;55,604604
63;"Москва, Бирюлёвская ул, д.1, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 1к1";118;37,664751;55,601949
64;"Москва, Бирюлёвская ул, д.1, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 1к3";119;37,668847;55,601975
65;"Москва, Бирюлёвская ул, д.10";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 10";120;37,660449;55,599606
66;"Москва, Бирюлёвская ул, д.12, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 12к1";121;37,660610;55,598848
67;"Москва, Бирюлёвская ул, д.12, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 12к2";122;37,659460;55,598787
68;"Москва, Бирюлёвская ул, д.14, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 14к1";123;37,659604;55,598033
69;"Москва, Бирюлёвская ул, д.14, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 14к2";124;37,658437;55,598018
70;"Москва, Бирюлёвская ул, д.16";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 16";125;37,660952;55,597805
71;"Москва, Бирюлёвская ул, д.18, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 18к1";126;37,660888;55,597530
72;"Москва, Бирюлёвская ул, д.18, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 18к2";127;37,658588;55,597266
73;"Москва, Бирюлёвская ул, д.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 2";128;37,660485;55,601208
74;"Москва, Бирюлёвская ул, д.22";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 22";129;37,661698;55,596462
75;"Москва, Бирюлёвская ул, д.24, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 24к1";130;37,661635;55,596182
76;"Москва, Бирюлёвская ул, д.24, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 24к2";131;37,661589;55,595903
77;"Москва, Бирюлёвская ул, д.4";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 4";132;37,660548;55,600933
78;"Москва, Бирюлёвская ул, д.6";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 6";133;37,660592;55,600638
79;"Москва, Бирюлёвская ул, д.8";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 8";134;37,660683;55,600358
80;"Москва, Донбасская ул, д.5";" ";" ";" ";"Россия, Москва, Донбасская улица, 5";135;37,658723;55,595673
81;"Москва, Донбасская ул, д.7";" ";" ";" ";"Россия, Москва, Донбасская улица, 7";136;37,658796;55,595954
82;"Москва, Касимовская ул, д.1";" ";" ";" ";"Россия, Москва, Касимовская улица, 1";144;37,653658;55,600969
83;"Москва, Касимовская ул, д.13";" ";" ";" ";"Россия, Москва, Касимовская улица, 13";145;37,655489;55,597820
84;"Москва, Касимовская ул, д.15";" ";" ";" ";"Россия, Москва, Касимовская улица, 15";146;37,655858;55,597133
85;"Москва, Касимовская ул, д.17";" ";" ";" ";"Россия, Москва, Касимовская улица, 17";147;37,656262;55,596456
86;"Москва, Касимовская ул, д.19";" ";" ";" ";"Россия, Москва, Касимовская улица, 19";148;37,656568;55,595801
87;"Москва, Касимовская ул, д.19, корп.2";" ";" ";" ";"Россия, Москва, Касимовская улица, 19к2";149;37,658175;55,596661
88;"Москва, Касимовская ул, д.3";" ";" ";" ";"Россия, Москва, Касимовская улица, 3";150;37,653594;55,600688
89;"Москва, Касимовская ул, д.5";" ";" ";" ";"Россия, Москва, Касимовская улица, 5";151;37,653523;55,600408
90;"Москва, Касимовская ул, д.7, корп.1";" ";" ";" ";"Россия, Москва, Касимовская улица, 7к1";152;37,654107;55,599524
91;"Москва, Касимовская ул, д.9";" ";" ";" ";"Россия, Москва, Касимовская улица, 9";153;37,655122;55,598492
92;"Москва, Элеваторная ул, д.10, корп.1";" ";" ";" ";"Россия, Москва, Элеваторная улица, 10к1";167;37,661680;55,601390
93;"Москва, Элеваторная ул, д.4";" ";" ";" ";"Россия, Москва, Элеваторная улица, 4";168;37,655364;55,601208
94;"Москва, Элеваторная ул, д.6, корп.1";" ";" ";" ";"Россия, Москва, Элеваторная улица, 6к1";169;37,657017;55,601264
95;"Москва, Элеваторная ул, д.6, корп.2";" ";" ";" ";"Россия, Москва, Элеваторная улица, 6к2";170;37,656963;55,600989
96;"Москва, Элеваторная ул, д.6, корп.3";" ";" ";" ";"Россия, Москва, Элеваторная улица, 6к3";171;37,656883;55,600708
97;"Москва, Элеваторная ул, д.8";" ";" ";" ";"Россия, Москва, Элеваторная улица, 8";172;37,658482;55,601115
98;"Москва, Элеваторная ул, д.8, корп.3";" ";" ";" ";"Россия, Москва, Элеваторная улица, 8к3";173;37,657898;55,599574
99;"Москва, Элеваторная ул, д.8, корп.4";" ";" ";" ";"Россия, Москва, Элеваторная улица, 8к4";174;37,658913;55,599320
100;"Москва, Бирюлёвская ул, д.1, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 1к2";215;37,666637;55,602235
101;"Москва, Бирюлёвская ул, д.11, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 11к1";216;37,663457;55,597810
102;"Москва, Бирюлёвская ул, д.11, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 11к2";217;37,664950;55,597749
103;"Москва, Бирюлёвская ул, д.11, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 11к3";218;37,666225;55,597851
104;"Москва, Бирюлёвская ул, д.13, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 13к1";219;37,664393;55,596773
105;"Москва, Бирюлёвская ул, д.13, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 13к2";220;37,666495;55,596940
106;"Москва, Бирюлёвская ул, д.13, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 13к3";221;37,668551;55,597124
107;"Москва, Бирюлёвская ул, д.15";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 15";222;37,663413;55,596217
108;"Москва, Бирюлёвская ул, д.19";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 19";223;37,664257;55,594834
109;"Москва, Бирюлёвская ул, д.21, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 21к1";224;37,664976;55,594102
110;"Москва, Бирюлёвская ул, д.21, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 21к2";225;37,667114;55,594280
111;"Москва, Бирюлёвская ул, д.21, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 21к3";226;37,669109;55,594438
112;"Москва, Бирюлёвская ул, д.26";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 26";227;37,662074;55,594107
113;"Москва, Бирюлёвская ул, д.27";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 27";228;37,664815;55,592590
114;"Москва, Бирюлёвская ул, д.29, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 29к1";229;37,666152;55,592529
115;"Москва, Бирюлёвская ул, д.29, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 29к2";230;37,667437;55,592631
116;"Москва, Бирюлёвская ул, д.3, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 3к1";231;37,663601;55,600282
117;"Москва, Бирюлёвская ул, д.3, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 3к2";232;37,664733;55,600358
118;"Москва, Бирюлёвская ул, д.3, корп.3";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 3к3";233;37,665758;55,600425
119;"Москва, Бирюлёвская ул, д.30";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 30";234;37,662891;55,593049
120;"Москва, Бирюлёвская ул, д.31, корп.1";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 31к1";235;37,665416;55,591625
121;"Москва, Бирюлёвская ул, д.31, корп.2";" ";" ";" ";"Россия, Москва, Бирюлевская улица, 31к2";236;37,667528;55,591788
