"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
81;"Москва, Покровка ул, д.19";" ";" ";" ";"Россия, Москва, улица Покровка, 19";122;648;122;727;37,646489;55,759587
82;"Москва, Покровка ул, д.20, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";123;123;123;577;37,647449;55,758134
83;"Москва, Покровка ул, д.20, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";123;386;123;1125;37,647449;55,758134
84;"Москва, Покровка ул, д.20, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";123;649;123;727;37,647449;55,758134
85;"Москва, Покровка ул, д.20/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";124;124;124;577;37,647449;55,758134
86;"Москва, Покровка ул, д.20/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";124;387;124;1125;37,647449;55,758134
87;"Москва, Покровка ул, д.20/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с1";124;650;124;727;37,647449;55,758134
88;"Москва, Покровка ул, д.20/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с2";125;125;125;577;37,648114;55,758123
89;"Москва, Покровка ул, д.20/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с2";125;388;125;1125;37,648114;55,758123
90;"Москва, Покровка ул, д.20/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 20/1с2";125;651;125;727;37,648114;55,758123
91;"Москва, Покровка ул, д.21-23/25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с1";126;126;126;577;37,647190;55,759689
92;"Москва, Покровка ул, д.21-23/25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с1";126;389;126;1125;37,647190;55,759689
93;"Москва, Покровка ул, д.21-23/25, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с1";126;652;126;727;37,647190;55,759689
94;"Москва, Покровка ул, д.21-23/25, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с3";127;127;127;577;37,646901;55,760079
95;"Москва, Покровка ул, д.21-23/25, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с3";127;390;127;1125;37,646901;55,760079
96;"Москва, Покровка ул, д.21-23/25, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с3";127;653;127;727;37,646901;55,760079
97;"Москва, Покровка ул, д.21-23/25, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с4";128;128;128;577;37,647145;55,760064
98;"Москва, Покровка ул, д.21-23/25, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с4";128;391;128;1125;37,647145;55,760064
99;"Москва, Покровка ул, д.21-23/25, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 21-23/25с4";128;654;128;727;37,647145;55,760064
100;"Москва, Покровка ул, д.22/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с1";129;129;129;577;37,648150;55,759051
101;"Москва, Покровка ул, д.22/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с1";129;392;129;1125;37,648150;55,759051
102;"Москва, Покровка ул, д.22/1, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с1";129;655;129;727;37,648150;55,759051
103;"Москва, Покровка ул, д.22/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с2";130;130;130;577;37,648340;55,758959
104;"Москва, Покровка ул, д.22/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с2";130;393;130;1125;37,648340;55,758959
105;"Москва, Покровка ул, д.22/1, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 22/1с2";130;656;130;727;37,648340;55,758959
106;"Москва, Покровка ул, д.22А, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас1";131;131;131;577;37,648340;55,758594
107;"Москва, Покровка ул, д.22А, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас1";131;394;131;1125;37,648340;55,758594
108;"Москва, Покровка ул, д.22А, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас1";131;657;131;727;37,648340;55,758594
109;"Москва, Покровка ул, д.22А, стр.10";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас10";132;132;132;577;37,648942;55,758356
110;"Москва, Покровка ул, д.22А, стр.10";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас10";132;395;132;1125;37,648942;55,758356
111;"Москва, Покровка ул, д.22А, стр.10";" ";" ";" ";"Россия, Москва, улица Покровка, 22ас10";132;658;132;727;37,648942;55,758356
